Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2009.0,2009-10-04,4.0,4.0,27.216,TAM,WAS,L 13-16,False,1,1,100.0,2,4,50.0,0,7,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Mike Nugent,False,13,16
2009.0,2009-12-20,14.0,15.0,27.293,ARI,DET,W 31-24,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Mike Nugent,True,31,24
2009.0,2009-12-27,15.0,16.0,27.3,ARI,STL,W 31-10,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Mike Nugent,True,31,10
2010.0,2010-09-12,1.0,1.0,28.194,CIN,NWE,L 24-38,False,3,3,100.0,1,1,100.0,0,6,0.0,0,1,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,Mike Nugent,False,24,38
2010.0,2010-09-19,2.0,2.0,28.201,CIN,BAL,W 15-10,False,,,,5,5,100.0,0,15,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Mike Nugent,True,15,10
2010.0,2010-09-26,3.0,3.0,28.208,CIN,CAR,W 20-7,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Mike Nugent,True,20,7
2010.0,2010-10-03,4.0,4.0,28.215,CIN,CLE,L 20-23,False,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Mike Nugent,False,20,23
2010.0,2010-10-10,5.0,5.0,28.222,CIN,TAM,L 21-24,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Mike Nugent,False,21,24
2010.0,2010-10-24,6.0,7.0,28.236,CIN,ATL,L 32-39,False,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Mike Nugent,False,32,39
2010.0,2010-10-31,7.0,8.0,28.243,CIN,MIA,L 14-22,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Mike Nugent,False,14,22
2010.0,2010-11-08,8.0,9.0,28.251,CIN,PIT,L 21-27,False,3,3,100.0,,2,0.0,0,3,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,Mike Nugent,False,21,27
2010.0,2010-11-14,9.0,10.0,28.257,CIN,IND,L 17-23,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Mike Nugent,False,17,23
