Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2016,2016-09-18,2,2,27.059,DAL,WAS,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,3,142,47.33,0,0,0%,0,0%,8,30%,True,True,27,23,Chris Jones
2016,2016-09-25,3,3,27.066,DAL,CHI,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,3,140,46.67,0,0,0%,0,0%,9,33%,False,True,31,17,Chris Jones
2016,2016-10-02,4,4,27.073,DAL,SFO,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,0,1,0,0,0,0,0,0,0,0,4,221,55.25,0,0,0%,0,0%,9,36%,True,True,24,17,Chris Jones
2016,2016-10-09,5,5,27.080,DAL,CIN,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,2,87,43.50,0,0,0%,0,0%,6,27%,False,True,28,14,Chris Jones
2016,2016-10-16,6,6,27.087,DAL,GNB,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,2,83,41.50,0,0,0%,0,0%,8,32%,True,True,30,16,Chris Jones
2016,2016-10-30,7,8,27.101,DAL,PHI,False,1,30,30.00,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,5,222,44.40,0,0,0%,0,0%,11,31%,False,True,29,23,Chris Jones
2016,2016-11-06,8,9,27.108,DAL,CLE,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,2,75,37.50,0,0,0%,0,0%,7,29%,True,True,35,10,Chris Jones
2016,2016-11-13,9,10,27.115,DAL,PIT,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,0,1,0,0,0,0,0,0,0,0,3,145,48.33,0,0,0%,0,0%,8,27%,True,True,35,30,Chris Jones
2016,2016-11-20,10,11,27.122,DAL,BAL,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,4,184,46.00,0,0,0%,0,0%,10,34%,False,True,27,17,Chris Jones
2016,2016-11-24,11,12,27.126,DAL,WAS,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,2,88,44.00,0,0,0%,0,0%,7,27%,False,True,31,26,Chris Jones
2016,2016-12-01,12,13,27.133,DAL,MIN,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,6,277,46.17,0,0,0%,0,0%,9,32%,True,True,17,15,Chris Jones
2016,2016-12-11,13,14,27.143,DAL,NYG,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,9,384,42.67,0,0,0%,0,0%,11,41%,True,False,7,10,Chris Jones
2016,2016-12-18,14,15,27.150,DAL,TAM,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,2,82,41.00,0,0,0%,0,0%,9,30%,False,True,26,20,Chris Jones
2016,2016-12-26,15,16,27.158,DAL,DET,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,1,1,0,0,0,0,0,0,0,0,4,189,47.25,0,0,0%,0,0%,11,37%,False,True,42,21,Chris Jones
2016,2017-01-01,16,17,27.164,DAL,PHI,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,4,195,48.75,1,0,0%,0,0%,8,29%,True,False,13,27,Chris Jones
2017,2017-09-10,1,1,28.051,DAL,NYG,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,4,139,34.75,0,0,0%,0,0%,9,38%,False,True,19,3,Chris Jones
2017,2017-09-17,2,2,28.058,DAL,DEN,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,5,249,49.80,0,0,0%,0,0%,8,27%,True,False,17,42,Chris Jones
2017,2017-09-25,3,3,28.066,DAL,ARI,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,7,311,44.43,0,0,0%,0,0%,11,35%,True,True,28,17,Chris Jones
2017,2017-10-01,4,4,28.072,DAL,LAR,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,3,141,47.00,0,0,0%,0,0%,7,21%,False,False,30,35,Chris Jones
2017,2017-10-08,5,5,28.079,DAL,GNB,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,1,38,38.00,0,0,0%,0,0%,6,23%,False,False,31,35,Chris Jones
