Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-10-01,4.0,4.0,30.177,OAK,DEN,L 10-16,True,8,3,46,15.33,0,37.5%,5.75,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,89%,0,0%,0,0%,True,Jared Cook,False,10,16
2017.0,2017-10-08,5.0,5.0,30.184,OAK,BAL,L 17-30,True,6,3,25,8.33,0,50.0%,4.17,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,34,61%,0,0%,1,4%,False,Jared Cook,False,17,30
2017.0,2017-10-15,6.0,6.0,30.191,OAK,LAC,L 16-17,True,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,79%,0,0%,0,0%,False,Jared Cook,False,16,17
2017.0,2017-10-19,7.0,7.0,30.195,OAK,KAN,W 31-30,True,7,6,107,17.83,0,85.7%,15.29,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,82%,0,0%,0,0%,False,Jared Cook,True,31,30
2017.0,2017-10-29,8.0,8.0,30.205,OAK,BUF,L 14-34,True,5,4,57,14.25,0,80.0%,11.40,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,71%,0,0%,0,0%,True,Jared Cook,False,14,34
2017.0,2017-11-05,9.0,9.0,30.212,OAK,MIA,W 27-24,True,9,8,126,15.75,0,88.9%,14.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,83%,0,0%,1,4%,True,Jared Cook,True,27,24
2017.0,2017-11-19,10.0,11.0,30.226,OAK,NWE,L 8-33,True,5,2,36,18.00,0,40.0%,7.20,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,73%,0,0%,0,0%,False,Jared Cook,False,8,33
2017.0,2017-11-26,11.0,12.0,30.233,OAK,DEN,W 21-14,True,5,1,2,2.00,0,20.0%,0.40,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,87%,0,0%,1,4%,False,Jared Cook,True,21,14
2017.0,2017-12-03,12.0,13.0,30.24,OAK,NYG,W 24-17,True,5,1,9,9.00,0,20.0%,1.80,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,77%,0,0%,1,4%,False,Jared Cook,True,24,17
2017.0,2017-12-10,13.0,14.0,30.247,OAK,KAN,L 15-26,True,6,5,75,15.00,1,83.3%,12.50,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,54,89%,0,0%,1,4%,True,Jared Cook,False,15,26
2017.0,2017-12-17,14.0,15.0,30.254,OAK,DAL,L 17-20,True,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,83%,0,0%,4,17%,False,Jared Cook,False,17,20
2017.0,2017-12-25,15.0,16.0,30.262,OAK,PHI,L 10-19,True,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,76%,0,0%,0,0%,True,Jared Cook,False,10,19
2017.0,2017-12-31,16.0,17.0,30.268,OAK,LAC,L 10-30,True,4,3,35,11.67,0,75.0%,8.75,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,76%,0,0%,0,0%,True,Jared Cook,False,10,30
2018.0,2018-09-10,1.0,1.0,31.156,OAK,LAR,L 13-33,True,12,9,180,20.00,0,75.0%,15.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,91%,0,0%,0,0%,False,Jared Cook,False,13,33
2018.0,2018-09-16,2.0,2.0,31.162,OAK,DEN,L 19-20,True,4,4,49,12.25,0,100.0%,12.25,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,80%,0,0%,0,0%,True,Jared Cook,False,19,20
