Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2015,2015-11-19,10,11,,TEN,JAX,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,13,19,Bishop Sankey
2015,2015-11-29,11,12,23.075,TEN,OAK,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,1,2%,0,0%,0,0%,False,False,21,24,Bishop Sankey
2015,2015-12-06,12,13,23.082,TEN,JAX,False,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,3,4%,0,0%,0,0%,False,True,42,39,Bishop Sankey
2015,2015-12-13,13,14,,TEN,NYJ,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,8,30,Bishop Sankey
2015,2015-12-20,14,15,23.096,TEN,NWE,False,0,0,,0,3,3,23,7.67,0,100.0%,7.67,0,0,,0,0,0,0,0,0,0,0,0,16,26%,0,0%,0,0%,True,False,16,33,Bishop Sankey
2015,2015-12-27,15,16,23.103,TEN,HOU,False,2,11,5.50,0,4,3,43,14.33,0,75.0%,10.75,0,0,,0,0,0,0,0,0,0,0,0,30,45%,0,0%,0,0%,False,False,6,34,Bishop Sankey
2015,2016-01-03,16,17,23.110,TEN,IND,False,4,16,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,9,16%,0,0%,0,0%,True,False,24,30,Bishop Sankey
2016,2016-11-06,8,9,,KAN,JAX,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,19,14,Bishop Sankey
2016,2016-11-13,9,10,,KAN,CAR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,20,17,Bishop Sankey
2016,2016-11-20,10,11,,KAN,TAM,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,17,19,Bishop Sankey
,29 Games,,,,,,False,199,762,3.83,3,45,32,272,8.50,1,71.1%,6.04,16,390,24.38,0,4,24,4,3,0,0,0,0,,,,,,,False,False,25,0,Bishop Sankey
