Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2013,2013-11-24,11,12,22.287,DEN,@,NWE,L 31-34,False,3,16,5.33,0,1,0,0,,0,0.0%,0.00,,0,0,0,0,0,1,0,0,10,11%,0,0%,6,15%,True,C.J. Anderson
2013,2013-12-01,12,13,,DEN,@,KAN,W 35-28,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,C.J. Anderson
2013,2013-12-08,13,14,22.301,DEN,,TEN,W 51-28,False,,,,,,,,,,0.0%,,,0,0,0,,,0,0,0,0,0%,0,0%,1,3%,False,C.J. Anderson
2013,2013-12-12,14,15,,DEN,,SDG,L 20-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,C.J. Anderson
2013,2013-12-22,15,16,,DEN,@,HOU,W 37-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,C.J. Anderson
2013,2013-12-29,16,17,,DEN,@,OAK,W 34-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,C.J. Anderson
2014,2014-09-07,1,1,23.209,DEN,,IND,W 31-24,False,4,27,6.75,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,9,12%,0,0%,7,24%,False,C.J. Anderson
2014,2014-09-14,2,2,23.216,DEN,,KAN,W 24-17,False,5,31,6.20,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,12,24%,0,0%,1,5%,False,C.J. Anderson
2014,2014-09-21,3,3,23.223,DEN,@,SEA,L 20-26,False,2,-3,-1.50,0,1,1,1,1.00,0,100.0%,1.00,,0,0,0,0,0,0,0,0,3,4%,0,0%,0,0%,True,C.J. Anderson
2014,2014-10-05,4,5,,DEN,,ARI,W 41-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,C.J. Anderson
2014,2014-10-12,5,6,23.244,DEN,@,NYJ,W 31-17,False,,,,,,,,,,0.0%,,,0,0,0,,,0,0,0,1,1%,0,0%,1,3%,True,C.J. Anderson
2014,2014-10-19,6,7,23.251,DEN,,SFO,W 42-17,False,2,9,4.50,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,9,15%,0,0%,5,17%,False,C.J. Anderson
2014,2014-10-23,7,8,23.255,DEN,,SDG,W 35-21,False,1,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,2,3%,0,0%,5,19%,False,C.J. Anderson
2014,2014-11-02,8,9,23.265,DEN,@,NWE,L 21-43,False,3,18,6.00,0,4,3,33,11.00,0,75.0%,8.25,,0,0,0,0,0,0,0,0,18,22%,0,0%,10,30%,True,C.J. Anderson
2014,2014-11-09,9,10,23.272,DEN,@,OAK,W 41-17,False,13,90,6.92,0,7,4,73,18.25,1,57.1%,10.43,,1,6,0,0,0,0,0,0,41,51%,0,0%,0,0%,True,C.J. Anderson
2014,2014-11-16,10,11,23.279,DEN,@,STL,L 7-22,True,9,29,3.22,0,10,8,86,10.75,0,80.0%,8.60,,0,0,0,0,0,0,0,0,64,93%,0,0%,0,0%,True,C.J. Anderson
2014,2014-11-23,11,12,23.286,DEN,,MIA,W 39-36,True,27,167,6.19,1,4,4,28,7.00,0,100.0%,7.00,,1,6,0,0,0,0,0,0,67,89%,0,0%,1,4%,False,C.J. Anderson
2014,2014-11-30,12,13,23.293,DEN,@,KAN,W 29-16,True,32,168,5.25,0,3,2,17,8.50,1,66.7%,5.67,,1,6,0,0,0,0,0,0,70,85%,0,0%,0,0%,True,C.J. Anderson
2014,2014-12-07,13,14,23.300,DEN,,BUF,W 24-17,True,21,58,2.76,3,0,0,0,,0,0.0%,,,3,18,0,0,0,0,0,0,43,78%,0,0%,1,5%,False,C.J. Anderson
2014,2014-12-14,14,15,23.307,DEN,@,SDG,W 22-10,True,29,85,2.93,0,2,2,11,5.50,0,100.0%,5.50,,0,0,0,0,0,0,0,0,58,88%,0,0%,0,0%,True,C.J. Anderson
2014,2014-12-22,15,16,23.315,DEN,@,CIN,L 28-37,True,18,83,4.61,1,10,8,55,6.88,0,80.0%,5.50,,1,6,0,0,0,0,0,0,63,91%,0,0%,0,0%,True,C.J. Anderson
2014,2014-12-28,16,17,23.321,DEN,,OAK,W 47-14,True,13,87,6.69,3,3,2,20,10.00,0,66.7%,6.67,,3,18,1,0,0,0,0,0,36,46%,0,0%,0,0%,False,C.J. Anderson
2015,2015-09-13,1,1,24.215,DEN,,BAL,W 19-13,True,12,29,2.42,0,8,4,19,4.75,0,50.0%,2.38,,0,0,0,0,0,0,0,0,52,74%,0,0%,0,0%,False,C.J. Anderson
2015,2015-09-17,2,2,24.219,DEN,@,KAN,W 31-24,True,12,27,2.25,0,1,1,2,2.00,0,100.0%,2.00,,0,0,0,0,0,0,0,0,42,58%,0,0%,0,0%,True,C.J. Anderson
2015,2015-09-27,3,3,24.229,DEN,@,DET,W 24-12,True,8,18,2.25,0,1,1,9,9.00,0,100.0%,9.00,,0,0,0,0,0,0,0,0,35,55%,0,0%,0,0%,True,C.J. Anderson
2015,2015-10-04,4,4,24.236,DEN,,MIN,W 23-20,True,11,43,3.91,0,1,1,27,27.00,0,100.0%,27.00,,0,0,0,0,0,0,0,0,29,51%,0,0%,0,0%,False,C.J. Anderson
2015,2015-10-11,5,5,24.243,DEN,@,OAK,W 16-10,False,11,22,2.00,0,2,2,18,9.00,0,100.0%,9.00,,0,0,0,0,0,0,0,0,33,57%,0,0%,1,4%,True,C.J. Anderson
2015,2015-10-18,6,6,24.250,DEN,@,CLE,W 26-23,True,13,41,3.15,0,4,4,25,6.25,0,100.0%,6.25,,0,0,0,0,0,0,0,0,40,48%,0,0%,0,0%,True,C.J. Anderson
2015,2015-11-01,7,8,24.264,DEN,,GNB,W 29-10,False,14,101,7.21,1,1,1,5,5.00,0,100.0%,5.00,,1,6,0,0,0,0,0,0,27,40%,0,0%,0,0%,False,C.J. Anderson
2015,2015-11-08,8,9,24.271,DEN,@,IND,L 24-27,False,7,34,4.86,0,2,1,4,4.00,0,50.0%,2.00,,0,0,0,0,0,0,0,0,27,52%,0,0%,0,0%,True,C.J. Anderson
