Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-09-30,4,4,,NYJ,SFO,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,0,34,Dustin Keller
2012,2012-10-08,5,5,,NYJ,HOU,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,17,23,Dustin Keller
2012,2012-10-14,6,6,28.019,NYJ,IND,True,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,48,75%,0,0%,0,0%,False,True,35,9,Dustin Keller
2012,2012-10-21,7,7,28.026,NYJ,NWE,True,7,7,93,13.29,1,100.0%,13.29,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,75,91%,0,0%,0,0%,True,False,26,29,Dustin Keller
2012,2012-10-28,8,8,28.033,NYJ,MIA,True,11,7,67,9.57,0,63.6%,6.09,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,78,95%,0,0%,0,0%,False,False,9,30,Dustin Keller
2012,2012-11-11,9,10,28.047,NYJ,SEA,False,5,3,47,15.67,0,60.0%,9.40,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,44,85%,0,0%,0,0%,True,False,7,28,Dustin Keller
2012,2012-11-18,10,11,28.054,NYJ,STL,False,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,44,68%,0,0%,1,4%,True,True,27,13,Dustin Keller
2012,2012-11-22,11,12,28.058,NYJ,NWE,False,7,5,64,12.80,1,71.4%,9.14,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,61,87%,0,0%,0,0%,False,False,19,49,Dustin Keller
2012,2012-12-02,12,13,28.068,NYJ,ARI,True,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,27,35%,0,0%,0,0%,False,True,7,6,Dustin Keller
2012,2012-12-09,13,14,,NYJ,JAX,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,17,10,Dustin Keller
2012,2012-12-17,14,15,,NYJ,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,10,14,Dustin Keller
2012,2012-12-23,15,16,,NYJ,SDG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,17,27,Dustin Keller
2012,2012-12-30,16,17,,NYJ,BUF,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,9,28,Dustin Keller
,72 Games,,,,,,False,411,241,2876,11.93,17,58.6%,7.00,1,7,7.00,0,1,9,9.00,0,1,17,104,2,2,0,1,0,0,,,,,,,False,False,31,0,Dustin Keller
