Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-11-22,10,11,22.198,DAL,WAS,False,10,49,4.90,0,1,1,7,7.00,0,100.0%,7.00,3,66,22.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,7,6,Felix Jones
2009,2009-11-26,11,12,22.202,DAL,OAK,False,7,68,9.71,1,2,2,1,0.50,0,100.0%,0.50,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,24,7,Felix Jones
2009,2009-12-06,12,13,22.212,DAL,NYG,False,6,6,1.00,0,4,3,13,4.33,0,75.0%,3.25,3,66,22.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,24,31,Felix Jones
2009,2009-12-13,13,14,22.219,DAL,SDG,False,10,51,5.10,0,1,1,2,2.00,0,100.0%,2.00,3,84,28.00,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,False,False,17,20,Felix Jones
2009,2009-12-19,14,15,22.225,DAL,NOR,False,14,58,4.14,0,2,1,10,10.00,0,50.0%,5.00,3,90,30.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,24,17,Felix Jones
2009,2009-12-27,15,16,22.233,DAL,WAS,False,10,58,5.80,0,4,4,27,6.75,0,100.0%,6.75,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,17,0,Felix Jones
2009,2010-01-03,16,17,22.240,DAL,PHI,False,15,91,6.07,1,3,3,3,1.00,0,100.0%,1.00,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,24,0,Felix Jones
2010,2010-09-12,1,1,23.127,DAL,WAS,False,8,38,4.75,0,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,7,13,Felix Jones
2010,2010-09-19,2,2,23.134,DAL,CHI,False,7,7,1.00,0,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,20,27,Felix Jones
2010,2010-09-26,3,3,23.141,DAL,HOU,False,7,43,6.14,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,27,13,Felix Jones
2010,2010-10-10,4,5,23.155,DAL,TEN,False,15,109,7.27,0,4,4,17,4.25,0,100.0%,4.25,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,27,34,Felix Jones
2010,2010-10-17,5,6,23.162,DAL,MIN,False,14,32,2.29,0,10,10,61,6.10,0,100.0%,6.10,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,21,24,Felix Jones
2010,2010-10-25,6,7,23.170,DAL,NYG,False,9,35,3.89,0,3,3,27,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,35,41,Felix Jones
2010,2010-10-31,7,8,23.176,DAL,JAX,False,8,22,2.75,0,4,3,14,4.67,0,75.0%,3.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,17,35,Felix Jones
2010,2010-11-07,8,9,23.183,DAL,GNB,False,5,16,3.20,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,2,0,0,,,,,,,True,False,7,45,Felix Jones
2010,2010-11-14,9,10,23.190,DAL,NYG,True,14,51,3.64,0,3,3,85,28.33,1,100.0%,28.33,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,33,20,Felix Jones
2010,2010-11-21,10,11,23.197,DAL,DET,True,11,51,4.64,0,3,3,35,11.67,0,100.0%,11.67,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,True,35,19,Felix Jones
2010,2010-11-25,11,12,23.201,DAL,NOR,False,13,44,3.38,0,7,7,69,9.86,0,100.0%,9.86,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,False,False,27,30,Felix Jones
2010,2010-12-05,12,13,23.211,DAL,IND,True,22,83,3.77,0,3,3,8,2.67,0,100.0%,2.67,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,38,35,Felix Jones
2010,2010-12-12,13,14,23.218,DAL,PHI,True,13,41,3.15,1,4,4,42,10.50,0,100.0%,10.50,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,27,30,Felix Jones
2010,2010-12-19,14,15,23.225,DAL,WAS,True,12,70,5.83,0,3,2,47,23.50,0,66.7%,15.67,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,33,30,Felix Jones
2010,2010-12-25,15,16,23.231,DAL,ARI,True,16,77,4.81,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,26,27,Felix Jones
2010,2011-01-02,16,17,23.239,DAL,PHI,True,11,81,7.36,0,1,1,-4,-4.00,0,100.0%,-4.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,14,13,Felix Jones
2011,2011-09-11,1,1,24.126,DAL,NYJ,True,17,44,2.59,1,5,3,22,7.33,0,60.0%,4.40,0,0,,0,1,6,0.0,1,0,1,,,1,1,0,0,0,0,,,,,,,True,False,24,27,Felix Jones
2011,2011-09-18,2,2,24.133,DAL,SFO,True,9,25,2.78,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,True,True,27,24,Felix Jones
