Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-09-16,2.0,2.0,,NOR,CLE,W 21-18,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Cameron Meredith,True,21,18
2018.0,2018-09-23,3.0,3.0,26.002,NOR,ATL,W 43-37,True,1,1,11,11.00,1,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,34,43%,0,0%,0,0%,True,Cameron Meredith,True,43,37
2018.0,2018-09-30,4.0,4.0,26.009,NOR,NYG,W 33-18,False,4,3,32,10.67,0,75.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,22,31%,0,0%,0,0%,True,Cameron Meredith,True,33,18
2018.0,2018-10-08,5.0,5.0,26.017,NOR,WAS,W 43-19,False,5,5,71,14.20,0,100.0%,14.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,1,0,0,0,0,30,45%,0,0%,1,4%,False,Cameron Meredith,True,43,19
2018.0,2018-10-21,6.0,7.0,26.03,NOR,BAL,W 24-23,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,18,25%,0,0%,1,4%,True,Cameron Meredith,True,24,23
2018.0,2018-10-28,7.0,8.0,26.037,NOR,MIN,W 30-20,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,9,17%,0,0%,1,4%,True,Cameron Meredith,True,30,20
2018.0,2018-11-04,8.0,9.0,26.044,NOR,LAR,W 45-35,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,13,18%,0,0%,0,0%,False,Cameron Meredith,True,45,35
2018.0,2018-11-11,9.0,10.0,,NOR,CIN,W 51-14,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Cameron Meredith,True,51,14
2018.0,2018-11-18,10.0,11.0,,NOR,PHI,W 48-7,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Cameron Meredith,True,48,7
2018.0,2018-11-22,11.0,12.0,,NOR,ATL,W 31-17,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Cameron Meredith,True,31,17
