Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-10-09,5.0,5.0,23.016,CLE,NWE,L 13-33,False,4,1,0.25,0,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,,,0,0,,0,2,20,10.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,44%,0,0%,2,7%,False,Duke Johnson,False,13,33
2016.0,2016-10-16,6.0,6.0,23.023,CLE,TEN,L 26-28,True,4,18,4.50,1,6,4,56,14.00,0,66.7%,9.33,0,0,,0,0,0,,0,0,,,0,0,,0,2,6,3.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,32,48%,0,0%,6,18%,True,Duke Johnson,False,26,28
2016.0,2016-10-23,7.0,7.0,23.03,CLE,CIN,L 17-31,False,6,15,2.50,0,5,4,18,4.50,0,80.0%,3.60,0,0,,0,0,0,,0,0,,,0,0,,0,1,3,3.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,47%,0,0%,1,4%,True,Duke Johnson,False,17,31
2016.0,2016-10-30,8.0,8.0,23.037,CLE,NYJ,L 28-31,False,4,29,7.25,0,8,6,87,14.50,0,75.0%,10.88,0,0,,0,0,0,,0,0,,,0,0,,0,2,28,14.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,43%,0,0%,5,16%,False,Duke Johnson,False,28,31
2016.0,2016-11-06,9.0,9.0,23.044,CLE,DAL,L 10-35,False,5,30,6.00,0,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,2.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,50%,0,0%,1,4%,False,Duke Johnson,False,10,35
2016.0,2016-11-10,10.0,10.0,23.048,CLE,BAL,L 7-28,False,2,6,3.00,0,5,3,25,8.33,0,60.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,2,-2,-1.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,42%,0,0%,2,9%,True,Duke Johnson,False,7,28
2016.0,2016-11-20,11.0,11.0,23.058,CLE,PIT,L 9-24,False,2,10,5.00,0,4,3,46,15.33,0,75.0%,11.50,0,0,,0,0,0,,0,0,,,0,0,,0,3,32,10.67,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,48%,0,0%,3,14%,False,Duke Johnson,False,9,24
2016.0,2016-11-27,12.0,12.0,23.065,CLE,NYG,L 13-27,False,5,14,2.80,0,5,3,26,8.67,0,60.0%,5.20,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,3,5,1.67,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,47%,0,0%,6,19%,False,Duke Johnson,False,13,27
2016.0,2016-12-11,13.0,14.0,23.079,CLE,CIN,L 10-23,False,4,24,6.00,0,2,1,21,21.00,0,50.0%,10.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,44%,0,0%,0,0%,False,Duke Johnson,False,10,23
2016.0,2016-12-18,14.0,15.0,23.086,CLE,BUF,L 13-33,False,5,31,6.20,0,7,5,62,12.40,0,71.4%,8.86,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,29,50%,0,0%,0,0%,True,Duke Johnson,False,13,33
2016.0,2016-12-24,15.0,16.0,23.092,CLE,SDG,W 20-17,False,7,28,4.00,0,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,46%,0,0%,0,0%,False,Duke Johnson,True,20,17
2016.0,2017-01-01,16.0,17.0,23.1,CLE,PIT,L 24-27,False,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,5%,0,0%,0,0%,True,Duke Johnson,False,24,27
2017.0,2017-09-10,1.0,1.0,23.352,CLE,PIT,L 18-21,False,0,0,,0,5,2,20,10.00,0,40.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,76%,0,0%,0,0%,False,Duke Johnson,False,18,21
2017.0,2017-09-17,2.0,2.0,23.359,CLE,BAL,L 10-24,False,4,21,5.25,0,6,3,59,19.67,0,50.0%,9.83,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,55%,0,0%,0,0%,True,Duke Johnson,False,10,24
2017.0,2017-09-24,3.0,3.0,24.001,CLE,IND,L 28-31,False,2,23,11.50,1,7,6,81,13.50,0,85.7%,11.57,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,1,0,0,40,52%,0,0%,0,0%,True,Duke Johnson,False,28,31
2017.0,2017-10-01,4.0,4.0,24.008,CLE,CIN,L 7-31,False,4,13,3.25,1,10,9,47,5.22,0,90.0%,4.70,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,36,55%,0,0%,0,0%,False,Duke Johnson,False,7,31
2017.0,2017-10-08,5.0,5.0,24.015,CLE,NYJ,L 14-17,False,6,20,3.33,0,3,3,63,21.00,1,100.0%,21.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,40,53%,0,0%,0,0%,False,Duke Johnson,False,14,17
