Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-12-13,13,14,23.200,NYG,,ARI,L 7-26,True,11,21,52.38,127,0,0,70.9,6,52,6.05,6.05,0,0,,0,0,0,0,,0,0.0%,,,0,0,3,1,0,1,0,0,44,90%,0,0%,0,0%,False,Daniel Jones
2020,2020-12-20,14,15,,NYG,,CLE,L 6-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Daniel Jones
2020,2020-12-27,15,16,23.214,NYG,@,BAL,L 13-27,True,24,41,58.54,252,1,0,84.6,6,37,6.15,6.63,1,3,3.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,True,Daniel Jones
2020,2021-01-03,16,17,23.221,NYG,,DAL,W 23-19,True,17,25,68.00,229,2,1,106.9,2,18,9.16,8.96,9,17,1.89,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,58,100%,0,0%,0,0%,False,Daniel Jones
2021,2021-09-12,1,1,24.108,NYG,,DEN,L 13-27,True,22,37,59.46,267,1,0,90.7,2,13,7.22,7.76,6,27,4.50,1,0,0,0,,0,0.0%,,,1,6,1,1,0,0,0,0,61,100%,0,0%,0,0%,False,Daniel Jones
2021,2021-09-16,2,2,24.112,NYG,@,WAS,L 29-30,True,22,32,68.75,249,1,0,102.2,4,21,7.78,8.41,9,95,10.56,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,69,100%,0,0%,0,0%,True,Daniel Jones
2021,2021-09-26,3,3,24.122,NYG,,ATL,L 14-17,True,24,35,68.57,266,0,0,90.9,2,20,7.60,7.60,8,39,4.88,0,0,0,0,,0,0.0%,,1,0,2,2,0,0,2,-11,0,70,100%,0,0%,0,0%,False,Daniel Jones
2021,2021-10-03,4,4,24.129,NYG,@,NOR,W 27-21,True,28,40,70.00,402,2,1,108.5,0,0,10.05,9.93,4,27,6.75,0,0,0,0,,0,0.0%,,1,0,2,0,0,0,0,0,0,63,100%,0,0%,0,0%,True,Daniel Jones
2021,2021-10-10,5,5,24.136,NYG,@,DAL,L 20-44,True,5,13,38.46,98,0,0,65.5,0,0,7.54,7.54,3,9,3.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,29,43%,0,0%,0,0%,True,Daniel Jones
2021,2021-10-17,6,6,24.143,NYG,,LAR,L 11-38,True,29,51,56.86,242,0,3,44.7,4,41,4.75,2.10,3,4,1.33,0,0,0,0,,0,0.0%,,,0,0,2,1,0,0,0,0,75,100%,0,0%,0,0%,False,Daniel Jones
2021,2021-10-24,7,7,24.150,NYG,,CAR,W 25-3,True,23,33,69.70,203,1,0,95.9,2,20,6.15,6.76,8,28,3.50,0,1,1,16,16.00,0,100.0%,16.00,,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,False,Daniel Jones
2021,2021-11-01,8,8,24.158,NYG,@,KAN,L 17-20,True,22,32,68.75,222,2,1,96.1,3,13,6.94,6.78,5,12,2.40,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,60,100%,0,0%,0,0%,True,Daniel Jones
2021,2021-11-07,9,9,24.164,NYG,,LVR,W 23-16,True,15,20,75.00,110,1,0,104.2,2,6,5.50,6.50,4,17,4.25,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,56,100%,0,0%,0,0%,False,Daniel Jones
2021,2021-11-22,10,11,24.179,NYG,@,TAM,L 10-30,True,23,38,60.53,167,1,2,57.7,2,18,4.39,2.55,3,10,3.33,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,True,Daniel Jones
2021,2021-11-28,11,12,24.185,NYG,,PHI,W 13-7,True,19,30,63.33,202,1,0,94.0,1,8,6.73,7.40,9,30,3.33,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,False,Daniel Jones
2021,2021-12-05,12,13,,NYG,@,MIA,L 9-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Daniel Jones
2021,2021-12-12,13,14,,NYG,@,LAC,L 21-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Daniel Jones
2021,2021-12-19,14,15,,NYG,,DAL,L 6-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Daniel Jones
2021,2021-12-26,15,16,,NYG,@,PHI,L 10-34,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Daniel Jones
2021,2022-01-02,16,17,,NYG,@,CHI,L 3-29,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Daniel Jones
2021,2022-01-09,17,18,,NYG,,WAS,L 7-22,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Daniel Jones
,38 Games,,,,,,,12-26-0,False,796,1268,62.78,8398,45,29,84.3,105,741,6.62,6.30,172,1000,5.81,5,1,1,16,16.00,0,100.0%,16.00,2,5,34,37,20,0,8,-31,0,,,,,,,False,Daniel Jones
