Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2015,2016-01-03,16,17,,TAM,CAR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,10,38,Brandon Myers
2016,2016-09-11,1,1,31.007,TAM,ATL,False,1,1,4,4.00,1,100.0%,4.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,13,20%,0,0%,10,32%,True,True,31,24,Brandon Myers
2016,2016-09-18,2,2,31.014,TAM,ARI,False,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,22,28%,0,0%,16,52%,True,False,7,40,Brandon Myers
2016,2016-09-25,3,3,31.021,TAM,LAR,True,3,1,7,7.00,0,33.3%,2.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,48%,0,0%,11,35%,False,False,32,37,Brandon Myers
2016,2016-10-02,4,4,31.028,TAM,DEN,True,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,30%,0,0%,4,14%,False,False,7,27,Brandon Myers
2016,2016-10-10,5,5,31.036,TAM,CAR,True,1,1,12,12.00,0,100.0%,12.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,66%,0,0%,12,48%,True,True,17,14,Brandon Myers
2016,2016-10-23,6,7,31.049,TAM,SFO,False,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,37%,0,0%,13,43%,True,True,34,17,Brandon Myers
2016,2016-10-30,7,8,31.056,TAM,OAK,True,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,21%,0,0%,16,47%,False,False,24,30,Brandon Myers
2016,2016-11-03,8,9,31.060,TAM,ATL,False,0,0,0,,0,0.0%,,0,0,,0,1,0,2,0.0,0,0,0,,,0,0,0,0,0,0,14,18%,0,0%,14,54%,False,False,28,43,Brandon Myers
2016,2016-11-13,9,10,31.070,TAM,CHI,True,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,16%,0,0%,13,46%,False,True,36,10,Brandon Myers
2016,2016-11-20,10,11,31.077,TAM,KAN,True,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,29%,0,0%,11,48%,True,True,19,17,Brandon Myers
2016,2016-11-27,11,12,31.084,TAM,SEA,True,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,22%,0,0%,8,38%,False,True,14,5,Brandon Myers
2016,2016-12-04,12,13,31.091,TAM,SDG,False,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,60%,0,0%,10,42%,True,True,28,21,Brandon Myers
2016,2016-12-11,13,14,31.098,TAM,NOR,True,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,61%,0,0%,7,29%,False,True,16,11,Brandon Myers
2016,2016-12-18,14,15,31.105,TAM,DAL,False,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,5%,0,0%,14,47%,True,False,20,26,Brandon Myers
2016,2016-12-24,15,16,31.111,TAM,NOR,False,6,2,21,10.50,0,33.3%,3.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,43%,0,0%,13,50%,True,False,24,31,Brandon Myers
2016,2017-01-01,16,17,31.119,TAM,CAR,True,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,57%,0,0%,8,30%,False,True,17,16,Brandon Myers
,115 Games,,,,,,False,293,199,1954,9.82,9,67.9%,6.67,1,0,0.00,0,1,9,56,0.0,16,3,19,0,0,1,0,1,2,0,0,,,,,,,False,False,69,0,Brandon Myers
