Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-10-02,4,4,28.144,KAN,@,PIT,L 14-43,True,8,5,78,15.60,0,62.5%,9.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,73,97%,0,0%,0,0%,True,Jeremy Maclin
2016,2016-10-16,5,6,28.158,KAN,@,OAK,W 26-10,True,3,3,49,16.33,0,100.0%,16.33,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,53,82%,0,0%,0,0%,True,Jeremy Maclin
2016,2016-10-23,6,7,28.165,KAN,,NOR,W 27-21,True,5,4,40,10.00,0,80.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,43,83%,0,0%,1,4%,False,Jeremy Maclin
2016,2016-10-30,7,8,28.172,KAN,@,IND,W 30-14,True,10,3,43,14.33,1,30.0%,4.30,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,65,88%,0,0%,0,0%,True,Jeremy Maclin
2016,2016-11-06,8,9,28.179,KAN,,JAX,W 19-14,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,2,3%,0,0%,0,0%,False,Jeremy Maclin
2016,2016-11-13,9,10,,KAN,@,CAR,W 20-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jeremy Maclin
2016,2016-11-20,10,11,,KAN,,TAM,L 17-19,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jeremy Maclin
2016,2016-11-27,11,12,,KAN,@,DEN,W 30-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jeremy Maclin
2016,2016-12-04,12,13,,KAN,@,ATL,W 29-28,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jeremy Maclin
2016,2016-12-08,13,14,28.211,KAN,,OAK,W 21-13,True,3,1,16,16.00,0,33.3%,5.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,42,76%,0,0%,0,0%,False,Jeremy Maclin
2016,2016-12-18,14,15,28.221,KAN,,TEN,L 17-19,True,8,6,82,13.67,0,75.0%,10.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,49,84%,0,0%,1,4%,False,Jeremy Maclin
2016,2016-12-25,15,16,28.228,KAN,,DEN,W 33-10,True,4,3,9,3.00,0,75.0%,2.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,66,87%,0,0%,0,0%,False,Jeremy Maclin
2016,2017-01-01,16,17,28.235,KAN,@,SDG,W 37-27,True,5,4,53,13.25,0,80.0%,10.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,49,80%,0,0%,2,7%,True,Jeremy Maclin
2017,2017-09-10,1,1,29.122,BAL,@,CIN,W 20-0,True,4,2,56,28.00,1,50.0%,14.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,48,73%,0,0%,0,0%,True,Jeremy Maclin
2017,2017-09-17,2,2,29.129,BAL,,CLE,W 24-10,True,5,4,31,7.75,1,80.0%,6.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,43,63%,0,0%,0,0%,False,Jeremy Maclin
2017,2017-09-24,3,3,29.136,BAL,@,JAX,L 7-44,True,5,1,8,8.00,0,20.0%,1.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,36,62%,0,0%,0,0%,True,Jeremy Maclin
2017,2017-10-01,4,4,29.143,BAL,,PIT,L 9-26,True,6,3,21,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,47,68%,0,0%,0,0%,False,Jeremy Maclin
2017,2017-10-08,5,5,29.150,BAL,@,OAK,W 30-17,True,8,6,43,7.17,0,75.0%,5.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,46,70%,0,0%,0,0%,True,Jeremy Maclin
2017,2017-10-15,6,6,,BAL,,CHI,L 24-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jeremy Maclin
2017,2017-10-22,7,7,,BAL,@,MIN,L 16-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jeremy Maclin
2017,2017-10-26,8,8,29.168,BAL,,MIA,W 40-0,True,5,3,53,17.67,1,60.0%,10.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,37,57%,0,0%,0,0%,False,Jeremy Maclin
2017,2017-11-05,9,9,29.178,BAL,@,TEN,L 20-23,True,9,8,98,12.25,0,88.9%,10.89,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,61,80%,0,0%,0,0%,True,Jeremy Maclin
2017,2017-11-19,10,11,29.192,BAL,@,GNB,W 23-0,True,5,4,34,8.50,0,80.0%,6.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,44,75%,0,0%,0,0%,True,Jeremy Maclin
2017,2017-11-27,11,12,29.200,BAL,,HOU,W 23-16,True,5,1,6,6.00,0,20.0%,1.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,49,73%,0,0%,0,0%,False,Jeremy Maclin
2017,2017-12-03,12,13,29.206,BAL,,DET,W 44-20,True,8,4,41,10.25,0,50.0%,5.13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,46,72%,0,0%,0,0%,False,Jeremy Maclin
2017,2017-12-10,13,14,29.213,BAL,@,PIT,L 38-39,True,11,3,27,9.00,0,27.3%,2.45,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,50,78%,0,0%,0,0%,True,Jeremy Maclin
2017,2017-12-17,14,15,29.220,BAL,@,CLE,W 27-10,True,1,1,22,22.00,0,100.0%,22.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,5,7%,0,0%,0,0%,True,Jeremy Maclin
2017,2017-12-23,15,16,,BAL,,IND,W 23-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jeremy Maclin
2017,2017-12-31,16,17,,BAL,,CIN,L 27-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jeremy Maclin
,114 Games,,,,,,,68-46-0,False,839,514,6835,13.30,49,61.3%,8.15,10,43,4.30,0,0,1,0.00,0,0,0,39.6,1,3,0.00,0.00,8,146,18.25,0,17,114,6.71,0,49,294,5,4,0,0,0,0,,,,,,,False,Jeremy Maclin
