Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-09-22,3,3,,SEA,,NOR,L 27-33,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Rashaad Penny
2019,2019-09-29,4,4,,SEA,@,ARI,W 27-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Rashaad Penny
2019,2019-10-03,5,5,23.243,SEA,,LAR,W 30-29,False,6,18,3.00,0,2,2,31,15.50,0,100.0%,15.50,0,0,,0,0,0,0,0,0,0,0,0,11,15%,0,0%,0,0%,False,Rashaad Penny
2019,2019-10-13,6,6,,SEA,@,CLE,W 32-28,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Rashaad Penny
2019,2019-10-20,7,7,23.260,SEA,,BAL,L 16-30,False,,,,,,,,,,0.0%,,,,,,0,0,0,,,0,0,0,2,3%,0,0%,0,0%,False,Rashaad Penny
2019,2019-10-27,8,8,23.267,SEA,@,ATL,W 27-20,False,8,55,6.88,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,18,30%,0,0%,0,0%,True,Rashaad Penny
2019,2019-11-03,9,9,23.274,SEA,,TAM,W 40-34,False,4,12,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,11,15%,0,0%,0,0%,False,Rashaad Penny
2019,2019-11-11,10,10,23.282,SEA,@,SFO,W 27-24,False,2,2,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,1,1,0,0,0,0,3,4%,0,0%,0,0%,True,Rashaad Penny
2019,2019-11-24,11,12,23.295,SEA,@,PHI,W 17-9,False,14,129,9.21,1,1,0,0,,0,0.0%,0.00,0,0,,0,1,6,0,0,0,0,0,0,30,49%,0,0%,0,0%,True,Rashaad Penny
2019,2019-12-02,12,13,23.303,SEA,,MIN,W 37-30,False,15,74,4.93,1,5,4,33,8.25,1,80.0%,6.60,0,0,,0,2,12,0,0,0,0,0,0,35,47%,0,0%,0,0%,False,Rashaad Penny
2019,2019-12-08,13,14,23.309,SEA,@,LAR,L 12-28,False,0,0,,0,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,0,0,0,0,0,0,1,2%,0,0%,0,0%,True,Rashaad Penny
2019,2019-12-15,14,15,,SEA,@,CAR,W 30-24,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Rashaad Penny
