Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-11-25,11.0,12.0,,TAM,SFO,W 27-9,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Ronald Jones II,True,27,9
2018.0,2018-12-02,12.0,13.0,21.121,TAM,CAR,W 24-17,False,4,2,0.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,14%,0,0%,11,46%,False,Ronald Jones II,True,24,17
2018.0,2018-12-09,13.0,14.0,21.128,TAM,NOR,L 14-28,False,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,4,6%,0,0%,14,54%,False,Ronald Jones II,False,14,28
2018.0,2018-12-16,14.0,15.0,21.135,TAM,BAL,L 12-20,False,0,0,,0,2,1,-1,-1.00,0,50.0%,-0.50,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,8%,0,0%,12,52%,True,Ronald Jones II,False,12,20
2018.0,2018-12-23,15.0,16.0,21.142,TAM,DAL,L 20-27,False,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,14,52%,True,Ronald Jones II,False,20,27
2018.0,2018-12-30,16.0,17.0,21.149,TAM,ATL,L 32-34,False,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,17,53%,False,Ronald Jones II,False,32,34
2019.0,2019-09-08,1.0,1.0,22.036,TAM,SFO,L 17-31,False,13,75,5.77,0,1,1,18,18.00,0,100.0%,18.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,32%,0,0%,0,0%,False,Ronald Jones II,False,17,31
2019.0,2019-09-12,2.0,2.0,22.04,TAM,CAR,W 20-14,False,4,9,2.25,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,12%,0,0%,0,0%,True,Ronald Jones II,True,20,14
2019.0,2019-09-22,3.0,3.0,22.05,TAM,NYG,L 31-32,False,14,80,5.71,0,1,1,41,41.00,0,100.0%,41.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,31%,0,0%,0,0%,False,Ronald Jones II,False,31,32
2019.0,2019-09-29,4.0,4.0,22.057,TAM,LAR,W 55-40,False,19,70,3.68,1,1,1,12,12.00,0,100.0%,12.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,36,49%,0,0%,0,0%,True,Ronald Jones II,True,55,40
2019.0,2019-10-06,5.0,5.0,22.064,TAM,NOR,L 24-31,False,9,35,3.89,0,3,2,21,10.50,0,66.7%,7.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,33%,0,0%,0,0%,True,Ronald Jones II,False,24,31
