Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2012.0,2012-10-21,7.0,7.0,23.172,NWE,NYJ,W 29-26,True,8,49,6.13,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,22%,0,0%,7,20%,False,Shane Vereen,True,29,26
2012.0,2012-10-28,8.0,8.0,23.179,NWE,STL,W 45-7,False,7,22,3.14,1,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,22,31%,0,0%,2,7%,True,Shane Vereen,True,45,7
2012.0,2012-11-11,9.0,10.0,23.193,NWE,BUF,W 37-31,False,5,5,1.00,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,21%,0,0%,7,23%,False,Shane Vereen,True,37,31
2012.0,2012-11-18,10.0,11.0,23.2,NWE,IND,W 59-24,False,11,40,3.64,1,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,19,31%,0,0%,5,14%,False,Shane Vereen,True,59,24
2012.0,2012-11-22,11.0,12.0,23.204,NWE,NYJ,W 49-19,False,10,42,4.20,0,2,2,91,45.50,1,100.0%,45.50,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,16,24%,0,0%,2,6%,True,Shane Vereen,True,49,19
2012.0,2012-12-02,12.0,13.0,23.214,NWE,MIA,W 23-16,False,3,14,4.67,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,17%,0,0%,0,0%,True,Shane Vereen,True,23,16
2012.0,2012-12-10,13.0,14.0,23.222,NWE,HOU,W 42-14,False,8,40,5.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,30%,0,0%,2,7%,False,Shane Vereen,True,42,14
2012.0,2012-12-16,14.0,15.0,23.228,NWE,SFO,L 34-41,False,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,2,2%,0,0%,0,0%,False,Shane Vereen,False,34,41
2012.0,2012-12-23,15.0,16.0,23.235,NWE,JAX,W 23-16,False,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,3,4%,0,0%,5,17%,True,Shane Vereen,True,23,16
2012.0,2012-12-30,16.0,17.0,23.242,NWE,MIA,W 28-0,False,8,38,4.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,18%,0,0%,1,5%,False,Shane Vereen,True,28,0
