Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-12-02,12,13,25.029,DET,,LAR,L 16-30,True,8,3,50,16.67,0,37.5%,6.25,0,0,,0,0,0,0,0,0,0,0,0,70,97%,0,0%,0,0%,False,Kenny Golladay
2018,2018-12-09,13,14,25.036,DET,@,ARI,W 17-3,True,4,2,5,2.50,0,50.0%,1.25,0,0,,0,0,0,0,0,0,0,0,0,50,83%,0,0%,0,0%,True,Kenny Golladay
2018,2018-12-16,14,15,25.043,DET,@,BUF,L 13-14,True,8,7,146,20.86,0,87.5%,18.25,0,0,,0,0,0,0,0,0,0,0,0,52,91%,0,0%,0,0%,True,Kenny Golladay
2018,2018-12-23,15,16,25.050,DET,,MIN,L 9-27,True,15,6,58,9.67,0,40.0%,3.87,0,0,,0,0,0,0,0,0,0,0,0,58,77%,1,2%,0,0%,False,Kenny Golladay
2018,2018-12-30,16,17,,DET,@,GNB,W 31-0,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kenny Golladay
2019,2019-09-08,1,1,25.309,DET,@,ARI,T 27-27,True,9,4,42,10.50,1,44.4%,4.67,0,0,,0,1,6,0,0,0,0,0,0,82,98%,0,0%,0,0%,True,Kenny Golladay
2019,2019-09-15,2,2,25.316,DET,,LAC,W 13-10,True,10,8,117,14.63,1,80.0%,11.70,0,0,,0,1,6,0,0,0,0,0,0,55,92%,0,0%,0,0%,False,Kenny Golladay
2019,2019-09-22,3,3,25.323,DET,@,PHI,W 27-24,True,8,2,17,8.50,0,25.0%,2.13,0,0,,0,0,0,0,0,0,0,0,0,49,80%,0,0%,0,0%,True,Kenny Golladay
2019,2019-09-29,4,4,25.330,DET,,KAN,L 30-34,True,9,5,67,13.40,2,55.6%,7.44,0,0,,0,2,12,0,0,0,0,0,0,68,89%,0,0%,0,0%,False,Kenny Golladay
2019,2019-10-14,5,6,25.345,DET,@,GNB,L 22-23,True,9,5,121,24.20,0,55.6%,13.44,0,0,,0,0,0,0,0,0,0,0,0,43,78%,0,0%,0,0%,True,Kenny Golladay
2019,2019-10-20,6,7,25.351,DET,,MIN,L 30-42,True,2,1,21,21.00,0,50.0%,10.50,0,0,,0,0,0,0,0,0,0,0,0,61,81%,0,0%,0,0%,False,Kenny Golladay
2019,2019-10-27,7,8,25.358,DET,,NYG,W 31-26,True,8,6,123,20.50,2,75.0%,15.38,0,0,,0,2,12,1,1,0,0,0,0,51,82%,0,0%,1,4%,False,Kenny Golladay
2019,2019-11-03,8,9,26.000,DET,@,OAK,L 24-31,True,7,4,132,33.00,1,57.1%,18.86,0,0,,0,1,6,0,0,0,0,0,0,57,83%,0,0%,0,0%,True,Kenny Golladay
2019,2019-11-10,9,10,26.007,DET,@,CHI,L 13-20,True,9,3,57,19.00,1,33.3%,6.33,0,0,,0,1,6,0,0,0,0,0,0,77,94%,0,0%,0,0%,True,Kenny Golladay
2019,2019-11-17,10,11,26.014,DET,,DAL,L 27-35,True,5,1,34,34.00,0,20.0%,6.80,0,0,,0,0,0,0,0,0,0,0,0,57,92%,0,0%,1,3%,False,Kenny Golladay
2019,2019-11-24,11,12,26.021,DET,@,WAS,L 16-19,True,4,4,61,15.25,0,100.0%,15.25,0,0,,0,0,0,0,0,0,0,0,0,68,92%,0,0%,0,0%,True,Kenny Golladay
2019,2019-11-28,12,13,26.025,DET,,CHI,L 20-24,True,5,4,158,39.50,1,80.0%,31.60,0,0,,0,1,6,0,0,0,0,0,0,71,96%,0,0%,0,0%,False,Kenny Golladay
2019,2019-12-08,13,14,26.035,DET,@,MIN,L 7-20,True,8,6,58,9.67,1,75.0%,7.25,0,0,,0,1,6,0,0,0,0,0,0,67,94%,0,0%,1,4%,True,Kenny Golladay
2019,2019-12-15,14,15,26.042,DET,,TAM,L 17-38,True,7,3,44,14.67,0,42.9%,6.29,0,0,,0,0,0,0,0,0,0,0,0,60,94%,0,0%,0,0%,False,Kenny Golladay
2019,2019-12-22,15,16,26.049,DET,@,DEN,L 17-27,True,12,6,66,11.00,1,50.0%,5.50,0,0,,0,1,6,0,0,0,0,0,0,48,96%,0,0%,0,0%,True,Kenny Golladay
2019,2019-12-29,16,17,26.056,DET,,GNB,L 20-23,True,4,3,72,24.00,0,75.0%,18.00,0,0,,0,0,0,0,0,0,0,0,0,23,38%,0,0%,0,0%,False,Kenny Golladay
2020,2020-09-13,1,1,,DET,,CHI,L 23-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kenny Golladay
2020,2020-09-20,2,2,,DET,@,GNB,L 21-42,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kenny Golladay
2020,2020-09-27,3,3,26.329,DET,@,ARI,W 26-23,True,7,6,57,9.50,1,85.7%,8.14,0,0,,0,1,6,0,0,0,0,0,0,48,73%,0,0%,0,0%,True,Kenny Golladay
2020,2020-10-04,4,4,26.336,DET,,NOR,L 29-35,True,8,4,62,15.50,1,50.0%,7.75,0,0,,0,1,6,0,0,0,0,0,0,50,82%,0,0%,0,0%,False,Kenny Golladay
2020,2020-10-18,5,6,26.350,DET,@,JAX,W 34-16,True,6,4,105,26.25,0,66.7%,17.50,0,0,,0,0,0,0,0,0,0,0,0,57,74%,0,0%,1,4%,True,Kenny Golladay
2020,2020-10-25,6,7,26.357,DET,@,ATL,W 23-22,True,7,6,114,19.00,0,85.7%,16.29,0,0,,0,0,0,0,0,0,0,0,0,51,84%,0,0%,0,0%,True,Kenny Golladay
2020,2020-11-01,7,8,26.364,DET,,IND,L 21-41,True,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,18,30%,0,0%,0,0%,False,Kenny Golladay
2020,2020-11-08,8,9,,DET,@,MIN,L 20-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kenny Golladay
2020,2020-11-15,9,10,,DET,,WAS,W 30-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kenny Golladay
2020,2020-11-22,10,11,,DET,@,CAR,L 0-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kenny Golladay
2020,2020-11-26,11,12,,DET,,HOU,L 25-41,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kenny Golladay
2020,2020-12-06,12,13,,DET,@,CHI,W 34-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kenny Golladay
2020,2020-12-13,13,14,,DET,,GNB,L 24-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kenny Golladay
2020,2020-12-20,14,15,,DET,@,TEN,L 25-46,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kenny Golladay
2020,2020-12-26,15,16,,DET,,TAM,L 7-47,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kenny Golladay
2020,2021-01-03,16,17,,DET,,MIN,L 35-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kenny Golladay
2021,2021-09-12,1,1,27.313,NYG,,DEN,L 13-27,True,6,4,64,16.00,0,66.7%,10.67,0,0,,0,0,0,0,0,0,0,0,0,52,85%,0,0%,0,0%,False,Kenny Golladay
2021,2021-09-16,2,2,27.317,NYG,@,WAS,L 29-30,True,8,3,38,12.67,0,37.5%,4.75,0,0,,0,0,0,0,0,0,0,0,0,58,84%,0,0%,0,0%,True,Kenny Golladay
2021,2021-09-26,3,3,27.327,NYG,,ATL,L 14-17,True,5,4,64,16.00,0,80.0%,12.80,0,0,,0,0,0,0,0,0,0,0,0,48,69%,0,0%,0,0%,False,Kenny Golladay
2021,2021-10-03,4,4,27.334,NYG,@,NOR,W 27-21,True,7,6,116,19.33,0,85.7%,16.57,0,0,,0,0,0,0,0,0,0,0,0,58,92%,0,0%,0,0%,True,Kenny Golladay
2021,2021-10-10,5,5,27.341,NYG,@,DAL,L 20-44,True,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,24,35%,0,0%,0,0%,True,Kenny Golladay
2021,2021-10-17,6,6,,NYG,,LAR,L 11-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kenny Golladay
2021,2021-10-24,7,7,,NYG,,CAR,W 25-3,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kenny Golladay
2021,2021-11-01,8,8,,NYG,@,KAN,L 17-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kenny Golladay
2021,2021-11-07,9,9,28.004,NYG,,LVR,W 23-16,True,3,2,28,14.00,0,66.7%,9.33,0,0,,0,0,0,0,0,0,0,0,0,31,55%,0,0%,0,0%,False,Kenny Golladay
2021,2021-11-22,10,11,28.019,NYG,@,TAM,L 10-30,True,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,0,0,0,0,0,0,44,76%,0,0%,0,0%,True,Kenny Golladay
2021,2021-11-28,11,12,28.025,NYG,,PHI,W 13-7,True,7,3,50,16.67,0,42.9%,7.14,0,0,,0,0,0,0,0,0,0,0,0,46,77%,0,0%,0,0%,False,Kenny Golladay
2021,2021-12-05,12,13,28.032,NYG,@,MIA,L 9-20,True,5,3,37,12.33,0,60.0%,7.40,0,0,,0,0,0,0,0,0,0,0,0,38,58%,0,0%,0,0%,True,Kenny Golladay
2021,2021-12-12,13,14,28.039,NYG,@,LAC,L 21-37,True,8,2,15,7.50,0,25.0%,1.88,0,0,,0,0,0,0,0,0,0,0,0,61,88%,0,0%,0,0%,True,Kenny Golladay
2021,2021-12-19,14,15,28.046,NYG,,DAL,L 6-21,True,8,3,53,17.67,0,37.5%,6.63,0,0,,0,0,0,0,0,0,0,0,0,57,90%,0,0%,0,0%,False,Kenny Golladay
2021,2021-12-26,15,16,28.053,NYG,@,PHI,L 10-34,True,8,3,22,7.33,0,37.5%,2.75,0,0,,0,0,0,0,0,0,0,0,0,61,80%,0,0%,0,0%,True,Kenny Golladay
2021,2022-01-02,16,17,28.060,NYG,@,CHI,L 3-29,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,45,80%,0,0%,0,0%,True,Kenny Golladay
2021,2022-01-09,17,18,28.067,NYG,,WAS,L 7-22,True,5,3,22,7.33,0,60.0%,4.40,0,0,,0,0,0,0,0,0,0,0,0,43,72%,0,0%,0,0%,False,Kenny Golladay
,61 Games,,,,,,,21-39-1,False,391,220,3589,16.31,21,56.3%,9.18,2,17,8.50,0,21,126,2,1,0,2,0,0,,,,,,,False,Kenny Golladay
