Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-12-11,13.0,14.0,24.297,PIT,BUF,W 27-20,True,38,236,6.21,3,5,4,62,15.50,0,80.0%,12.40,0,0,,0,0,0,,0,0,,,,3,18,0,0,0,0,0,0,72,96%,0,0%,2,8%,True,Le'Veon Bell,True,27,20
2016.0,2016-12-18,14.0,15.0,24.304,PIT,CIN,W 24-20,True,23,93,4.04,0,8,5,38,7.60,0,62.5%,4.75,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,True,Le'Veon Bell,True,24,20
2016.0,2016-12-25,15.0,16.0,24.311,PIT,BAL,W 31-27,True,20,122,6.10,1,4,3,15,5.00,1,75.0%,3.75,0,0,,0,0,0,,0,0,,,,2,12,0,0,0,0,0,0,57,98%,0,0%,0,0%,False,Le'Veon Bell,True,31,27
2016.0,2017-01-01,16.0,17.0,,PIT,CLE,W 27-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Le'Veon Bell,True,27,24
2017.0,2017-09-10,1.0,1.0,25.204,PIT,CLE,W 21-18,True,10,32,3.20,0,6,3,15,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,43,72%,0,0%,1,4%,True,Le'Veon Bell,True,21,18
2017.0,2017-09-17,2.0,2.0,25.211,PIT,MIN,W 26-9,True,27,87,3.22,0,4,4,4,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,68,92%,0,0%,0,0%,False,Le'Veon Bell,True,26,9
2017.0,2017-09-24,3.0,3.0,25.218,PIT,CHI,L 17-23,True,15,61,4.07,1,7,6,37,6.17,0,85.7%,5.29,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,62,97%,0,0%,0,0%,True,Le'Veon Bell,False,17,23
2017.0,2017-10-01,4.0,4.0,25.225,PIT,BAL,W 26-9,True,35,144,4.11,2,6,4,42,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,,,,2,12,1,0,0,0,0,0,69,91%,0,0%,0,0%,True,Le'Veon Bell,True,26,9
2017.0,2017-10-08,5.0,5.0,25.232,PIT,JAX,L 9-30,True,15,47,3.13,0,10,10,46,4.60,0,100.0%,4.60,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,74,92%,0,0%,0,0%,False,Le'Veon Bell,False,9,30
2017.0,2017-10-15,6.0,6.0,25.239,PIT,KAN,W 19-13,True,32,179,5.59,1,6,3,12,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,58,91%,0,0%,1,4%,True,Le'Veon Bell,True,19,13
