Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2006,2006-12-31,16,17,24.280,SDG,ARI,False,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,0,,0,,,,,,,False,True,27,20,Nate Kaeding
2007,2007-09-09,1,1,25.167,SDG,CHI,False,2,2,100.0,,1,0.0,0,2,0.0,1,0,1,0,0,0,0,,0,,,,,,,False,True,14,3,Nate Kaeding
2007,2007-09-16,2,2,25.174,SDG,NWE,False,2,2,100.0,,,,0,2,0.0,,,,,,0,0,,,,,,,,,True,False,14,38,Nate Kaeding
2007,2007-09-23,3,3,25.181,SDG,GNB,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,,0,,,,,,,True,False,24,31,Nate Kaeding
2007,2007-09-30,4,4,25.188,SDG,KAN,False,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,0,0,,0,,,,,,,False,False,16,30,Nate Kaeding
2007,2007-10-07,5,5,25.195,SDG,DEN,False,5,5,100.0,2,2,100.0,0,11,0.0,,,,,,0,0,,0,,,,,,,True,True,41,3,Nate Kaeding
2007,2007-10-14,6,6,25.202,SDG,OAK,False,4,4,100.0,,1,0.0,0,4,0.0,,,,,,0,0,,0,,,,,,,False,True,28,14,Nate Kaeding
2007,2007-10-28,7,8,25.216,SDG,HOU,False,5,5,100.0,,,,0,5,0.0,,,,,,0,0,,,,,,,,,False,True,35,10,Nate Kaeding
2007,2007-11-04,8,9,25.223,SDG,MIN,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,0,,0,,,,,,,True,False,17,35,Nate Kaeding
2007,2007-11-11,9,10,25.230,SDG,IND,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,0,,0,,,,,,,False,True,23,21,Nate Kaeding
