Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2021.0,2021-10-10,5.0,5.0,26.074,JAX,TEN,L 19-37,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,80,40.00,0,0,0%,0,0%,9,35%,False,Logan Cooke,False,19,37
2021.0,2021-10-17,6.0,6.0,26.081,JAX,MIA,W 23-20,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,152,38.00,0,0,0%,0,0%,14,50%,False,Logan Cooke,True,23,20
2021.0,2021-10-31,7.0,8.0,26.095,JAX,SEA,L 7-31,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,195,48.75,0,0,0%,0,0%,5,22%,True,Logan Cooke,False,7,31
2021.0,2021-11-07,8.0,9.0,26.102,JAX,BUF,W 9-6,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,180,45.00,0,0,0%,0,0%,9,43%,False,Logan Cooke,True,9,6
2021.0,2021-11-14,9.0,10.0,26.109,JAX,IND,L 17-23,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,7,332,47.43,0,0,0%,0,0%,11,34%,True,Logan Cooke,False,17,23
2021.0,2021-11-21,10.0,11.0,26.116,JAX,SFO,L 10-30,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,193,48.25,0,0,0%,0,0%,6,26%,False,Logan Cooke,False,10,30
2021.0,2021-11-28,11.0,12.0,26.123,JAX,ATL,L 14-21,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,130,43.33,0,0,0%,0,0%,5,23%,False,Logan Cooke,False,14,21
2021.0,2021-12-05,12.0,13.0,26.13,JAX,LAR,L 7-37,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,247,49.40,0,0,0%,0,0%,6,23%,True,Logan Cooke,False,7,37
2021.0,2021-12-12,13.0,14.0,26.137,JAX,TEN,L 0-20,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,225,45.00,0,0,0%,0,0%,5,24%,True,Logan Cooke,False,0,20
2021.0,2021-12-19,14.0,15.0,26.144,JAX,HOU,L 16-30,False,0,0,,0,0,0,,0,0,,,0.0,0,1,1,0,0,0,0,0,0,0,0,5,237,47.40,0,0,0%,0,0%,12,38%,False,Logan Cooke,False,16,30
2021.0,2021-12-26,15.0,16.0,26.151,JAX,NYJ,L 21-26,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,59,59.00,0,0,0%,0,0%,10,42%,True,Logan Cooke,False,21,26
2021.0,2022-01-02,16.0,17.0,,JAX,NWE,L 10-50,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Logan Cooke,False,10,50
2021.0,2022-01-09,17.0,18.0,,JAX,IND,W 26-11,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Logan Cooke,True,26,11
,61 Games,,,,,,14-47-0,False,3,3,100.00,20,0,0,94.4,1,19,6.67,6.67,0.0,2,1,3,0,0,1,0,0,0,0,0,281,13074,46.53,0,,,,,,,False,Logan Cooke,False,47,0
