Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-12-02,12,13,23.206,PIT,BAL,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,154,38.50,0,0,0%,0,0%,9,32%,True,True,23,20,Drew Butler
2012,2012-12-09,13,14,23.213,PIT,SDG,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,7,332,47.43,0,0,0%,0,0%,11,30%,False,False,24,34,Drew Butler
2012,2012-12-16,14,15,23.220,PIT,DAL,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,258,43.00,0,0,0%,0,0%,10,31%,True,False,24,27,Drew Butler
2012,2012-12-23,15,16,23.227,PIT,CIN,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,7,317,45.29,0,0,0%,0,0%,12,41%,False,False,10,13,Drew Butler
2012,2012-12-30,16,17,23.234,PIT,CLE,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,251,41.83,0,0,0%,0,0%,10,40%,False,True,24,10,Drew Butler
2014,2014-09-08,1,1,25.121,ARI,SDG,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,218,54.50,1,0,0%,0,0%,5,21%,False,True,18,17,Drew Butler
2014,2014-09-14,2,2,25.127,ARI,NYG,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,164,41.00,0,0,0%,0,0%,9,36%,True,True,25,14,Drew Butler
2014,2014-09-21,3,3,25.134,ARI,SFO,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,1,49,49.00,0,0,0%,0,0%,6,27%,False,True,23,14,Drew Butler
2014,2014-10-12,5,6,25.155,ARI,WAS,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,7,270,38.57,0,0,0%,0,0%,13,38%,False,True,30,20,Drew Butler
2014,2014-10-19,6,7,25.162,ARI,OAK,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,168,42.00,0,0,0%,0,0%,8,31%,True,True,24,13,Drew Butler
2014,2014-10-26,7,8,25.169,ARI,PHI,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,8,343,42.88,0,0,0%,0,0%,12,38%,False,True,24,20,Drew Butler
2014,2014-11-02,8,9,25.176,ARI,DAL,False,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,5,196,39.20,0,0,0%,0,0%,9,35%,True,True,28,17,Drew Butler
2014,2014-11-09,9,10,25.183,ARI,STL,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,268,44.67,0,0,0%,0,0%,12,40%,False,True,31,14,Drew Butler
2014,2014-11-16,10,11,25.190,ARI,DET,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,197,39.40,0,0,0%,0,0%,7,33%,False,True,14,6,Drew Butler
2014,2014-11-23,11,12,25.197,ARI,SEA,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,223,37.17,1,0,0%,0,0%,9,35%,True,False,3,19,Drew Butler
2014,2014-11-30,12,13,25.204,ARI,ATL,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,242,48.40,0,0,0%,0,0%,7,24%,True,False,18,29,Drew Butler
2014,2014-12-07,13,14,25.211,ARI,KAN,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,183,45.75,0,0,0%,0,0%,9,39%,False,True,17,14,Drew Butler
2014,2014-12-11,14,15,25.215,ARI,STL,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,8,307,38.38,0,0,0%,0,0%,12,40%,True,True,12,6,Drew Butler
2014,2014-12-21,15,16,25.225,ARI,SEA,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,9,393,43.67,0,0,0%,0,0%,11,34%,False,False,6,35,Drew Butler
2014,2014-12-28,16,17,25.232,ARI,SFO,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,107,35.67,0,0,0%,0,0%,6,25%,True,False,17,20,Drew Butler
2015,2015-09-13,1,1,26.126,ARI,NOR,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,158,39.50,0,0,0%,0,0%,9,29%,False,True,31,19,Drew Butler
2015,2015-09-20,2,2,26.133,ARI,CHI,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,121,40.33,0,0,0%,0,0%,11,32%,True,True,48,23,Drew Butler
2015,2015-09-27,3,3,26.140,ARI,SFO,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,144,36.00,0,0,0%,0,0%,11,38%,False,True,47,7,Drew Butler
2015,2015-10-04,4,4,26.147,ARI,STL,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,1,44,44.00,0,0,0%,0,0%,7,23%,False,False,22,24,Drew Butler
2015,2015-10-11,5,5,26.154,ARI,DET,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,227,37.83,0,0,0%,0,0%,12,40%,True,True,42,17,Drew Butler
2015,2015-10-18,6,6,26.161,ARI,PIT,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,129,43.00,0,0,0%,0,0%,8,28%,True,False,13,25,Drew Butler
2015,2015-10-26,7,7,26.169,ARI,BAL,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,144,48.00,1,0,0%,0,0%,10,36%,False,True,26,18,Drew Butler
2015,2015-11-01,8,8,26.175,ARI,CLE,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,2,100,50.00,0,0,0%,0,0%,8,30%,True,True,34,20,Drew Butler
2015,2015-11-15,9,10,26.189,ARI,SEA,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,134,44.67,0,0,0%,0,0%,10,29%,True,True,39,32,Drew Butler
2015,2015-11-22,10,11,26.196,ARI,CIN,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,185,46.25,0,0,0%,0,0%,10,30%,False,True,34,31,Drew Butler
2015,2015-11-29,11,12,26.203,ARI,SFO,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,183,45.75,0,0,0%,0,0%,8,35%,True,True,19,13,Drew Butler
2015,2015-12-06,12,13,26.210,ARI,STL,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,261,43.50,0,0,0%,0,0%,11,39%,True,True,27,3,Drew Butler
2015,2015-12-10,13,14,26.214,ARI,MIN,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,133,44.33,0,0,0%,0,0%,8,32%,False,True,23,20,Drew Butler
2015,2015-12-20,14,15,26.224,ARI,PHI,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,156,39.00,0,0,0%,0,0%,11,38%,True,True,40,17,Drew Butler
2015,2015-12-27,15,16,26.231,ARI,GNB,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,172,43.00,0,0,0%,0,0%,10,38%,False,True,38,8,Drew Butler
2015,2016-01-03,16,17,26.238,ARI,SEA,False,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,6,284,47.33,0,0,0%,0,0%,8,29%,False,False,6,36,Drew Butler
2016,2016-09-11,1,1,27.124,ARI,NWE,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,180,36.00,0,0,0%,0,0%,9,35%,False,False,21,23,Drew Butler
2016,2016-09-18,2,2,27.131,ARI,TAM,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,279,46.50,0,0,0%,0,0%,13,42%,False,True,40,7,Drew Butler
2016,2016-09-25,3,3,27.138,ARI,BUF,False,1,0,0.00,0,0.0,0,1,1,0,0,1,0,0,0,-35,0,4,146,36.50,0,0,0%,0,0%,7,22%,True,False,18,33,Drew Butler
2016,2016-10-02,4,4,,ARI,LAR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,13,17,Drew Butler
2016,2016-11-20,10,11,27.194,ARI,MIN,False,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,5,224,44.80,0,0,0%,0,0%,9,31%,True,False,24,30,Drew Butler
2016,2016-11-27,11,12,27.201,ARI,ATL,False,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,166,41.50,0,0,0%,0,0%,7,26%,True,False,19,38,Drew Butler
2016,2016-12-04,12,13,27.208,ARI,WAS,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,119,39.67,0,0,0%,0,0%,9,32%,False,True,31,23,Drew Butler
2016,2016-12-11,13,14,27.215,ARI,MIA,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,236,47.20,0,0,0%,0,0%,9,30%,True,False,23,26,Drew Butler
,54 Games,,,,,,False,1,0,0.00,0,0.0,3,1,4,0,0,1,0,0,0,-35,0,248,10627,42.85,4,,,,,,,False,False,20,0,Drew Butler
