Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2003,2003-11-02,8,9,27.163,ATL,PHI,False,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,16,23,Jay Feely
2003,2003-11-09,9,10,27.170,ATL,NYG,False,0,0,,0,0,0,0,,0,0.0%,,3,4,75.0,,,,0,3,0.0,0,0,0,0,,,,,,0,,,0,0,0,,,,,,,True,True,27,7,Jay Feely
2003,2003-11-16,10,11,27.177,ATL,NOR,False,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,2,3,66.7,0,8,0.0,2,0,2,0,,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,20,23,Jay Feely
2003,2003-11-23,11,12,27.184,ATL,TEN,False,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,1,1,100.0,0,7,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,31,38,Jay Feely
2003,2003-11-30,12,13,27.191,ATL,HOU,False,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,3,66.7,0,7,0.0,1,0,1,0,,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,13,17,Jay Feely
2003,2003-12-07,13,14,27.198,ATL,CAR,False,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,,2,0.0,0,2,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,20,14,Jay Feely
2003,2003-12-14,14,15,27.205,ATL,IND,False,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,,,,0,1,0.0,,,,,,,,,,0,,,0,0,0,,,,,,,True,False,7,38,Jay Feely
2003,2003-12-20,15,16,27.211,ATL,TAM,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,3,3,100.0,0,12,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,30,28,Jay Feely
2003,2003-12-28,16,17,27.219,ATL,JAX,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,,,,0,3,0.0,1,0,1,0,,,,,0,0,,0,0,0,0,,,,,,,False,True,21,14,Jay Feely
2004,2004-09-12,1,1,28.112,ATL,SFO,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,,,,0,3,0.0,,,,,,,,,,0,,,0,0,0,,,,,,,True,True,21,19,Jay Feely
