Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2012.0,2012-10-28,7.0,8.0,23.359,DAL,NYG,L 24-29,True,11,5,110,22.00,0,45.5%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,-6,-6.00,0,,0,0,0,0,0,0,2,1,0,1,0,0,73,85%,0,0%,2,6%,False,Dez Bryant,False,24,29
2012.0,2012-11-04,8.0,9.0,24.0,DAL,ATL,L 13-19,True,4,1,15,15.00,0,25.0%,3.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,47,82%,0,0%,0,0%,True,Dez Bryant,False,13,19
2012.0,2012-11-11,9.0,10.0,24.007,DAL,PHI,W 38-23,True,5,3,87,29.00,1,60.0%,17.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,44,81%,0,0%,0,0%,True,Dez Bryant,True,38,23
2012.0,2012-11-18,10.0,11.0,24.014,DAL,CLE,W 23-20,True,15,12,145,12.08,1,80.0%,9.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,74,82%,0,0%,0,0%,False,Dez Bryant,True,23,20
2012.0,2012-11-22,11.0,12.0,24.018,DAL,WAS,L 31-38,True,11,8,145,18.13,2,72.7%,13.18,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,1,1,0,0,0,0,74,96%,0,0%,0,0%,False,Dez Bryant,False,31,38
2012.0,2012-12-02,12.0,13.0,24.028,DAL,PHI,W 38-33,True,6,6,98,16.33,2,100.0%,16.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,0,0,0,0,54,83%,0,0%,0,0%,False,Dez Bryant,True,38,33
2012.0,2012-12-09,13.0,14.0,24.035,DAL,CIN,W 20-19,True,6,4,50,12.50,1,66.7%,8.33,1,-11,-11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,57,79%,0,0%,6,22%,True,Dez Bryant,True,20,19
2012.0,2012-12-16,14.0,15.0,24.042,DAL,PIT,W 27-24,True,9,4,59,14.75,1,44.4%,6.56,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,49,73%,0,0%,0,0%,False,Dez Bryant,True,27,24
2012.0,2012-12-23,15.0,16.0,24.049,DAL,NOR,L 31-34,True,12,9,224,24.89,2,75.0%,18.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,0,0,0,0,49,86%,0,0%,0,0%,False,Dez Bryant,False,31,34
2012.0,2012-12-30,16.0,17.0,24.056,DAL,WAS,L 18-28,False,8,4,71,17.75,0,50.0%,8.88,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,47,76%,0,0%,0,0%,True,Dez Bryant,False,18,28
