Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-11-23,11,12,22.224,SEA,,ARI,W 19-3,True,0,0,0,,0,0.0%,,0,0,,0,1,20,20.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,55%,0,0%,2,8%,False,Paul Richardson
2014,2014-11-27,12,13,22.228,SEA,@,SFO,W 19-3,True,1,1,6,6.00,0,100.0%,6.00,0,0,,0,1,23,23.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,43%,0,0%,2,8%,True,Paul Richardson
2014,2014-12-07,13,14,22.238,SEA,@,PHI,W 24-14,False,3,2,27,13.50,0,66.7%,9.00,0,0,,0,3,53,17.67,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,50%,0,0%,3,10%,True,Paul Richardson
2014,2014-12-14,14,15,22.245,SEA,,SFO,W 17-7,False,5,3,30,10.00,1,60.0%,6.00,0,0,,0,1,12,12.00,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,36,55%,0,0%,2,11%,False,Paul Richardson
2014,2014-12-21,15,16,22.252,SEA,@,ARI,W 35-6,False,7,5,52,10.40,0,71.4%,7.43,0,0,,0,1,27,27.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,61%,0,0%,3,9%,True,Paul Richardson
2014,2014-12-28,16,17,22.259,SEA,,STL,W 20-6,True,7,5,60,12.00,0,71.4%,8.57,0,0,,0,2,52,26.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,77%,0,0%,3,14%,False,Paul Richardson
2015,2015-09-13,1,1,,SEA,@,STL,L 31-34,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Paul Richardson
2015,2015-09-20,2,2,,SEA,@,GNB,L 17-27,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Paul Richardson
2015,2015-09-27,3,3,,SEA,,CHI,W 26-0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Paul Richardson
2015,2015-10-05,4,4,,SEA,,DET,W 13-10,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Paul Richardson
2015,2015-10-11,5,5,,SEA,@,CIN,L 24-27,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Paul Richardson
2015,2015-10-18,6,6,,SEA,,CAR,L 23-27,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Paul Richardson
2015,2015-10-22,7,7,,SEA,@,SFO,W 20-3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Paul Richardson
2015,2015-11-01,8,8,,SEA,@,DAL,W 13-12,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Paul Richardson
2015,2015-11-15,9,10,23.216,SEA,,ARI,L 32-39,False,1,1,40,40.00,0,100.0%,40.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,10%,0,0%,0,0%,False,Paul Richardson
2015,2015-11-22,10,11,,SEA,,SFO,W 29-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Paul Richardson
2015,2015-11-29,11,12,,SEA,,PIT,W 39-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Paul Richardson
2015,2015-12-06,12,13,,SEA,@,MIN,W 38-7,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Paul Richardson
2015,2015-12-13,13,14,,SEA,@,BAL,W 35-6,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Paul Richardson
2015,2015-12-20,14,15,,SEA,,CLE,W 30-13,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Paul Richardson
2015,2015-12-27,15,16,,SEA,,STL,L 17-23,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Paul Richardson
2015,2016-01-03,16,17,,SEA,@,ARI,W 36-6,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Paul Richardson
2016,2016-09-11,1,1,24.151,SEA,,MIA,W 12-10,False,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,21%,0,0%,1,4%,False,Paul Richardson
2016,2016-09-18,2,2,24.158,SEA,@,LAR,L 3-9,False,6,3,35,11.67,0,50.0%,5.83,0,0,,0,1,20,20.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,67%,0,0%,3,13%,True,Paul Richardson
2016,2016-09-25,3,3,24.165,SEA,,SFO,W 37-18,False,0,0,0,,0,0.0%,,0,0,,0,1,19,19.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,27,39%,0,0%,4,13%,False,Paul Richardson
2016,2016-10-02,4,4,24.172,SEA,@,NYJ,W 27-17,False,1,1,27,27.00,0,100.0%,27.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,65%,0,0%,0,0%,True,Paul Richardson
2016,2016-10-16,5,6,24.186,SEA,,ATL,W 26-24,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,15%,0,0%,0,0%,False,Paul Richardson
2016,2016-10-23,6,7,24.193,SEA,@,ARI,T 6-6,False,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,16%,0,0%,0,0%,True,Paul Richardson
