Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-11-27,12.0,12.0,23.028,TEN,CHI,W 27-21,True,15,23,65.22,226,2,0,126.4,0,0,9.83,11.57,4,46,11.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,True,Marcus Mariota,True,27,21
2016.0,2016-12-11,13.0,14.0,23.042,TEN,DEN,W 13-10,True,6,20,30.00,88,0,0,45.4,2,15,4.40,4.40,8,38,4.75,0,1,0,0,,0,0.0%,0.00,0,0,1,0,0,1,0,0,67,100%,0,0%,0,0%,False,Marcus Mariota,True,13,10
2016.0,2016-12-18,14.0,15.0,23.049,TEN,KAN,W 19-17,True,19,33,57.58,241,0,1,67.9,1,0,7.30,5.94,1,-2,-2.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,66,100%,0,0%,0,0%,True,Marcus Mariota,True,19,17
2016.0,2016-12-24,15.0,16.0,23.055,TEN,JAX,L 17-38,True,8,20,40.00,99,1,0,72.7,2,12,4.95,5.95,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,41,58%,0,0%,0,0%,True,Marcus Mariota,False,17,38
2016.0,2017-01-01,16.0,17.0,,TEN,HOU,W 24-17,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Marcus Mariota,True,24,17
2017.0,2017-09-10,1.0,1.0,23.315,TEN,OAK,L 16-26,True,25,41,60.98,256,0,0,78.9,1,1,6.24,6.24,3,26,8.67,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,64,100%,0,0%,0,0%,False,Marcus Mariota,False,16,26
2017.0,2017-09-17,2.0,2.0,23.322,TEN,JAX,W 37-16,True,15,27,55.56,215,1,1,78.5,1,4,7.96,7.04,6,24,4.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,True,Marcus Mariota,True,37,16
2017.0,2017-09-24,3.0,3.0,23.329,TEN,SEA,W 33-27,True,20,32,62.50,225,2,0,104.3,0,0,7.03,8.28,7,27,3.86,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,72,99%,0,0%,0,0%,False,Marcus Mariota,True,33,27
2017.0,2017-10-01,4.0,4.0,23.336,TEN,HOU,L 14-57,True,6,10,60.00,96,0,2,52.5,0,0,9.60,0.60,4,39,9.75,2,0,0,0,,0,0.0%,,2,12,0,0,0,0,0,0,23,56%,0,0%,0,0%,True,Marcus Mariota,False,14,57
2017.0,2017-10-08,5.0,5.0,,TEN,MIA,L 10-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Marcus Mariota,False,10,16
2017.0,2017-10-16,6.0,6.0,23.351,TEN,IND,W 36-22,True,23,32,71.88,306,1,1,99.2,1,1,9.56,8.78,2,0,0.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,69,99%,0,0%,0,0%,False,Marcus Mariota,True,36,22
2017.0,2017-10-22,7.0,7.0,23.357,TEN,CLE,W 12-9,True,21,34,61.76,203,0,0,78.4,2,14,5.97,5.97,1,8,8.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,True,Marcus Mariota,True,12,9
