Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-10-28,7,8,24.311,JAX,GNB,True,12,8,116,14.50,0,66.7%,9.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,74,96%,0,0%,0,0%,True,False,15,24,Cecil Shorts
2012,2012-11-04,8,9,24.318,JAX,DET,True,4,3,56,18.67,0,75.0%,14.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,60,97%,0,0%,0,0%,False,False,14,31,Cecil Shorts
2012,2012-11-08,9,10,24.322,JAX,IND,True,13,6,105,17.50,1,46.2%,8.08,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,69,99%,0,0%,0,0%,False,False,10,27,Cecil Shorts
2012,2012-11-18,10,11,24.332,JAX,HOU,True,6,3,81,27.00,1,50.0%,13.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,63,95%,0,0%,0,0%,True,False,37,43,Cecil Shorts
2012,2012-11-25,11,12,24.339,JAX,TEN,True,7,4,105,26.25,1,57.1%,15.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,56,88%,0,0%,1,3%,False,True,24,19,Cecil Shorts
2012,2012-12-02,12,13,24.346,JAX,BUF,True,12,7,77,11.00,1,58.3%,6.42,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,54,75%,0,0%,0,0%,True,False,18,34,Cecil Shorts
2012,2012-12-09,13,14,,JAX,NYJ,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,10,17,Cecil Shorts
2012,2012-12-16,14,15,24.360,JAX,MIA,True,11,6,101,16.83,0,54.5%,9.18,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,True,False,3,24,Cecil Shorts
2012,2012-12-23,15,16,25.001,JAX,NWE,True,11,6,54,9.00,0,54.5%,4.91,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,69,87%,0,0%,0,0%,False,False,16,23,Cecil Shorts
2012,2012-12-30,16,17,,JAX,TEN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,20,38,Cecil Shorts
2013,2013-09-08,1,1,25.260,JAX,KAN,True,11,3,40,13.33,0,27.3%,3.64,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,False,False,2,28,Cecil Shorts
2013,2013-09-15,2,2,25.267,JAX,OAK,True,14,8,93,11.63,0,57.1%,6.64,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,67,100%,0,0%,1,3%,True,False,9,19,Cecil Shorts
2013,2013-09-22,3,3,25.274,JAX,SEA,True,15,8,143,17.88,0,53.3%,9.53,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,62,94%,0,0%,0,0%,True,False,17,45,Cecil Shorts
2013,2013-09-29,4,4,25.281,JAX,IND,True,12,7,61,8.71,0,58.3%,5.08,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,False,False,3,37,Cecil Shorts
2013,2013-10-06,5,5,25.288,JAX,STL,True,10,5,74,14.80,1,50.0%,7.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,59,98%,0,0%,0,0%,True,False,20,34,Cecil Shorts
2013,2013-10-13,6,6,25.295,JAX,DEN,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,3,4%,0,0%,0,0%,True,False,19,35,Cecil Shorts
2013,2013-10-20,7,7,25.302,JAX,SDG,True,13,8,80,10.00,0,61.5%,6.15,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,58,95%,0,0%,0,0%,False,False,6,24,Cecil Shorts
2013,2013-10-27,8,8,25.309,JAX,SFO,True,10,7,74,10.57,0,70.0%,7.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,69,95%,0,0%,0,0%,False,False,10,42,Cecil Shorts
2013,2013-11-10,9,10,25.323,JAX,TEN,True,4,2,42,21.00,0,50.0%,10.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,59,98%,0,0%,2,6%,True,True,29,27,Cecil Shorts
2013,2013-11-17,10,11,25.330,JAX,ARI,True,5,2,22,11.00,0,40.0%,4.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,57,93%,0,0%,0,0%,False,False,14,27,Cecil Shorts
2013,2013-11-24,11,12,25.337,JAX,HOU,True,11,8,71,8.88,0,72.7%,6.45,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,66,97%,0,0%,0,0%,True,True,13,6,Cecil Shorts
2013,2013-12-01,12,13,25.344,JAX,CLE,True,11,6,64,10.67,1,54.5%,5.82,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,74,99%,0,0%,0,0%,True,True,32,28,Cecil Shorts
2013,2013-12-05,13,14,25.348,JAX,HOU,True,6,2,13,6.50,1,33.3%,2.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,57,89%,0,0%,0,0%,False,True,27,20,Cecil Shorts
2013,2013-12-15,14,15,,JAX,BUF,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,20,27,Cecil Shorts
2013,2013-12-22,15,16,,JAX,TEN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,16,20,Cecil Shorts
2013,2013-12-29,16,17,,JAX,IND,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,10,30,Cecil Shorts
2014,2014-09-07,1,1,,JAX,PHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,17,34,Cecil Shorts
2014,2014-09-14,2,2,,JAX,WAS,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,10,41,Cecil Shorts
2014,2014-09-21,3,3,26.273,JAX,IND,True,10,5,35,7.00,1,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,60,100%,0,0%,0,0%,False,False,17,44,Cecil Shorts
2014,2014-09-28,4,4,26.280,JAX,SDG,True,4,2,25,12.50,0,50.0%,6.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,34,52%,0,0%,0,0%,True,False,14,33,Cecil Shorts
2014,2014-10-05,5,5,,JAX,PIT,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,9,17,Cecil Shorts
2014,2014-10-12,6,6,26.294,JAX,TEN,False,16,10,103,10.30,0,62.5%,6.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,62,81%,0,0%,0,0%,True,False,14,16,Cecil Shorts
2014,2014-10-19,7,7,26.301,JAX,CLE,True,9,3,12,4.00,0,33.3%,1.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,66,90%,0,0%,0,0%,False,True,24,6,Cecil Shorts
2014,2014-10-26,8,8,26.308,JAX,MIA,True,8,3,41,13.67,0,37.5%,5.13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,60,85%,0,0%,0,0%,False,False,13,27,Cecil Shorts
2014,2014-11-02,9,9,26.315,JAX,CIN,True,7,5,40,8.00,0,71.4%,5.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,53,84%,0,0%,0,0%,True,False,23,33,Cecil Shorts
2014,2014-11-09,10,10,26.322,JAX,DAL,True,7,5,119,23.80,0,71.4%,17.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,54,76%,0,0%,0,0%,False,False,17,31,Cecil Shorts
2014,2014-11-23,11,12,26.336,JAX,IND,True,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,51,94%,0,0%,0,0%,True,False,3,23,Cecil Shorts
2014,2014-11-30,12,13,26.343,JAX,NYG,True,8,4,35,8.75,0,50.0%,4.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,62,91%,0,0%,0,0%,False,True,25,24,Cecil Shorts
2014,2014-12-07,13,14,26.350,JAX,HOU,True,10,2,3,1.50,0,20.0%,0.30,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,67,94%,0,0%,0,0%,False,False,13,27,Cecil Shorts
2014,2014-12-14,14,15,26.357,JAX,BAL,True,11,6,76,12.67,0,54.5%,6.91,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,65,96%,0,0%,0,0%,True,False,12,20,Cecil Shorts
2014,2014-12-18,15,16,26.361,JAX,TEN,True,7,2,15,7.50,0,28.6%,2.14,0,0,,0,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,53,90%,0,0%,0,0%,False,True,21,13,Cecil Shorts
2014,2014-12-28,16,17,27.006,JAX,HOU,True,10,5,47,9.40,0,50.0%,4.70,0,0,,0,1,1,100.00,23,1,0,158.3,0,0,23.00,43.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,56,98%,0,0%,0,0%,True,False,17,23,Cecil Shorts
2015,2015-09-13,1,1,27.265,HOU,KAN,False,8,4,57,14.25,0,50.0%,7.13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,61,81%,0,0%,0,0%,False,False,20,27,Cecil Shorts
2015,2015-09-20,2,2,27.272,HOU,CAR,False,12,6,34,5.67,0,50.0%,2.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,73,83%,0,0%,1,3%,True,False,17,24,Cecil Shorts
2015,2015-09-27,3,3,27.279,HOU,TAM,False,9,6,58,9.67,0,66.7%,6.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,8,4.00,0,0,0,0,0,0,0,0,0,60,67%,0,0%,5,16%,False,True,19,9,Cecil Shorts
2015,2015-10-04,4,4,27.286,HOU,ATL,False,10,6,87,14.50,1,60.0%,8.70,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,40,10.00,0,1,6,1,1,0,0,0,0,67,87%,0,0%,6,19%,True,False,21,48,Cecil Shorts
2015,2015-10-08,5,5,,HOU,IND,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,20,27,Cecil Shorts
2015,2015-10-18,6,6,27.300,HOU,JAX,True,6,4,63,15.75,0,66.7%,10.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,56,78%,0,0%,2,7%,True,True,31,20,Cecil Shorts
2015,2015-10-25,7,7,,HOU,MIA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,26,44,Cecil Shorts
2015,2015-11-01,8,8,,HOU,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,20,6,Cecil Shorts
2015,2015-11-16,9,10,27.329,HOU,CIN,True,7,3,16,5.33,0,42.9%,2.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,45,71%,0,0%,0,0%,True,True,10,6,Cecil Shorts
2015,2015-11-22,10,11,27.335,HOU,NYJ,False,5,2,51,25.50,0,40.0%,10.20,4,26,6.50,0,1,1,100.00,21,1,0,158.3,0,0,21.00,41.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,46,61%,0,0%,0,0%,False,True,24,17,Cecil Shorts
2015,2015-11-29,11,12,27.342,HOU,NOR,True,4,3,18,6.00,1,75.0%,4.50,3,20,6.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,1,0,0,0,0,0,46,66%,0,0%,0,0%,False,True,24,6,Cecil Shorts
2015,2015-12-06,12,13,27.349,HOU,BUF,False,10,6,91,15.17,0,60.0%,9.10,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,47,62%,0,0%,0,0%,True,False,21,30,Cecil Shorts
2015,2015-12-13,13,14,27.356,HOU,NWE,True,3,2,9,4.50,0,66.7%,3.00,2,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,22,7.33,0,0,0,0,0,0,0,0,0,43,80%,0,0%,6,21%,False,False,6,27,Cecil Shorts
