Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-10-26,8,8,27.048,SDG,NOR,False,3,1,21,21.00,0,33.3%,7.00,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,32,37,Malcom Floyd
2008,2008-11-09,9,10,27.062,SDG,KAN,True,4,4,76,19.00,1,100.0%,19.00,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,20,19,Malcom Floyd
2008,2008-11-16,10,11,27.069,SDG,PIT,False,2,2,29,14.50,0,100.0%,14.50,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,10,11,Malcom Floyd
2008,2008-11-23,11,12,27.076,SDG,IND,False,3,2,54,27.00,0,66.7%,18.00,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,20,23,Malcom Floyd
2008,2008-11-30,12,13,27.083,SDG,ATL,False,8,5,59,11.80,0,62.5%,7.38,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,16,22,Malcom Floyd
2008,2008-12-04,13,14,27.087,SDG,OAK,False,2,1,19,19.00,0,50.0%,9.50,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,True,34,7,Malcom Floyd
2008,2008-12-14,14,15,27.097,SDG,KAN,False,6,5,67,13.40,1,83.3%,11.17,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,22,21,Malcom Floyd
2008,2008-12-21,15,16,,SDG,TAM,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,41,24,Malcom Floyd
2008,2008-12-28,16,17,,SDG,DEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,52,21,Malcom Floyd
2009,2009-09-14,1,1,28.006,SDG,OAK,False,1,1,17,17.00,0,100.0%,17.00,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,24,20,Malcom Floyd
2009,2009-09-20,2,2,28.012,SDG,BAL,False,2,1,45,45.00,0,50.0%,22.50,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,26,31,Malcom Floyd
2009,2009-09-27,3,3,28.019,SDG,MIA,False,4,2,65,32.50,0,50.0%,16.25,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,True,23,13,Malcom Floyd
2009,2009-10-04,4,4,28.026,SDG,PIT,False,1,0,0,,0,0.0%,0.00,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,False,28,38,Malcom Floyd
2009,2009-10-19,5,6,28.041,SDG,DEN,False,5,3,51,17.00,0,60.0%,10.20,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,23,34,Malcom Floyd
2009,2009-10-25,6,7,28.047,SDG,KAN,False,3,2,9,4.50,1,66.7%,3.00,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,37,7,Malcom Floyd
2009,2009-11-01,7,8,28.054,SDG,OAK,True,4,2,64,32.00,0,50.0%,16.00,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,24,16,Malcom Floyd
2009,2009-11-08,8,9,28.061,SDG,NYG,True,7,2,29,14.50,0,28.6%,4.14,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,21,20,Malcom Floyd
2009,2009-11-15,9,10,28.068,SDG,PHI,True,3,3,45,15.00,0,100.0%,15.00,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,31,23,Malcom Floyd
2009,2009-11-22,10,11,28.075,SDG,DEN,True,5,4,38,9.50,0,80.0%,7.60,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,32,3,Malcom Floyd
2009,2009-11-29,11,12,28.082,SDG,KAN,False,4,3,85,28.33,0,75.0%,21.25,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,43,14,Malcom Floyd
2009,2009-12-06,12,13,28.089,SDG,CLE,True,4,3,30,10.00,0,75.0%,7.50,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,30,23,Malcom Floyd
2009,2009-12-13,13,14,28.096,SDG,DAL,True,7,3,40,13.33,0,42.9%,5.71,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,20,17,Malcom Floyd
2009,2009-12-20,14,15,28.103,SDG,CIN,True,9,4,63,15.75,0,44.4%,7.00,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,27,24,Malcom Floyd
2009,2009-12-25,15,16,28.108,SDG,TEN,True,3,3,55,18.33,0,100.0%,18.33,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,42,17,Malcom Floyd
2009,2010-01-03,16,17,28.117,SDG,WAS,True,14,9,140,15.56,0,64.3%,10.00,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,23,20,Malcom Floyd
2010,2010-09-13,1,1,29.005,SDG,KAN,True,12,3,48,16.00,0,25.0%,4.00,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,14,21,Malcom Floyd
2010,2010-09-19,2,2,29.011,SDG,JAX,True,4,3,95,31.67,1,75.0%,23.75,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,38,13,Malcom Floyd
2010,2010-09-26,3,3,29.018,SDG,SEA,True,10,6,97,16.17,1,60.0%,9.70,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,20,27,Malcom Floyd
2010,2010-10-03,4,4,29.025,SDG,ARI,True,3,2,45,22.50,0,66.7%,15.00,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,41,10,Malcom Floyd
2010,2010-10-10,5,5,29.032,SDG,OAK,True,10,8,213,26.63,1,80.0%,21.30,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,27,35,Malcom Floyd
2010,2010-10-17,6,6,29.039,SDG,STL,True,5,2,15,7.50,0,40.0%,3.00,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,17,20,Malcom Floyd
2010,2010-10-24,7,7,,SDG,NWE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,20,23,Malcom Floyd
2010,2010-10-31,8,8,,SDG,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,33,25,Malcom Floyd
2010,2010-11-07,9,9,,SDG,HOU,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,29,23,Malcom Floyd
2010,2010-11-22,10,11,29.075,SDG,DEN,True,6,2,24,12.00,1,33.3%,4.00,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,35,14,Malcom Floyd
2010,2010-11-28,11,12,29.081,SDG,IND,False,1,0,0,,0,0.0%,0.00,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,36,14,Malcom Floyd
2010,2010-12-05,12,13,29.088,SDG,OAK,True,11,5,72,14.40,0,45.5%,6.55,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,13,28,Malcom Floyd
2010,2010-12-12,13,14,29.095,SDG,KAN,True,6,4,51,12.75,2,66.7%,8.50,2,12,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,False,True,31,0,Malcom Floyd
2010,2010-12-16,14,15,,SDG,SFO,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,34,7,Malcom Floyd
2010,2010-12-26,15,16,,SDG,CIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,20,34,Malcom Floyd
