Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-12-18,14.0,15.0,26.304,ATL,TAM,W 24-21,False,2,2,16,8.00,0,100.0%,8.00,1,3,3.00,0,0,0,,0,,0,0,0,0,0,0,0,0,32,46%,0,0%,0,0%,True,Taylor Gabriel,True,24,21
2017.0,2017-12-24,15.0,16.0,26.31,ATL,NOR,L 13-23,False,4,1,20,20.00,0,25.0%,5.00,1,12,12.00,0,0,0,,0,,0,0,0,0,0,0,0,0,32,50%,0,0%,0,0%,True,Taylor Gabriel,False,13,23
2017.0,2017-12-31,16.0,17.0,26.317,ATL,CAR,W 22-10,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,9,12%,0,0%,1,3%,False,Taylor Gabriel,True,22,10
2018.0,2018-09-09,1.0,1.0,27.204,CHI,GNB,L 23-24,False,5,5,25,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,60,86%,0,0%,0,0%,True,Taylor Gabriel,False,23,24
2018.0,2018-09-17,2.0,2.0,27.212,CHI,SEA,W 24-17,True,7,4,30,7.50,0,57.1%,4.29,3,17,5.67,0,0,0,,0,,0,0,0,0,0,0,0,0,63,95%,0,0%,0,0%,False,Taylor Gabriel,True,24,17
2018.0,2018-09-23,3.0,3.0,27.218,CHI,ARI,W 16-14,False,10,6,34,5.67,0,60.0%,3.40,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,55,74%,0,0%,0,0%,True,Taylor Gabriel,True,16,14
2018.0,2018-09-30,4.0,4.0,27.225,CHI,TAM,W 48-10,True,7,7,104,14.86,2,100.0%,14.86,1,10,10.00,0,0,0,,0,,2,12,0,0,0,0,0,0,48,79%,0,0%,0,0%,False,Taylor Gabriel,True,48,10
2018.0,2018-10-14,5.0,6.0,27.239,CHI,MIA,L 28-31,True,5,5,110,22.00,0,100.0%,22.00,1,9,9.00,0,0,0,,0,,0,0,0,0,0,0,0,0,46,66%,0,0%,0,0%,True,Taylor Gabriel,False,28,31
2018.0,2018-10-21,6.0,7.0,27.246,CHI,NWE,L 31-38,True,4,3,26,8.67,0,75.0%,6.50,1,0,0.00,0,0,0,,0,,0,0,0,0,0,0,0,0,64,78%,0,0%,0,0%,False,Taylor Gabriel,False,31,38
2018.0,2018-10-28,7.0,8.0,27.253,CHI,NYJ,W 24-10,True,6,4,52,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,44,67%,0,0%,0,0%,False,Taylor Gabriel,True,24,10
2018.0,2018-11-04,8.0,9.0,27.26,CHI,BUF,W 41-9,True,5,3,45,15.00,0,60.0%,9.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,44,86%,0,0%,0,0%,True,Taylor Gabriel,True,41,9
2018.0,2018-11-11,9.0,10.0,27.267,CHI,DET,W 34-22,False,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,46,81%,0,0%,0,0%,False,Taylor Gabriel,True,34,22
2018.0,2018-11-18,10.0,11.0,27.274,CHI,MIN,W 25-20,False,9,7,52,7.43,0,77.8%,5.78,2,17,8.50,0,0,0,,0,,0,0,0,0,0,0,0,0,55,74%,0,0%,0,0%,False,Taylor Gabriel,True,25,20
2018.0,2018-11-22,11.0,12.0,27.278,CHI,DET,W 23-16,True,8,7,49,7.00,0,87.5%,6.13,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,47,81%,0,0%,0,0%,True,Taylor Gabriel,True,23,16
