Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Away_status,Win,Score,Opp Score,Player
1999,1999-12-26,15,16,26.279,OAK,SDG,False,2,2,100.0,2,4,50.0,0,8,0.0,,,,,,True,False,20,23,Joe Nedney
1999,2000-01-02,16,17,26.286,OAK,KAN,False,5,5,100.0,2,2,100.0,0,11,0.0,,,,,,True,True,41,38,Joe Nedney
2000,2000-09-17,3,3,27.179,DEN,OAK,False,3,3,100.0,4,4,100.0,0,15,0.0,,,,,,True,True,33,24,Joe Nedney
2000,2000-09-24,4,4,27.186,DEN,KAN,False,1,1,100.0,3,4,75.0,0,10,0.0,,,,,,False,False,22,23,Joe Nedney
2000,2000-10-01,5,5,27.193,DEN,NWE,False,,,,1,2,50.0,0,3,0.0,,,,,,False,False,19,28,Joe Nedney
2000,2000-10-08,5,6,27.200,CAR,SEA,False,2,2,100.0,4,5,80.0,0,14,0.0,,,,,,False,True,26,3,Joe Nedney
2000,2000-10-15,6,7,27.207,CAR,NOR,False,,,,2,2,100.0,0,6,0.0,,,,,,True,False,6,24,Joe Nedney
2000,2000-10-22,7,8,27.214,CAR,SFO,False,4,4,100.0,2,2,100.0,0,10,0.0,,,,,,False,True,34,16,Joe Nedney
2000,2000-10-29,8,9,27.221,CAR,ATL,False,,,,4,4,100.0,0,12,0.0,,,,,,True,False,12,13,Joe Nedney
2000,2000-11-05,9,10,27.228,CAR,STL,False,1,1,100.0,4,4,100.0,0,13,0.0,,,,,,True,True,27,24,Joe Nedney
2000,2000-11-12,10,11,27.235,CAR,NOR,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,False,False,10,20,Joe Nedney
2000,2000-11-19,11,12,27.242,CAR,MIN,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,True,False,17,31,Joe Nedney
2000,2000-11-27,12,13,27.250,CAR,GNB,False,4,4,100.0,1,1,100.0,0,7,0.0,,,,,,False,True,31,14,Joe Nedney
2000,2000-12-03,13,14,27.256,CAR,STL,False,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,False,True,16,3,Joe Nedney
2000,2000-12-10,14,15,27.263,CAR,KAN,False,2,2,100.0,,1,0.0,0,2,0.0,,,,,,True,False,14,15,Joe Nedney
2000,2000-12-17,15,16,27.270,CAR,SDG,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,False,True,30,22,Joe Nedney
2000,2000-12-24,16,17,27.277,CAR,OAK,False,,,,3,3,100.0,0,9,0.0,,,,,,True,False,9,52,Joe Nedney
2001,2001-09-09,1,1,28.171,TEN,MIA,False,2,3,66.7,1,1,100.0,0,5,0.0,,,,,,False,False,23,31,Joe Nedney
2001,2001-09-23,2,2,28.185,TEN,JAX,False,,,,2,3,66.7,0,6,0.0,,,,,,True,False,6,13,Joe Nedney
2001,2001-10-07,3,4,28.199,TEN,BAL,False,1,1,100.0,,1,0.0,0,1,0.0,,,,,,True,False,7,26,Joe Nedney
2001,2001-10-14,4,5,28.206,TEN,TAM,False,2,2,100.0,3,4,75.0,0,11,0.0,,,,,,False,True,31,28,Joe Nedney
2001,2001-10-21,5,6,28.213,TEN,DET,False,1,1,100.0,4,4,100.0,0,13,0.0,2,0,2,0,,True,True,27,24,Joe Nedney
2001,2001-10-29,6,7,28.221,TEN,PIT,False,1,1,100.0,,1,0.0,0,1,0.0,,,,,,True,False,7,34,Joe Nedney
2001,2001-11-04,7,8,28.227,TEN,JAX,False,4,4,100.0,,2,0.0,0,4,0.0,,,,,,False,True,28,24,Joe Nedney
2001,2001-11-12,8,9,28.235,TEN,BAL,False,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,False,False,10,16,Joe Nedney
2001,2001-11-18,9,10,28.241,TEN,CIN,False,2,2,100.0,2,2,100.0,0,8,0.0,1,0,1,0,,True,True,20,7,Joe Nedney
2001,2001-11-25,10,11,28.248,TEN,PIT,False,3,3,100.0,1,1,100.0,0,6,0.0,1,0,1,0,,False,False,24,34,Joe Nedney
2001,2001-12-02,11,12,28.255,TEN,CLE,False,4,4,100.0,1,1,100.0,0,7,0.0,,,,,,True,True,31,15,Joe Nedney
2001,2001-12-09,12,13,28.262,TEN,MIN,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,True,False,24,42,Joe Nedney
2001,2001-12-16,13,14,28.269,TEN,GNB,False,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,False,True,26,20,Joe Nedney
2001,2001-12-22,14,15,28.275,TEN,OAK,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,True,True,13,10,Joe Nedney
2001,2001-12-30,15,16,28.283,TEN,CLE,False,5,5,100.0,1,1,100.0,0,8,0.0,,,,,,False,False,38,41,Joe Nedney
2001,2002-01-06,16,17,28.290,TEN,CIN,False,3,3,100.0,,,,0,3,0.0,,,,,,False,False,21,23,Joe Nedney
2002,2002-09-08,1,1,29.170,TEN,PHI,False,1,1,100.0,2,2,100.0,0,7,0.0,1,0,1,0,,False,True,27,24,Joe Nedney
2002,2002-09-15,2,2,29.177,TEN,DAL,False,1,1,100.0,2,2,100.0,0,7,0.0,1,0,1,0,,True,False,13,21,Joe Nedney
2002,2002-09-22,3,3,29.184,TEN,CLE,False,4,4,100.0,,,,0,4,0.0,0,0,0,0,,False,False,28,31,Joe Nedney
2002,2002-09-29,4,4,29.191,TEN,OAK,False,1,1,100.0,,,,0,1,0.0,,,,,,True,False,25,52,Joe Nedney
