Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2009.0,2009-10-11,5.0,5.0,27.059,BAL,CIN,L 14-17,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,6,272,45.33,0,,,,,,,False,Sam Koch,False,14,17
2009.0,2009-10-18,6.0,6.0,27.066,BAL,MIN,L 31-33,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,7,342,48.86,0,,,,,,,True,Sam Koch,False,31,33
2009.0,2009-11-01,7.0,8.0,27.08,BAL,DEN,W 30-7,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,4,177,44.25,0,,,,,,,False,Sam Koch,True,30,7
2009.0,2009-11-08,8.0,9.0,27.087,BAL,CIN,L 7-17,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,5,249,49.80,0,,,,,,,True,Sam Koch,False,7,17
2009.0,2009-11-16,9.0,10.0,27.095,BAL,CLE,W 16-0,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,7,293,41.86,0,,,,,,,True,Sam Koch,True,16,0
2009.0,2009-11-22,10.0,11.0,27.101,BAL,IND,L 15-17,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,2,86,43.00,0,,,,,,,False,Sam Koch,False,15,17
2009.0,2009-11-29,11.0,12.0,27.108,BAL,PIT,W 20-17,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,6,252,42.00,0,,,,,,,False,Sam Koch,True,20,17
2009.0,2009-12-07,12.0,13.0,27.116,BAL,GNB,L 14-27,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,5,235,47.00,0,,,,,,,True,Sam Koch,False,14,27
2009.0,2009-12-13,13.0,14.0,27.122,BAL,DET,W 48-3,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,2,81,40.50,0,,,,,,,False,Sam Koch,True,48,3
2009.0,2009-12-20,14.0,15.0,27.129,BAL,CHI,W 31-7,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,7,275,39.29,0,,,,,,,False,Sam Koch,True,31,7
