Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2016-01-03,16.0,17.0,,GNB,MIN,L 13-20,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Ty Montgomery,False,13,20
2016.0,2016-09-11,1.0,1.0,23.233,GNB,JAX,W 27-23,False,0,0,,0,0,0,0,,0,0.0%,,1,14,14.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,17%,0,0%,14,50%,True,Ty Montgomery,True,27,23
2016.0,2016-09-18,2.0,2.0,23.24,GNB,MIN,L 14-17,False,0,0,,0,0,0,0,,0,0.0%,,1,21,21.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,14,58%,True,Ty Montgomery,False,14,17
2016.0,2016-09-25,3.0,3.0,23.247,GNB,DET,W 34-27,False,1,-1,-1.00,0,0,0,0,,0,0.0%,,1,24,24.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,7%,0,0%,15,52%,False,Ty Montgomery,True,34,27
2016.0,2016-10-09,4.0,5.0,23.261,GNB,NYG,W 23-16,False,1,1,1.00,0,0,0,0,,0,0.0%,,1,24,24.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,2%,0,0%,17,57%,False,Ty Montgomery,True,23,16
2016.0,2016-10-16,5.0,6.0,23.268,GNB,DAL,L 16-30,False,3,6,2.00,0,12,10,98,9.80,0,83.3%,8.17,2,64,32.00,0,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,35,50%,0,0%,12,48%,False,Ty Montgomery,False,16,30
2016.0,2016-10-20,6.0,7.0,23.272,GNB,CHI,W 26-10,True,9,60,6.67,0,13,10,66,6.60,0,76.9%,5.08,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,69%,0,0%,0,0%,False,Ty Montgomery,True,26,10
2016.0,2016-10-30,7.0,8.0,,GNB,ATL,L 32-33,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Ty Montgomery,False,32,33
2016.0,2016-11-06,8.0,9.0,23.289,GNB,IND,L 26-31,True,7,53,7.57,0,3,3,38,12.67,0,100.0%,12.67,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,45%,0,0%,2,6%,False,Ty Montgomery,False,26,31
2016.0,2016-11-13,9.0,10.0,23.296,GNB,TEN,L 25-47,False,3,9,3.00,0,2,2,11,5.50,0,100.0%,5.50,1,23,23.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,28%,0,0%,7,20%,True,Ty Montgomery,False,25,47
2016.0,2016-11-20,10.0,11.0,23.303,GNB,WAS,L 24-42,False,4,17,4.25,0,4,3,27,9.00,0,75.0%,6.75,2,25,12.50,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,41%,0,0%,13,45%,True,Ty Montgomery,False,24,42
2016.0,2016-11-28,11.0,12.0,23.311,GNB,PHI,W 27-13,False,1,2,2.00,0,2,2,12,6.00,0,100.0%,6.00,1,18,18.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,16,23%,0,0%,11,50%,True,Ty Montgomery,True,27,13
2016.0,2016-12-04,12.0,13.0,23.317,GNB,HOU,W 21-13,False,6,40,6.67,0,3,2,16,8.00,0,66.7%,5.33,1,39,39.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,50%,0,0%,9,41%,False,Ty Montgomery,True,21,13
2016.0,2016-12-11,13.0,14.0,23.324,GNB,SEA,W 38-10,True,9,41,4.56,1,4,3,45,15.00,0,75.0%,11.25,2,36,18.00,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,30,51%,0,0%,8,30%,False,Ty Montgomery,True,38,10
2016.0,2016-12-18,14.0,15.0,23.331,GNB,CHI,W 30-27,True,16,162,10.13,2,3,2,1,0.50,0,66.7%,0.33,4,57,14.25,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,51,84%,0,0%,9,31%,True,Ty Montgomery,True,30,27
2016.0,2016-12-24,15.0,16.0,23.337,GNB,MIN,W 38-25,True,9,23,2.56,0,5,4,17,4.25,0,80.0%,3.40,1,21,21.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,63%,0,0%,7,21%,False,Ty Montgomery,True,38,25
2016.0,2017-01-01,16.0,17.0,23.345,GNB,DET,W 31-24,True,8,44,5.50,0,5,3,17,5.67,0,60.0%,3.40,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,47%,0,0%,6,21%,True,Ty Montgomery,True,31,24
2017.0,2017-09-10,1.0,1.0,24.231,GNB,SEA,W 17-9,True,19,54,2.84,1,4,4,39,9.75,0,100.0%,9.75,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,74,90%,0,0%,0,0%,False,Ty Montgomery,True,17,9
