Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Away_status,Win,Score,Opp Score,Player
2001,2001-12-09,12,13,25.115,CIN,JAX,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,False,False,10,14,Neil Rackers
2001,2001-12-16,13,14,25.122,CIN,NYJ,False,0,0,,0,2,2,100.0,,,,0,2,0.0,,,,,,0,0,,,True,False,14,15,Neil Rackers
2001,2001-12-30,15,16,25.136,CIN,PIT,False,0,0,,0,2,3,66.7,2,4,50.0,0,8,0.0,1,0,1,0,,0,0,,0,False,True,26,23,Neil Rackers
2001,2002-01-06,16,17,25.143,CIN,TEN,False,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,,0,0,,0,True,True,23,21,Neil Rackers
2002,2002-09-08,1,1,26.023,CIN,SDG,False,0,0,,0,,,,2,2,100.0,0,6,0.0,,,,,,0,0,,0,False,False,6,34,Neil Rackers
2002,2002-09-15,2,2,26.030,CIN,CLE,False,0,0,,0,1,1,100.0,,,,0,1,0.0,,,,,,1,-2,-2.00,0,True,False,7,20,Neil Rackers
2002,2002-09-22,3,3,26.037,CIN,ATL,False,0,0,,0,,,,1,1,100.0,0,3,0.0,,,,,,0,0,,0,True,False,3,30,Neil Rackers
2002,2002-09-29,4,4,26.044,CIN,TAM,False,0,0,,0,1,1,100.0,,1,0.0,0,1,0.0,,,,,,0,0,,0,False,False,7,35,Neil Rackers
2002,2002-10-06,5,5,26.051,CIN,IND,False,0,0,,0,3,3,100.0,,,,0,3,0.0,1,0,1,0,,0,0,,,True,False,21,28,Neil Rackers
2002,2002-10-13,6,6,26.058,CIN,PIT,False,0,0,,0,1,1,100.0,,1,0.0,0,1,0.0,,,,,,0,0,,0,False,False,7,34,Neil Rackers
2002,2002-10-27,7,8,26.072,CIN,TEN,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,1,0,1,0,,0,0,,0,False,False,24,30,Neil Rackers
2002,2002-11-03,8,9,26.079,CIN,HOU,False,0,0,,0,5,5,100.0,1,1,100.0,0,8,0.0,,,,,,0,0,,0,True,True,38,3,Neil Rackers
2002,2002-11-10,9,10,26.086,CIN,BAL,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,0,,0,True,False,27,38,Neil Rackers
2002,2002-11-17,10,11,26.093,CIN,CLE,False,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,,0,0,,0,False,False,20,27,Neil Rackers
2002,2002-11-24,11,12,26.100,CIN,PIT,False,0,0,,0,3,3,100.0,,,,0,3,0.0,0,0,0,0,,1,19,19.00,0,True,False,21,29,Neil Rackers
2002,2002-12-01,12,13,26.107,CIN,BAL,False,0,0,,0,2,3,66.7,1,1,100.0,0,5,0.0,0,0,0,0,,0,0,,0,False,False,23,27,Neil Rackers
2002,2002-12-08,13,14,26.114,CIN,CAR,False,0,0,,0,4,4,100.0,1,2,50.0,0,7,0.0,,,,,,0,0,,0,True,False,31,52,Neil Rackers
2002,2002-12-15,14,15,26.121,CIN,JAX,False,0,0,,0,,,,3,3,100.0,0,9,0.0,0,1,1,0,,0,0,,0,False,False,15,29,Neil Rackers
2002,2002-12-22,15,16,26.128,CIN,NOR,False,0,0,,0,2,3,66.7,,,,0,2,0.0,1,0,1,0,,0,0,,,False,True,20,13,Neil Rackers
2002,2002-12-29,16,17,26.135,CIN,BUF,False,0,0,,0,,,,1,1,100.0,0,3,0.0,,,,,,0,0,,0,True,False,9,27,Neil Rackers
2003,2003-11-16,10,11,27.092,ARI,CLE,False,0,0,,0,,,,2,2,100.0,0,6,0.0,,,,,,0,0,,0,True,False,6,44,Neil Rackers
2003,2003-11-23,11,12,27.099,ARI,STL,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,0,,0,False,False,27,30,Neil Rackers
2003,2003-11-30,12,13,27.106,ARI,CHI,False,0,0,,0,,,,1,1,100.0,0,3,0.0,,,,,,0,0,,0,True,False,3,28,Neil Rackers
2003,2003-12-07,13,14,27.113,ARI,SFO,False,0,0,,0,2,2,100.0,,,,0,2,0.0,,,,,,0,0,,,True,False,14,50,Neil Rackers
2003,2003-12-14,14,15,27.120,ARI,CAR,False,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,0,0,,0,False,False,17,20,Neil Rackers
2003,2003-12-21,15,16,27.127,ARI,SEA,False,0,0,,0,1,1,100.0,1,3,33.3,0,4,0.0,,,,,,0,0,,0,True,False,10,28,Neil Rackers
2003,2003-12-28,16,17,27.134,ARI,MIN,False,0,0,,0,,,,2,2,100.0,0,6,0.0,,,,,,0,0,,0,False,True,18,17,Neil Rackers
2004,2004-09-12,1,1,28.027,ARI,STL,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,True,False,10,17,Neil Rackers
2004,2004-09-19,2,2,28.034,ARI,NWE,False,0,0,,0,,,,2,3,66.7,0,6,0.0,,,,,,0,0,,0,False,False,12,23,Neil Rackers
2004,2004-09-26,3,3,28.041,ARI,ATL,False,0,0,,0,,,,1,1,100.0,0,3,0.0,1,0,1,0,,0,0,,0,True,False,3,6,Neil Rackers
2004,2004-10-03,4,4,28.048,ARI,NOR,False,0,0,,0,4,4,100.0,2,2,100.0,0,10,0.0,,,,,,0,0,,0,False,True,34,10,Neil Rackers
2004,2004-10-10,5,5,28.055,ARI,SFO,False,0,0,,0,4,4,100.0,,,,0,4,0.0,1,0,1,0,,0,0,,,True,False,28,31,Neil Rackers
2004,2004-10-24,6,7,28.069,ARI,SEA,False,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,1,0,1,0,,0,0,,0,False,True,25,17,Neil Rackers
2004,2004-10-31,7,8,28.076,ARI,BUF,False,0,0,,0,2,2,100.0,,1,0.0,0,2,0.0,,,,,,0,0,,0,True,False,14,38,Neil Rackers
2004,2004-11-07,8,9,28.083,ARI,MIA,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,,0,True,True,24,23,Neil Rackers
2004,2004-11-14,9,10,28.090,ARI,NYG,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,0,,0,False,True,17,14,Neil Rackers
2004,2004-11-21,10,11,28.097,ARI,CAR,False,0,0,,0,1,1,100.0,1,2,50.0,0,4,0.0,1,0,1,0,,0,0,,0,True,False,10,35,Neil Rackers
2004,2004-11-28,11,12,28.104,ARI,NYJ,False,0,0,,0,,,,1,1,100.0,0,3,0.0,,,,,,0,0,,0,False,False,3,13,Neil Rackers
2004,2004-12-05,12,13,28.111,ARI,DET,False,0,0,,0,,,,2,2,100.0,0,6,0.0,,,,,,0,0,,0,True,False,12,26,Neil Rackers
2004,2004-12-12,13,14,28.118,ARI,SFO,False,0,0,,0,2,2,100.0,2,3,66.7,0,8,0.0,,,,,,0,0,,0,False,False,28,31,Neil Rackers
2004,2004-12-19,14,15,28.125,ARI,STL,False,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,1,0,1,0,,0,0,,0,False,True,31,7,Neil Rackers
2004,2004-12-26,15,16,28.132,ARI,SEA,False,0,0,,0,3,3,100.0,,1,0.0,0,3,0.0,,,,,,0,0,,0,True,False,21,24,Neil Rackers
2004,2005-01-02,16,17,28.139,ARI,TAM,False,0,0,,0,,,,4,6,66.7,0,12,0.0,,,,,,0,0,,0,False,True,12,7,Neil Rackers
2005,2005-09-11,1,1,29.026,ARI,NYG,False,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,,0,0,,0,True,False,19,42,Neil Rackers
2005,2005-09-18,2,2,29.033,ARI,STL,False,0,0,,0,,,,4,4,100.0,0,12,0.0,0,0,0,0,,0,0,,0,False,False,12,17,Neil Rackers
2005,2005-09-25,3,3,29.040,ARI,SEA,False,0,0,,0,,,,4,4,100.0,0,12,0.0,0,0,0,0,,0,0,,0,True,False,12,37,Neil Rackers
2005,2005-10-02,4,4,29.047,ARI,SFO,False,0,0,,0,1,1,100.0,6,6,100.0,0,19,0.0,,,,,,0,0,,0,False,True,31,14,Neil Rackers
2005,2005-10-09,5,5,29.054,ARI,CAR,False,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,0,,0,False,False,20,24,Neil Rackers
2005,2005-10-23,6,7,29.068,ARI,TEN,False,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,,0,0,,0,False,True,20,10,Neil Rackers
2005,2005-10-30,7,8,29.075,ARI,DAL,False,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,,0,True,False,13,34,Neil Rackers
2005,2005-11-06,8,9,29.082,ARI,SEA,False,0,0,,0,1,1,100.0,4,4,100.0,0,13,0.0,,,,,,0,0,,0,False,False,19,33,Neil Rackers
2005,2005-11-13,9,10,29.089,ARI,DET,False,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,2,0,2,0,,0,0,,0,True,False,21,29,Neil Rackers
2005,2005-11-20,10,11,29.096,ARI,STL,False,0,0,,0,3,3,100.0,3,3,100.0,0,12,0.0,,,,,,0,0,,0,True,True,38,28,Neil Rackers
2005,2005-11-27,11,12,29.103,ARI,JAX,False,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,0,0,,0,False,False,17,24,Neil Rackers
2005,2005-12-04,12,13,,ARI,SFO,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,17,10,Neil Rackers
2005,2005-12-11,13,14,29.117,ARI,WAS,False,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,,0,False,False,13,17,Neil Rackers
2005,2005-12-18,14,15,29.124,ARI,HOU,False,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,,0,True,False,19,30,Neil Rackers
2005,2005-12-24,15,16,29.130,ARI,PHI,False,0,0,,0,3,3,100.0,2,3,66.7,0,9,0.0,,,,,,0,0,,0,False,True,27,21,Neil Rackers
2005,2006-01-01,16,17,29.138,ARI,IND,False,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,,0,True,False,13,17,Neil Rackers
2006,2006-09-10,1,1,30.025,ARI,SFO,False,0,0,,0,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,0,0,0,,0,False,True,34,27,Neil Rackers
2006,2006-09-17,2,2,30.032,ARI,SEA,False,0,0,,0,1,1,100.0,1,3,33.3,0,4,0.0,0,0,0,0,0,0,0,,0,True,False,10,21,Neil Rackers
2006,2006-09-24,3,3,30.039,ARI,STL,False,0,0,,0,2,2,100.0,,,,0,2,0.0,0,0,0,0,0,0,0,,,False,False,14,16,Neil Rackers
2006,2006-10-01,4,4,30.046,ARI,ATL,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,True,False,10,32,Neil Rackers
2006,2006-10-08,5,5,30.053,ARI,KAN,False,0,0,,0,2,2,100.0,2,3,66.7,0,8,0.0,1,0,1,0,0,0,0,,0,False,False,20,23,Neil Rackers
2006,2006-10-16,6,6,30.061,ARI,CHI,False,0,0,,0,2,2,100.0,3,5,60.0,0,11,0.0,0,0,0,0,0,0,0,,0,False,False,23,24,Neil Rackers
2006,2006-10-22,7,7,30.067,ARI,OAK,False,0,0,,0,,,,3,4,75.0,0,9,0.0,,,,,,0,0,,0,True,False,9,22,Neil Rackers
2006,2006-10-29,8,8,30.074,ARI,GNB,False,0,0,,0,2,2,100.0,,,,0,2,0.0,0,0,0,0,0,0,0,,,True,False,14,31,Neil Rackers
2006,2006-11-12,9,10,30.088,ARI,DAL,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0,,0,False,False,10,27,Neil Rackers
2006,2006-11-19,10,11,30.095,ARI,DET,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,0,,0,False,True,17,10,Neil Rackers
2006,2006-11-26,11,12,30.102,ARI,MIN,False,0,0,,0,2,2,100.0,2,3,66.7,0,8,0.0,,,,,,0,0,,0,True,False,26,31,Neil Rackers
2006,2006-12-03,12,13,30.109,ARI,STL,False,0,0,,0,4,4,100.0,2,2,100.0,0,10,0.0,1,0,1,0,0,0,0,,0,True,True,34,20,Neil Rackers
2006,2006-12-10,13,14,30.116,ARI,SEA,False,0,0,,0,3,3,100.0,2,3,66.7,0,9,0.0,2,0,2,0,0,0,0,,0,False,True,27,21,Neil Rackers
2006,2006-12-17,14,15,30.123,ARI,DEN,False,0,0,,0,2,2,100.0,2,3,66.7,0,8,0.0,1,0,1,0,0,0,0,,0,False,False,20,37,Neil Rackers
2006,2006-12-24,15,16,30.130,ARI,SFO,False,0,0,,0,2,2,100.0,4,4,100.0,0,14,0.0,,,,,,0,0,,0,True,True,26,20,Neil Rackers
2006,2006-12-31,16,17,30.137,ARI,SDG,False,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0,,0,True,False,20,27,Neil Rackers
2007,2007-09-10,1,1,31.025,ARI,SFO,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,0,,0,True,False,17,20,Neil Rackers
2007,2007-09-16,2,2,31.031,ARI,SEA,False,0,0,,0,2,2,100.0,3,4,75.0,0,11,0.0,,,,,,0,0,,0,False,True,23,20,Neil Rackers
2007,2007-09-23,3,3,31.038,ARI,BAL,False,0,0,,0,2,2,100.0,3,4,75.0,0,11,0.0,1,0,1,0,0,0,0,,0,True,False,23,26,Neil Rackers
2007,2007-09-30,4,4,31.045,ARI,PIT,False,0,0,,0,3,3,100.0,,1,0.0,0,3,0.0,,,,,,0,0,,0,False,True,21,14,Neil Rackers
2007,2007-10-07,5,5,31.052,ARI,STL,False,0,0,,0,4,4,100.0,2,3,66.7,0,10,0.0,,,,,,0,0,,0,True,True,34,31,Neil Rackers
2007,2007-10-14,6,6,31.059,ARI,CAR,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,False,False,10,25,Neil Rackers
2007,2007-10-21,7,7,31.066,ARI,WAS,False,0,0,,0,1,2,50.0,,1,0.0,0,1,0.0,,,,,,0,0,,0,True,False,19,21,Neil Rackers
2007,2007-11-04,8,9,31.080,ARI,TAM,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,True,False,10,17,Neil Rackers
2007,2007-11-11,9,10,31.087,ARI,DET,False,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,1,0,1,0,0,0,0,,0,False,True,31,21,Neil Rackers
2007,2007-11-18,10,11,31.094,ARI,CIN,False,0,0,,0,5,5,100.0,,1,0.0,0,5,0.0,1,0,1,0,0,0,0,,0,True,True,35,27,Neil Rackers
2007,2007-11-25,11,12,31.101,ARI,SFO,False,0,0,,0,4,4,100.0,1,2,50.0,0,7,0.0,0,0,0,0,0,0,0,,0,False,False,31,37,Neil Rackers
2007,2007-12-02,12,13,31.108,ARI,CLE,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,0,,0,False,True,27,21,Neil Rackers
2007,2007-12-09,13,14,31.115,ARI,SEA,False,0,0,,0,3,3,100.0,,1,0.0,0,3,0.0,,,,,,0,0,,0,True,False,21,42,Neil Rackers
2007,2007-12-16,14,15,31.122,ARI,NOR,False,0,0,,0,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,0,0,0,0,,0,True,False,24,31,Neil Rackers
2007,2007-12-23,15,16,31.129,ARI,ATL,False,0,0,,0,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,0,0,0,0,,0,False,True,30,27,Neil Rackers
2007,2007-12-30,16,17,31.136,ARI,STL,False,0,0,,0,6,6,100.0,2,2,100.0,0,12,0.0,1,0,1,0,0,0,0,,0,False,True,48,19,Neil Rackers
2008,2008-09-07,1,1,32.022,ARI,SFO,False,0,0,,0,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,0,0,0,0,,0,True,True,23,13,Neil Rackers
2008,2008-09-14,2,2,32.029,ARI,MIA,False,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,,0,False,True,31,10,Neil Rackers
2008,2008-09-21,3,3,32.036,ARI,WAS,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,0,1,1,0,0,0,0,,0,True,False,17,24,Neil Rackers
2008,2008-09-28,4,4,32.043,ARI,NYJ,False,0,0,,0,3,3,100.0,,1,0.0,0,3,0.0,0,0,0,0,0,0,0,,0,True,False,35,56,Neil Rackers
2008,2008-10-05,5,5,32.050,ARI,BUF,False,0,0,,0,5,5,100.0,2,2,100.0,0,11,0.0,2,0,2,0,0,0,0,,0,False,True,41,17,Neil Rackers
2008,2008-10-12,6,6,32.057,ARI,DAL,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,1,0,1,0,0,0,0,,0,False,True,30,24,Neil Rackers
2008,2008-10-26,7,8,32.071,ARI,CAR,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0,,0,True,False,23,27,Neil Rackers
2008,2008-11-02,8,9,32.078,ARI,STL,False,0,0,,0,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0,,0,True,True,34,13,Neil Rackers
2008,2008-11-10,9,10,32.086,ARI,SFO,False,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,1,0,1,0,0,0,0,,0,False,True,29,24,Neil Rackers
2008,2008-11-16,10,11,32.092,ARI,SEA,False,0,0,,0,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,0,0,0,0,,0,True,True,26,20,Neil Rackers
2008,2008-11-23,11,12,32.099,ARI,NYG,False,0,0,,0,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,0,0,0,0,,0,False,False,29,37,Neil Rackers
2008,2008-11-27,12,13,32.103,ARI,PHI,False,0,0,,0,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,,0,True,False,20,48,Neil Rackers
2008,2008-12-07,13,14,32.113,ARI,STL,False,0,0,,0,4,4,100.0,2,2,100.0,0,10,0.0,1,0,1,0,0,0,0,,0,False,True,34,10,Neil Rackers
2008,2008-12-14,14,15,32.120,ARI,MIN,False,0,0,,0,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,,0,False,False,14,35,Neil Rackers
2008,2008-12-21,15,16,32.127,ARI,NWE,False,0,0,,0,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,,0,True,False,7,47,Neil Rackers
2008,2008-12-28,16,17,32.134,ARI,SEA,False,0,0,,0,4,4,100.0,2,2,100.0,0,10,0.0,1,1,2,0,0,0,0,,0,False,True,34,21,Neil Rackers
2009,2009-09-13,1,1,33.028,ARI,SFO,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,1,0,1,0,0,0,0,,0,False,False,16,20,Neil Rackers
2009,2009-09-20,2,2,33.035,ARI,JAX,False,0,0,,0,4,4,100.0,1,2,50.0,0,7,0.0,2,0,2,0,0,0,0,,0,True,True,31,17,Neil Rackers
2009,2009-09-27,3,3,33.042,ARI,IND,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0,,0,False,False,10,31,Neil Rackers
2009,2009-10-11,4,5,33.056,ARI,HOU,False,0,0,,0,4,4,100.0,,,,0,4,0.0,0,0,0,0,0,0,0,,0,False,True,28,21,Neil Rackers
2009,2009-10-18,5,6,33.063,ARI,SEA,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0,,0,True,True,27,3,Neil Rackers
2009,2009-10-25,6,7,33.070,ARI,NYG,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,1,0,1,0,0,0,0,,0,True,True,24,17,Neil Rackers
2009,2009-11-01,7,8,33.077,ARI,CAR,False,0,0,,0,3,3,100.0,,,,0,3,0.0,2,0,2,0,0,0,0,,0,False,False,21,34,Neil Rackers
2009,2009-11-08,8,9,33.084,ARI,CHI,False,0,0,,0,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,0,0,0,0,,0,True,True,41,21,Neil Rackers
2009,2009-11-15,9,10,33.091,ARI,SEA,False,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,,0,False,True,31,20,Neil Rackers
2009,2009-11-22,10,11,33.098,ARI,STL,False,0,0,,0,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,0,,0,True,True,21,13,Neil Rackers
2009,2009-11-29,11,12,33.105,ARI,TEN,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0,,0,True,False,17,20,Neil Rackers
2009,2009-12-06,12,13,33.112,ARI,MIN,False,0,0,,0,3,3,100.0,3,3,100.0,0,12,0.0,1,0,1,0,0,0,0,,0,False,True,30,17,Neil Rackers
2009,2009-12-14,13,14,33.120,ARI,SFO,False,0,0,,0,,1,0.0,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0,,0,True,False,9,24,Neil Rackers
2009,2009-12-20,14,15,,ARI,DET,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,31,24,Neil Rackers
2009,2009-12-27,15,16,,ARI,STL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,31,10,Neil Rackers
2009,2010-01-03,16,17,33.140,ARI,GNB,False,0,0,,0,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,,0,False,False,7,33,Neil Rackers
2010,2010-09-12,1,1,34.027,HOU,IND,False,0,0,,0,4,4,100.0,2,2,100.0,0,10,0.0,0,1,1,0,0,0,0,,0,False,True,34,24,Neil Rackers
2010,2010-09-19,2,2,34.034,HOU,WAS,False,0,0,,0,3,3,100.0,3,4,75.0,0,12,0.0,0,0,0,,,0,0,,0,True,True,30,27,Neil Rackers
