Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-11-24,11,12,22.208,DAL,@,NWE,L 9-13,False,4,19,4.75,0,4,3,9,3.00,0,75.0%,2.25,2,1,0.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,19%,0,0%,10,34%,True,Tony Pollard
2019,2019-11-28,12,13,22.212,DAL,,BUF,L 15-26,False,3,7,2.33,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,14%,0,0%,8,35%,False,Tony Pollard
2019,2019-12-05,13,14,,DAL,@,CHI,L 24-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Tony Pollard
2019,2019-12-15,14,15,22.229,DAL,,LAR,W 44-21,False,12,131,10.92,1,2,2,12,6.00,0,100.0%,6.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,23,33%,0,0%,3,10%,False,Tony Pollard
2019,2019-12-22,15,16,22.236,DAL,@,PHI,L 9-17,False,2,0,0.00,0,0,0,0,,0,0.0%,,2,41,20.50,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,4,6%,0,0%,12,43%,True,Tony Pollard
2019,2019-12-29,16,17,22.243,DAL,,WAS,W 47-16,False,14,60,4.29,0,2,1,5,5.00,0,50.0%,2.50,2,57,28.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,36%,0,0%,7,21%,False,Tony Pollard
2020,2020-09-13,1,1,23.136,DAL,@,LAR,L 17-20,False,2,10,5.00,0,3,2,22,11.00,0,66.7%,7.33,2,48,24.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,14%,0,0%,9,35%,True,Tony Pollard
2020,2020-09-20,2,2,23.143,DAL,,ATL,W 40-39,True,2,6,3.00,0,1,1,3,3.00,0,100.0%,3.00,5,106,21.20,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,10%,0,0%,12,32%,False,Tony Pollard
2020,2020-09-27,3,3,23.150,DAL,@,SEA,L 31-38,False,0,0,,0,1,1,-5,-5.00,0,100.0%,-5.00,1,0,0.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,7%,0,0%,10,29%,True,Tony Pollard
2020,2020-10-04,4,4,23.157,DAL,,CLE,L 38-49,False,3,16,5.33,1,2,1,16,16.00,0,50.0%,8.00,4,87,21.75,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,22,27%,0,0%,11,36%,False,Tony Pollard
2020,2020-10-11,5,5,23.164,DAL,,NYG,W 37-34,False,6,30,5.00,0,3,2,2,1.00,0,66.7%,0.67,2,28,14.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,15,23%,0,0%,10,29%,False,Tony Pollard
2020,2020-10-19,6,6,23.172,DAL,,ARI,L 10-38,False,10,31,3.10,0,4,2,9,4.50,0,50.0%,2.25,1,28,28.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,36%,0,0%,10,37%,False,Tony Pollard
2020,2020-10-25,7,7,23.178,DAL,@,WAS,L 3-25,False,8,16,2.00,0,1,1,6,6.00,0,100.0%,6.00,2,97,48.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,33%,0,0%,8,40%,True,Tony Pollard
2020,2020-11-01,8,8,23.185,DAL,@,PHI,L 9-23,False,7,40,5.71,0,2,2,24,12.00,0,100.0%,12.00,3,49,16.33,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,22%,0,0%,9,43%,True,Tony Pollard
2020,2020-11-08,9,9,23.192,DAL,,PIT,L 19-24,False,9,57,6.33,0,2,1,1,1.00,0,50.0%,0.50,1,23,23.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,32%,0,0%,7,26%,False,Tony Pollard
2020,2020-11-22,10,11,23.206,DAL,@,MIN,W 31-28,False,5,60,12.00,1,0,0,0,,0,0.0%,,1,16,16.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,21,32%,0,0%,8,31%,True,Tony Pollard
2020,2020-11-26,11,12,23.210,DAL,,WAS,L 16-41,False,4,12,3.00,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,21,36%,0,0%,11,38%,False,Tony Pollard
