Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-12-06,12,13,,CAR,TAM,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,16,6,Mike Goodson
2009,2009-12-13,13,14,,CAR,NWE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,10,20,Mike Goodson
2009,2009-12-20,14,15,,CAR,MIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,26,7,Mike Goodson
2009,2009-12-27,15,16,22.218,CAR,NYG,False,5,2,0.40,0,1,1,13,13.00,0,100.0%,13.00,2,44,22.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,41,9,Mike Goodson
2009,2010-01-03,16,17,22.225,CAR,NOR,False,13,44,3.38,0,0,0,0,,0,0.0%,,1,11,11.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,23,10,Mike Goodson
2010,2010-09-12,1,1,23.112,CAR,NYG,False,0,0,,0,5,3,31,10.33,0,60.0%,6.20,5,117,23.40,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,18,31,Mike Goodson
2010,2010-09-19,2,2,23.119,CAR,TAM,False,5,20,4.00,0,3,2,33,16.50,0,66.7%,11.00,4,75,18.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,False,False,7,20,Mike Goodson
2010,2010-09-26,3,3,23.126,CAR,CIN,False,0,0,,0,8,4,47,11.75,0,50.0%,5.88,3,68,22.67,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,7,20,Mike Goodson
2010,2010-10-03,4,4,23.133,CAR,NOR,False,1,0,0.00,0,0,0,0,,0,0.0%,,5,142,28.40,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,14,16,Mike Goodson
2010,2010-10-10,5,5,23.140,CAR,CHI,False,0,0,,0,0,0,0,,0,0.0%,,2,62,31.00,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,False,6,23,Mike Goodson
2010,2010-10-24,6,7,23.154,CAR,SFO,False,0,0,,0,2,1,-5,-5.00,0,50.0%,-2.50,4,84,21.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,23,20,Mike Goodson
2010,2010-10-31,7,8,23.161,CAR,STL,False,1,1,1.00,0,5,4,16,4.00,0,80.0%,3.20,5,107,21.40,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,10,20,Mike Goodson
2010,2010-11-07,8,9,23.168,CAR,NOR,False,9,29,3.22,0,4,3,18,6.00,0,75.0%,4.50,2,31,15.50,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,3,34,Mike Goodson
2010,2010-11-14,9,10,23.175,CAR,TAM,True,23,100,4.35,0,4,3,13,4.33,0,75.0%,3.25,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,True,False,16,31,Mike Goodson
2010,2010-11-21,10,11,23.182,CAR,BAL,True,22,120,5.45,0,6,5,31,6.20,0,83.3%,5.17,0,0,,0,0,0,0.0,0,0,0,0,0,2,0,0,2,-13,0,,,,,,,False,False,13,37,Mike Goodson
2010,2010-11-28,11,12,23.189,CAR,CLE,True,14,55,3.93,1,10,8,81,10.13,0,80.0%,8.10,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,23,24,Mike Goodson
2010,2010-12-05,12,13,23.196,CAR,SEA,False,3,19,6.33,1,0,0,0,,0,0.0%,,3,79,26.33,0,1,6,0.0,1,0,1,,,0,0,0,0,0,0,,,,,,,True,False,14,31,Mike Goodson
2010,2010-12-12,13,14,23.203,CAR,ATL,False,9,70,7.78,1,2,1,6,6.00,0,50.0%,3.00,5,87,17.40,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,10,31,Mike Goodson
2010,2010-12-19,14,15,23.210,CAR,ARI,False,10,21,2.10,0,3,2,27,13.50,0,66.7%,9.00,2,35,17.50,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,19,12,Mike Goodson
2010,2010-12-23,15,16,23.214,CAR,PIT,False,4,3,0.75,0,2,2,23,11.50,0,100.0%,11.50,6,132,22.00,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,True,False,3,27,Mike Goodson
2010,2011-01-02,16,17,23.224,CAR,ATL,False,2,14,7.00,0,3,2,-11,-5.50,0,66.7%,-3.67,1,29,29.00,0,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,,,,,,,True,False,10,31,Mike Goodson
2011,2011-09-11,1,1,24.111,CAR,ARI,False,0,0,,0,2,1,4,4.00,0,50.0%,2.00,2,49,24.50,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,21,28,Mike Goodson
2011,2011-09-18,2,2,24.118,CAR,GNB,False,0,0,,0,0,0,0,,0,0.0%,,5,107,21.40,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,23,30,Mike Goodson
2011,2011-09-25,3,3,24.125,CAR,JAX,False,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,16,10,Mike Goodson
2011,2011-10-02,4,4,24.132,CAR,CHI,False,0,0,,0,0,0,0,,0,0.0%,,4,94,23.50,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,29,34,Mike Goodson
2011,2011-10-09,5,5,,CAR,NOR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,27,30,Mike Goodson
2011,2011-10-16,6,6,,CAR,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,17,31,Mike Goodson
2011,2011-10-23,7,7,,CAR,WAS,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,33,20,Mike Goodson
2011,2011-10-30,8,8,,CAR,MIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,21,24,Mike Goodson
2011,2011-11-13,9,10,,CAR,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,3,30,Mike Goodson
2011,2011-11-20,10,11,,CAR,DET,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,35,49,Mike Goodson
2011,2011-11-27,11,12,,CAR,IND,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,27,19,Mike Goodson
