Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-10-25,7,7,24.042,BUF,@,NYJ,W 18-10,False,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,,,,,0,0%,0,0%,8,35%,True,Corey Bojorquez
2020,2020-11-01,8,8,24.049,BUF,,NWE,W 24-21,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,122,40.67,0,0,0%,0,0%,7,28%,False,Corey Bojorquez
2020,2020-11-08,9,9,24.056,BUF,,SEA,W 44-34,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,107,53.50,0,0,0%,0,0%,11,32%,False,Corey Bojorquez
2020,2020-11-15,10,10,24.063,BUF,@,ARI,L 30-32,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,186,46.50,0,0,0%,0,0%,11,32%,True,Corey Bojorquez
2020,2020-11-29,11,12,24.077,BUF,,LAC,W 27-17,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,168,56.00,0,0,0%,0,0%,8,30%,False,Corey Bojorquez
2020,2020-12-07,12,13,24.085,BUF,@,SFO,W 34-24,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,68,68.00,0,0,0%,0,0%,7,29%,True,Corey Bojorquez
2020,2020-12-13,13,14,24.091,BUF,,PIT,W 26-15,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,228,45.60,0,0,0%,0,0%,10,36%,False,Corey Bojorquez
2020,2020-12-19,14,15,24.097,BUF,@,DEN,W 48-19,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,63,63.00,0,0,0%,0,0%,9,28%,True,Corey Bojorquez
2020,2020-12-28,15,16,24.106,BUF,@,NWE,W 38-9,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,113,56.50,0,0,0%,0,0%,9,32%,True,Corey Bojorquez
2020,2021-01-03,16,17,24.112,BUF,,MIA,W 56-26,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,214,53.50,0,0,0%,0,0%,13,35%,False,Corey Bojorquez
2021,2021-09-12,1,1,24.364,GNB,@,NOR,L 3-38,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,176,44.00,0,0,0%,0,0%,5,23%,True,Corey Bojorquez
2021,2021-09-20,2,2,25.007,GNB,,DET,W 35-17,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,140,46.67,0,0,0%,0,0%,8,35%,False,Corey Bojorquez
2021,2021-09-26,3,3,25.013,GNB,@,SFO,W 30-28,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,164,54.67,0,0,0%,0,0%,9,33%,True,Corey Bojorquez
2021,2021-10-03,4,4,25.020,GNB,,PIT,W 27-17,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,138,46.00,0,0,0%,0,0%,9,36%,False,Corey Bojorquez
2021,2021-10-10,5,5,25.027,GNB,@,CIN,W 25-22,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,67,33.50,0,0,0%,0,0%,11,35%,True,Corey Bojorquez
2021,2021-10-17,6,6,25.034,GNB,@,CHI,W 24-14,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,168,56.00,0,0,0%,0,0%,7,33%,True,Corey Bojorquez
2021,2021-10-24,7,7,25.041,GNB,,WAS,W 24-10,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,139,46.33,0,0,0%,0,0%,8,42%,False,Corey Bojorquez
2021,2021-10-28,8,8,25.045,GNB,@,ARI,W 24-21,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,154,51.33,0,0,0%,0,0%,7,32%,True,Corey Bojorquez
2021,2021-11-07,9,9,25.055,GNB,@,KAN,L 7-13,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,217,54.25,0,0,0%,0,0%,7,32%,True,Corey Bojorquez
2021,2021-11-14,10,10,25.062,GNB,,SEA,W 17-0,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,140,46.67,0,0,0%,0,0%,7,39%,False,Corey Bojorquez
2021,2021-11-21,11,11,25.069,GNB,@,MIN,L 31-34,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,102,51.00,0,0,0%,0,0%,8,29%,True,Corey Bojorquez
2021,2021-11-28,12,12,25.076,GNB,,LAR,W 36-28,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,212,42.40,0,0,0%,0,0%,13,36%,False,Corey Bojorquez
2021,2021-12-12,13,14,25.090,GNB,,CHI,W 45-30,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,0,1,0,0,0,0,0,0,0,0,4,171,42.75,0,0,0%,0,0%,11,31%,False,Corey Bojorquez
2021,2021-12-19,14,15,25.097,GNB,@,BAL,W 31-30,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,146,48.67,0,0,0%,0,0%,8,32%,True,Corey Bojorquez
2021,2021-12-25,15,16,25.103,GNB,,CLE,W 24-22,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,235,47.00,0,0,0%,0,0%,9,39%,False,Corey Bojorquez
2021,2022-01-02,16,17,25.111,GNB,,MIN,W 37-10,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,63,31.50,0,0,0%,0,0%,9,33%,False,Corey Bojorquez
2021,2022-01-09,17,18,25.118,GNB,@,DET,L 30-37,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,35,35.00,0,0,0%,0,0%,4,14%,True,Corey Bojorquez
,57 Games,,,,,,,38-19-0,False,1,0,0.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0.0,2,0,2,0,0,2,0,0,2,-25,0,218,9890,45.37,2,,,,,,,False,Corey Bojorquez
