Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-10-14,5.0,6.0,23.08,CHI,MIA,L 28-31,False,5,31,6.20,1,9,7,90,12.86,0,77.8%,10.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,5,5.00,0,1,6,0.0,0,0,0,,,1,1,0,0,0,0,34,49%,0,0%,5,18%,True,Tarik Cohen,False,28,31
2018.0,2018-10-21,6.0,7.0,23.087,CHI,NWE,L 31-38,False,6,14,2.33,0,13,8,69,8.63,1,61.5%,5.31,0,0,,0,0,0,,0,0,,,0,0,,0,1,17,17.00,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,42,51%,0,0%,4,12%,False,Tarik Cohen,False,31,38
2018.0,2018-10-28,7.0,8.0,23.094,CHI,NYJ,W 24-10,True,5,40,8.00,0,3,1,70,70.00,1,33.3%,23.33,0,0,,0,0,0,,0,0,,,0,0,,0,4,36,9.00,0,1,6,0.0,0,0,0,,,1,0,0,1,0,0,38,58%,0,0%,8,29%,False,Tarik Cohen,True,24,10
2018.0,2018-11-04,8.0,9.0,23.101,CHI,BUF,W 41-9,False,6,5,0.83,0,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,3,48,16.00,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,28,55%,0,0%,6,21%,True,Tarik Cohen,True,41,9
2018.0,2018-11-11,9.0,10.0,23.108,CHI,DET,W 34-22,True,7,15,2.14,1,7,6,29,4.83,0,85.7%,4.14,0,0,,0,0,0,,0,0,,,0,0,,0,1,18,18.00,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,31,54%,0,0%,7,26%,False,Tarik Cohen,True,34,22
2018.0,2018-11-18,10.0,11.0,23.115,CHI,MIN,W 25-20,True,7,27,3.86,0,5,3,23,7.67,0,60.0%,4.60,0,0,,0,0,0,,0,0,,,1,22,22.00,0,1,11,11.00,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,30,41%,0,0%,6,27%,False,Tarik Cohen,True,25,20
2018.0,2018-11-22,11.0,12.0,23.119,CHI,DET,W 23-16,False,3,14,4.67,0,8,7,45,6.43,1,87.5%,5.63,0,0,,0,0,0,,0,0,,,0,0,,0,4,46,11.50,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,22,38%,0,0%,5,21%,True,Tarik Cohen,True,23,16
2018.0,2018-12-02,12.0,13.0,23.129,CHI,NYG,L 27-30,False,8,30,3.75,0,14,12,156,13.00,0,85.7%,11.14,1,1,100.00,1,1,0,118.7,0,0,1.00,21.00,0,0,,0,2,16,8.00,0,0,0,0.0,0,0,0,,,1,0,0,1,0,0,42,51%,0,0%,8,22%,True,Tarik Cohen,False,27,30
2018.0,2018-12-09,13.0,14.0,23.136,CHI,LAR,W 15-6,False,9,69,7.67,0,4,4,20,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,1,0,0.00,0,1,22,22.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,42%,0,0%,5,21%,False,Tarik Cohen,True,15,6
2018.0,2018-12-16,14.0,15.0,23.143,CHI,GNB,W 24-17,True,5,24,4.80,0,6,5,31,6.20,1,83.3%,5.17,0,0,,0,0,0,,0,0,,,0,0,,0,2,53,26.50,0,1,6,0.0,0,0,0,,,1,1,0,0,-3,0,38,63%,0,0%,6,22%,False,Tarik Cohen,True,24,17
2018.0,2018-12-23,15.0,16.0,23.15,CHI,SFO,W 14-9,False,6,12,2.00,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,52%,0,0%,4,21%,True,Tarik Cohen,True,14,9
2018.0,2018-12-30,16.0,17.0,23.157,CHI,MIN,W 24-10,False,5,24,4.80,1,3,2,8,4.00,0,66.7%,2.67,0,0,,0,0,0,,0,0,,,0,0,,0,2,-2,-1.00,0,1,6,0.0,0,0,0,,,1,0,0,1,0,0,19,28%,0,0%,5,23%,True,Tarik Cohen,True,24,10
2019.0,2019-09-05,1.0,1.0,24.041,CHI,GNB,L 3-10,True,0,0,,0,10,8,49,6.13,0,80.0%,4.90,0,0,,0,0,0,,0,0,,,0,0,,0,4,36,9.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,72%,0,0%,9,36%,False,Tarik Cohen,False,3,10
2019.0,2019-09-15,2.0,2.0,24.051,CHI,DEN,W 16-14,False,4,18,4.50,0,5,2,7,3.50,0,40.0%,1.40,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,37%,0,0%,5,20%,True,Tarik Cohen,True,16,14
2019.0,2019-09-23,3.0,3.0,24.059,CHI,WAS,W 31-15,True,4,-2,-0.50,0,4,2,26,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,,,0,0,,0,1,3,3.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,51%,0,0%,1,5%,True,Tarik Cohen,True,31,15
2019.0,2019-09-29,4.0,4.0,24.065,CHI,MIN,W 16-6,True,5,11,2.20,0,5,2,7,3.50,1,40.0%,1.40,0,0,,0,0,0,,0,0,,,0,0,,0,1,16,16.00,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,28,40%,0,0%,6,30%,False,Tarik Cohen,True,16,6
2019.0,2019-10-06,5.0,5.0,24.072,CHI,OAK,L 21-24,True,4,10,2.50,0,7,6,39,6.50,0,85.7%,5.57,0,0,,0,0,0,,0,0,,,0,0,,0,2,72,36.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,52%,0,0%,6,21%,True,Tarik Cohen,False,21,24
2019.0,2019-10-20,6.0,7.0,24.086,CHI,NOR,L 25-36,True,3,10,3.33,0,12,9,19,2.11,0,75.0%,1.58,0,0,,0,0,0,,0,0,,,0,0,,0,2,6,3.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,55%,0,0%,4,11%,False,Tarik Cohen,False,25,36
2019.0,2019-10-27,7.0,8.0,24.093,CHI,LAC,L 16-17,False,4,9,2.25,0,3,3,37,12.33,0,100.0%,12.33,0,0,,0,0,0,,0,0,,,0,0,,0,5,50,10.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,20%,0,0%,5,19%,False,Tarik Cohen,False,16,17
