Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2011,2011-11-28,11,12,21.342,NOR,,NYG,W 49-24,True,13,80,6.15,1,3,2,14,7.00,0,66.7%,4.67,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Mark Ingram
2011,2011-12-04,12,13,21.348,NOR,,DET,W 31-17,True,16,54,3.38,1,1,0,0,,0,0.0%,0.00,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Mark Ingram
2011,2011-12-11,13,14,,NOR,@,TEN,W 22-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Mark Ingram
2011,2011-12-18,14,15,,NOR,@,MIN,W 42-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Mark Ingram
2011,2011-12-26,15,16,,NOR,,ATL,W 45-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Mark Ingram
2011,2012-01-01,16,17,,NOR,,CAR,W 45-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Mark Ingram
2012,2012-09-09,1,1,22.263,NOR,,WAS,L 32-40,False,6,15,2.50,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,12%,0,0%,0,0%,False,Mark Ingram
2012,2012-09-16,2,2,22.270,NOR,@,CAR,L 27-35,False,16,53,3.31,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,21,27%,0,0%,0,0%,True,Mark Ingram
2012,2012-09-23,3,3,22.277,NOR,,KAN,L 24-27,False,5,11,2.20,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,20%,0,0%,0,0%,False,Mark Ingram
2012,2012-09-30,4,4,22.284,NOR,@,GNB,L 27-28,False,5,11,2.20,0,1,1,-1,-1.00,0,100.0%,-1.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,17%,0,0%,0,0%,True,Mark Ingram
2012,2012-10-07,5,5,22.291,NOR,,SDG,W 31-24,False,5,16,3.20,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,14,20%,0,0%,0,0%,False,Mark Ingram
2012,2012-10-21,6,7,22.305,NOR,@,TAM,W 35-28,False,7,21,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,19%,0,0%,0,0%,True,Mark Ingram
2012,2012-10-28,7,8,22.312,NOR,@,DEN,L 14-34,False,3,7,2.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,10%,0,0%,0,0%,True,Mark Ingram
2012,2012-11-05,8,9,22.320,NOR,,PHI,W 28-13,True,7,44,6.29,0,2,2,23,11.50,0,100.0%,11.50,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,32%,0,0%,2,8%,False,Mark Ingram
2012,2012-11-11,9,10,22.326,NOR,,ATL,W 31-27,False,16,67,4.19,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,39%,0,0%,3,10%,False,Mark Ingram
2012,2012-11-18,10,11,22.333,NOR,@,OAK,W 38-17,True,12,67,5.58,1,1,1,1,1.00,0,100.0%,1.00,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,16,28%,0,0%,4,14%,True,Mark Ingram
2012,2012-11-25,11,12,22.340,NOR,,SFO,L 21-31,False,10,27,2.70,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,26%,0,0%,4,14%,False,Mark Ingram
2012,2012-11-29,12,13,22.344,NOR,@,ATL,L 13-23,True,6,13,2.17,1,1,1,-1,-1.00,0,100.0%,-1.00,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,10,13%,0,0%,6,21%,True,Mark Ingram
2012,2012-12-09,13,14,22.354,NOR,@,NYG,L 27-52,True,13,68,5.23,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,28%,0,0%,3,8%,True,Mark Ingram
2012,2012-12-16,14,15,22.361,NOR,,TAM,W 41-0,True,14,90,6.43,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,23,33%,0,0%,5,19%,False,Mark Ingram
2012,2012-12-23,15,16,23.002,NOR,@,DAL,W 34-31,False,21,53,2.52,1,1,1,7,7.00,0,100.0%,7.00,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,30,32%,0,0%,7,20%,True,Mark Ingram
2012,2012-12-30,16,17,23.009,NOR,,CAR,L 38-44,False,10,39,3.90,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,31%,0,0%,4,11%,False,Mark Ingram
2013,2013-09-08,1,1,23.261,NOR,,ATL,W 23-17,True,9,11,1.22,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,26%,0,0%,4,15%,False,Mark Ingram
2013,2013-09-15,2,2,23.268,NOR,@,TAM,W 16-14,False,8,20,2.50,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,18%,0,0%,3,12%,True,Mark Ingram
2013,2013-09-22,3,3,,NOR,,ARI,W 31-7,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Mark Ingram
2013,2013-09-30,4,4,,NOR,,MIA,W 38-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Mark Ingram
2013,2013-10-06,5,5,,NOR,@,CHI,W 26-18,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Mark Ingram
2013,2013-10-13,6,6,,NOR,@,NWE,L 27-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Mark Ingram
2013,2013-10-27,7,8,,NOR,,BUF,W 35-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Mark Ingram
2013,2013-11-03,8,9,23.317,NOR,@,NYJ,L 20-26,False,4,19,4.75,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,20%,0,0%,0,0%,True,Mark Ingram
2013,2013-11-10,9,10,23.324,NOR,,DAL,W 49-17,False,14,145,10.36,1,3,2,15,7.50,0,66.7%,5.00,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,22,26%,0,0%,0,0%,False,Mark Ingram
2013,2013-11-17,10,11,23.331,NOR,,SFO,W 23-20,False,6,25,4.17,0,2,1,4,4.00,0,50.0%,2.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,19%,0,0%,0,0%,False,Mark Ingram
2013,2013-11-21,11,12,23.335,NOR,@,ATL,W 17-13,True,9,32,3.56,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,38%,0,0%,0,0%,True,Mark Ingram
2013,2013-12-02,12,13,23.346,NOR,@,SEA,L 7-34,False,8,22,2.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,25%,0,0%,0,0%,True,Mark Ingram
2013,2013-12-08,13,14,23.352,NOR,,CAR,W 31-13,False,3,4,1.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,23%,0,0%,0,0%,False,Mark Ingram
2013,2013-12-15,14,15,23.359,NOR,@,STL,L 16-27,True,1,5,5.00,0,2,2,39,19.50,0,100.0%,19.50,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,9%,0,0%,0,0%,True,Mark Ingram
2013,2013-12-22,15,16,24.001,NOR,@,CAR,L 13-17,False,13,83,6.38,0,1,1,7,7.00,0,100.0%,7.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,21%,0,0%,0,0%,True,Mark Ingram
2013,2013-12-29,16,17,24.008,NOR,,TAM,W 42-17,False,3,20,6.67,0,1,1,3,3.00,0,100.0%,3.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,16%,0,0%,0,0%,False,Mark Ingram
2014,2014-09-07,1,1,24.260,NOR,@,ATL,L 34-37,False,13,60,4.62,2,1,1,1,1.00,0,100.0%,1.00,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,20,27%,0,0%,0,0%,True,Mark Ingram
2014,2014-09-14,2,2,24.267,NOR,@,CLE,L 24-26,False,11,83,7.55,1,4,3,21,7.00,0,75.0%,5.25,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,20,29%,0,0%,0,0%,True,Mark Ingram
2014,2014-09-21,3,3,,NOR,,MIN,W 20-9,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Mark Ingram
2014,2014-09-28,4,4,,NOR,@,DAL,L 17-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Mark Ingram
2014,2014-10-05,5,5,,NOR,,TAM,W 37-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Mark Ingram
2014,2014-10-19,6,7,24.302,NOR,@,DET,L 23-24,False,10,16,1.60,0,3,2,13,6.50,0,66.7%,4.33,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,34%,0,0%,0,0%,True,Mark Ingram
2014,2014-10-26,7,8,24.309,NOR,,GNB,W 44-23,True,24,172,7.17,1,2,1,3,3.00,0,50.0%,1.50,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,54,79%,0,0%,0,0%,False,Mark Ingram
2014,2014-10-30,8,9,24.313,NOR,@,CAR,W 28-10,True,30,100,3.33,2,2,1,10,10.00,0,50.0%,5.00,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,50,66%,0,0%,0,0%,True,Mark Ingram
2014,2014-11-09,9,10,24.323,NOR,,SFO,L 24-27,True,27,120,4.44,0,5,3,19,6.33,0,60.0%,3.80,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,59%,0,0%,0,0%,False,Mark Ingram
2014,2014-11-16,10,11,24.330,NOR,,CIN,L 10-27,True,23,67,2.91,0,7,7,30,4.29,0,100.0%,4.29,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,75%,0,0%,0,0%,False,Mark Ingram
2014,2014-11-24,11,12,24.338,NOR,,BAL,L 27-34,True,11,27,2.45,0,2,2,15,7.50,0,100.0%,7.50,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,25,34%,0,0%,0,0%,False,Mark Ingram
2014,2014-11-30,12,13,24.344,NOR,@,PIT,W 35-32,False,23,122,5.30,0,2,2,-1,-0.50,0,100.0%,-0.50,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,70%,0,0%,0,0%,True,Mark Ingram
2014,2014-12-07,13,14,24.351,NOR,,CAR,L 10-41,True,10,43,4.30,0,2,2,13,6.50,0,100.0%,6.50,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,16,23%,0,0%,0,0%,False,Mark Ingram
2014,2014-12-15,14,15,24.359,NOR,@,CHI,W 31-15,True,17,59,3.47,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,29,43%,0,0%,0,0%,True,Mark Ingram
2014,2014-12-21,15,16,25.000,NOR,,ATL,L 14-30,True,13,38,2.92,1,3,3,17,5.67,0,100.0%,5.67,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,53,76%,0,0%,0,0%,False,Mark Ingram
2014,2014-12-28,16,17,25.007,NOR,@,TAM,W 23-20,True,14,57,4.07,1,3,2,4,2.00,0,66.7%,1.33,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,38,58%,0,0%,0,0%,True,Mark Ingram
2015,2015-09-13,1,1,25.266,NOR,@,ARI,L 19-31,True,9,24,2.67,0,9,8,98,12.25,0,88.9%,10.89,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,62%,0,0%,0,0%,True,Mark Ingram
2015,2015-09-20,2,2,25.273,NOR,,TAM,L 19-26,True,16,53,3.31,1,3,3,5,1.67,0,100.0%,1.67,,1,6,0.0,0,0,0,,,1,1,0,0,0,0,51,65%,0,0%,0,0%,False,Mark Ingram
2015,2015-09-27,3,3,25.280,NOR,@,CAR,L 22-27,False,14,50,3.57,1,5,5,49,9.80,0,100.0%,9.80,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,43,61%,0,0%,0,0%,True,Mark Ingram
2015,2015-10-04,4,4,25.287,NOR,,DAL,W 26-20,True,17,77,4.53,0,7,6,51,8.50,0,85.7%,7.29,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,56%,0,0%,0,0%,False,Mark Ingram
2015,2015-10-11,5,5,25.294,NOR,@,PHI,L 17-39,False,12,57,4.75,0,3,2,17,8.50,0,66.7%,5.67,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,51%,0,0%,0,0%,True,Mark Ingram
2015,2015-10-15,6,6,25.298,NOR,,ATL,W 31-21,True,20,46,2.30,2,3,3,10,3.33,0,100.0%,3.33,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,38,53%,0,0%,0,0%,False,Mark Ingram
2015,2015-10-25,7,7,25.308,NOR,@,IND,W 27-21,True,14,143,10.21,1,2,2,5,2.50,0,100.0%,2.50,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,44,50%,0,0%,0,0%,True,Mark Ingram
2015,2015-11-01,8,8,25.315,NOR,,NYG,W 52-49,True,16,80,5.00,0,5,4,39,9.75,0,80.0%,7.80,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,64%,0,0%,0,0%,False,Mark Ingram
2015,2015-11-08,9,9,25.322,NOR,,TEN,L 28-34,True,22,54,2.45,0,5,4,42,10.50,0,80.0%,8.40,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,88%,0,0%,0,0%,False,Mark Ingram
2015,2015-11-15,10,10,25.329,NOR,@,WAS,L 14-47,True,5,77,15.40,0,4,3,21,7.00,0,75.0%,5.25,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,40%,0,0%,0,0%,True,Mark Ingram
2015,2015-11-29,11,12,25.343,NOR,@,HOU,L 6-24,True,9,52,5.78,0,8,6,45,7.50,0,75.0%,5.63,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,78%,0,0%,0,0%,True,Mark Ingram
2015,2015-12-06,12,13,25.350,NOR,,CAR,L 38-41,True,12,56,4.67,1,6,4,23,5.75,0,66.7%,3.83,1,1,8,0.0,0,0,0,0,0,1,0,0,0,0,0,52,85%,0,0%,0,0%,False,Mark Ingram
2015,2015-12-13,13,14,,NOR,@,TAM,W 24-17,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Mark Ingram
2015,2015-12-21,14,15,,NOR,,DET,L 27-35,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Mark Ingram
2015,2015-12-27,15,16,,NOR,,JAX,W 38-27,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Mark Ingram
2015,2016-01-03,16,17,,NOR,@,ATL,W 20-17,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Mark Ingram
2016,2016-09-11,1,1,26.265,NOR,,OAK,L 34-35,True,12,58,4.83,0,2,2,29,14.50,0,100.0%,14.50,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,42%,0,0%,0,0%,False,Mark Ingram
2016,2016-09-18,2,2,26.272,NOR,@,NYG,L 13-16,True,9,30,3.33,0,4,4,17,4.25,0,100.0%,4.25,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,58%,0,0%,0,0%,True,Mark Ingram
2016,2016-09-26,3,3,26.280,NOR,,ATL,L 32-45,True,15,77,5.13,0,6,4,30,7.50,1,66.7%,5.00,1,1,8,0.0,0,0,0,,,0,0,0,0,0,0,40,49%,0,0%,0,0%,False,Mark Ingram
2016,2016-10-02,4,4,26.286,NOR,@,SDG,W 35-34,True,18,56,3.11,1,7,6,49,8.17,0,85.7%,7.00,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,48,66%,0,0%,0,0%,True,Mark Ingram
2016,2016-10-16,5,6,26.300,NOR,,CAR,W 41-38,False,16,51,3.19,0,3,2,9,4.50,0,66.7%,3.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,53%,0,0%,0,0%,False,Mark Ingram
2016,2016-10-23,6,7,26.307,NOR,@,KAN,L 21-27,True,16,62,3.88,0,4,4,20,5.00,1,100.0%,5.00,,1,6,0.0,0,0,0,,,1,1,0,0,0,0,38,51%,0,0%,0,0%,True,Mark Ingram
2016,2016-10-30,7,8,26.314,NOR,,SEA,W 25-20,True,3,5,1.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,6,8%,0,0%,0,0%,False,Mark Ingram
2016,2016-11-06,8,9,26.321,NOR,@,SFO,W 41-23,False,15,158,10.53,1,2,2,13,6.50,1,100.0%,6.50,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,33,38%,0,0%,0,0%,True,Mark Ingram
2016,2016-11-13,9,10,26.328,NOR,,DEN,L 23-25,True,11,50,4.55,0,2,2,13,6.50,0,100.0%,6.50,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,43%,0,0%,0,0%,False,Mark Ingram
2016,2016-11-17,10,11,26.332,NOR,@,CAR,L 20-23,True,7,28,4.00,0,4,3,47,15.67,0,75.0%,11.75,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,34%,0,0%,0,0%,True,Mark Ingram
2016,2016-11-27,11,12,26.342,NOR,,LAR,W 49-21,True,14,146,10.43,1,2,1,21,21.00,1,50.0%,10.50,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,42,57%,0,0%,0,0%,False,Mark Ingram
2016,2016-12-04,12,13,26.349,NOR,,DET,L 13-28,True,7,37,5.29,0,5,5,16,3.20,0,100.0%,3.20,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,34%,0,0%,0,0%,False,Mark Ingram
2016,2016-12-11,13,14,26.356,NOR,@,TAM,L 11-16,True,7,14,2.00,0,2,1,9,9.00,0,50.0%,4.50,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,30%,0,0%,0,0%,True,Mark Ingram
2016,2016-12-18,14,15,26.363,NOR,@,ARI,W 48-41,True,17,78,4.59,0,4,2,14,7.00,0,50.0%,3.50,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,48%,0,0%,0,0%,True,Mark Ingram
2016,2016-12-24,15,16,27.003,NOR,,TAM,W 31-24,True,18,90,5.00,2,3,2,3,1.50,0,66.7%,1.00,1,2,14,0.0,0,0,0,,,0,0,0,0,0,0,48,68%,0,0%,0,0%,False,Mark Ingram
2016,2017-01-01,16,17,27.011,NOR,@,ATL,L 32-38,True,20,103,5.15,1,8,6,29,4.83,0,75.0%,3.63,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,45,58%,0,0%,0,0%,True,Mark Ingram
