Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-10-17,6.0,6.0,,NYJ,ARI,L 3-28,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Bryce Petty,False,3,28
2016.0,2016-10-23,7.0,7.0,,NYJ,BAL,W 24-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Bryce Petty,True,24,16
2016.0,2016-10-30,8.0,8.0,,NYJ,CLE,W 31-28,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Bryce Petty,True,31,28
2016.0,2016-11-06,9.0,9.0,25.159,NYJ,MIA,L 23-27,False,2,2,100.00,19,0,0,106.2,0,0,9.50,9.50,0,0,,0,,0,0,0,0,0,0,0,0,4,7%,0,0%,0,0%,True,Bryce Petty,False,23,27
2016.0,2016-11-13,10.0,10.0,25.166,NYJ,LAR,L 6-9,True,19,32,59.38,163,1,1,70.2,1,6,5.09,4.31,0,0,,0,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,False,Bryce Petty,False,6,9
2016.0,2016-11-27,11.0,12.0,,NYJ,NWE,L 17-22,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Bryce Petty,False,17,22
2016.0,2016-12-05,12.0,13.0,25.188,NYJ,IND,L 10-41,False,11,25,44.00,135,1,2,41.2,1,2,5.40,2.60,0,0,,0,,0,0,0,0,0,0,0,0,27,52%,0,0%,0,0%,False,Bryce Petty,False,10,41
2016.0,2016-12-11,13.0,14.0,25.194,NYJ,SFO,W 23-17,True,23,35,65.71,257,0,1,75.5,6,41,7.34,6.06,4,19,4.75,0,1,0,2,0,0,0,0,0,0,84,100%,0,0%,0,0%,True,Bryce Petty,True,23,17
2016.0,2016-12-17,14.0,15.0,25.2,NYJ,MIA,L 13-34,True,20,36,55.56,235,1,2,61.7,3,22,6.53,4.58,1,0,0.00,0,,0,0,1,1,0,1,0,0,58,76%,0,0%,0,0%,False,Bryce Petty,False,13,34
2016.0,2016-12-24,15.0,16.0,25.207,NYJ,NWE,L 3-41,True,0,3,0.00,0,0,1,0.0,2,8,0.00,-15.00,0,0,,0,,0,0,0,0,0,0,0,0,12,21%,0,0%,0,0%,True,Bryce Petty,False,3,41
2016.0,2017-01-01,16.0,17.0,,NYJ,BUF,W 30-10,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Bryce Petty,True,30,10
2017.0,2017-09-10,1.0,1.0,,NYJ,BUF,L 12-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Bryce Petty,False,12,21
2017.0,2017-09-17,2.0,2.0,,NYJ,OAK,L 20-45,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Bryce Petty,False,20,45
2017.0,2017-09-24,3.0,3.0,,NYJ,MIA,W 20-6,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Bryce Petty,True,20,6
2017.0,2017-10-01,4.0,4.0,,NYJ,JAX,W 23-20,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Bryce Petty,True,23,20
2017.0,2017-10-08,5.0,5.0,,NYJ,CLE,W 17-14,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Bryce Petty,True,17,14
2017.0,2017-10-15,6.0,6.0,,NYJ,NWE,L 17-24,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Bryce Petty,False,17,24
2017.0,2017-10-22,7.0,7.0,,NYJ,MIA,L 28-31,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Bryce Petty,False,28,31
2017.0,2017-10-29,8.0,8.0,,NYJ,ATL,L 20-25,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Bryce Petty,False,20,25
2017.0,2017-11-02,9.0,9.0,,NYJ,BUF,W 34-21,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Bryce Petty,True,34,21
2017.0,2017-11-12,10.0,10.0,,NYJ,TAM,L 10-15,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Bryce Petty,False,10,15
2017.0,2017-11-26,11.0,12.0,,NYJ,CAR,L 27-35,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Bryce Petty,False,27,35
2017.0,2017-12-03,12.0,13.0,,NYJ,KAN,W 38-31,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Bryce Petty,True,38,31
2017.0,2017-12-10,13.0,14.0,26.193,NYJ,DEN,L 0-23,False,2,9,22.22,14,0,0,39.6,0,0,1.56,1.56,1,7,7.00,0,,0,0,0,0,0,0,0,0,21,42%,0,0%,0,0%,True,Bryce Petty,False,0,23
2017.0,2017-12-17,14.0,15.0,26.2,NYJ,NOR,L 19-31,True,19,39,48.72,179,1,2,49.0,1,9,4.59,2.79,2,16,8.00,0,,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,True,Bryce Petty,False,19,31
2017.0,2017-12-24,15.0,16.0,26.207,NYJ,LAC,L 7-14,True,15,28,53.57,119,0,1,49.6,3,21,4.25,2.64,3,33,11.00,0,,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,False,Bryce Petty,False,7,14
2017.0,2017-12-31,16.0,17.0,26.214,NYJ,NWE,L 6-26,True,19,36,52.78,232,0,0,72.9,4,25,6.44,6.44,1,-1,-1.00,0,,0,0,1,0,0,0,0,0,59,100%,0,0%,0,0%,True,Bryce Petty,False,6,26
,10 Games,,,,,,1-9-0,False,130,245,53.06,1353,4,10,57.7,21,134,5.52,4.01,12,74,6.17,0,1,0,2,2,1,0,1,0,0,,,,,,,False,Bryce Petty,False,9,0
