Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-12-06,12,13,27.244,LAC,,NWE,L 0-45,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,1,0,1,0,0,4,206,51.50,0,0,0%,0,0%,8,30%,False,Ty Long
2020,2020-12-13,13,14,27.251,LAC,,ATL,W 20-17,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,3,151,50.33,0,0,0%,0,0%,12,57%,False,Ty Long
2020,2020-12-17,14,15,27.255,LAC,@,LVR,W 30-27,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,2,71,35.50,0,0,0%,0,0%,14,50%,True,Ty Long
2020,2020-12-27,15,16,27.265,LAC,,DEN,W 19-16,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,4,193,48.25,0,0,0%,0,0%,16,53%,False,Ty Long
2020,2021-01-03,16,17,27.272,LAC,@,KAN,W 38-21,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,1,1,0,0,2,87,43.50,0,0,0%,0,0%,12,55%,True,Ty Long
2021,2021-09-12,1,1,28.159,LAC,@,WAS,W 20-16,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,2,94,47.00,0,0,0%,0,0%,6,26%,True,Ty Long
2021,2021-09-19,2,2,28.166,LAC,,DAL,L 17-20,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,5,26%,False,Ty Long
2021,2021-09-26,3,3,28.173,LAC,@,KAN,W 30-24,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,4,172,43.00,0,0,0%,0,0%,8,33%,True,Ty Long
2021,2021-10-04,4,4,28.181,LAC,,LVR,W 28-14,False,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,0,0,0.0,0,0,0,0,0,5,221,44.20,0,0,0%,0,0%,11,41%,False,Ty Long
2021,2021-10-10,5,5,28.187,LAC,,CLE,W 47-42,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,3,159,53.00,0,0,0%,0,0%,8,25%,False,Ty Long
2021,2021-10-17,6,6,28.194,LAC,@,BAL,L 6-34,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,5,262,52.40,0,0,0%,0,0%,6,26%,True,Ty Long
2021,2021-10-31,7,8,28.208,LAC,,NWE,L 24-27,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,5,240,48.00,0,0,0%,0,0%,10,33%,False,Ty Long
2021,2021-11-07,8,9,28.215,LAC,@,PHI,W 27-24,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0%,0,0%,4,18%,True,Ty Long
2021,2021-11-14,9,10,28.222,LAC,,MIN,L 20-27,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,5,242,48.40,0,0,0%,0,0%,9,32%,False,Ty Long
2021,2021-11-21,10,11,28.229,LAC,,PIT,W 41-37,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,0,0,,1,0,0%,0,0%,10,29%,False,Ty Long
2021,2021-11-28,11,12,28.236,LAC,@,DEN,L 13-28,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,3,136,45.33,0,0,0%,0,0%,5,25%,True,Ty Long
2021,2021-12-05,12,13,28.243,LAC,@,CIN,W 41-22,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,4,169,42.25,0,0,0%,0,0%,10,33%,True,Ty Long
2021,2021-12-12,13,14,28.250,LAC,,NYG,W 37-21,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,3,78,26.00,0,0,0%,0,0%,10,34%,False,Ty Long
2021,2021-12-16,14,15,28.254,LAC,,KAN,L 28-34,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,1,41,41.00,0,0,0%,0,0%,5,23%,False,Ty Long
2021,2021-12-26,15,16,28.264,LAC,@,HOU,L 29-41,False,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0%,0,0%,3,11%,True,Ty Long
2021,2022-01-02,16,17,28.271,LAC,,DEN,W 34-13,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,3,115,38.33,0,0,0%,0,0%,9,36%,False,Ty Long
2021,2022-01-09,17,18,28.278,LAC,@,LVR,L 32-35,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,3,162,54.00,0,0,0%,0,0%,8,24%,True,Ty Long
,49 Games,,,,,,,21-28-0,False,1,-28,-28.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,9,9,100.0,7,9,77.8,0,30,0.0,3,1,4,0,0,151,7016,46.46,4,,,,,,,False,Ty Long
