Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-09-25,3,3,22.359,JAX,,BAL,L 17-19,True,6,17,2.83,0,3,2,11,5.50,0,66.7%,3.67,0,0,0,0,0,0,0,0,33,50%,0,0%,0,0%,False,T.J. Yeldon
2016,2016-10-02,4,4,23.000,JAX,,IND,W 30-27,True,14,71,5.07,0,5,4,46,11.50,0,80.0%,9.20,0,0,1,0,0,0,0,0,54,75%,0,0%,0,0%,False,T.J. Yeldon
2016,2016-10-16,5,6,23.014,JAX,@,CHI,W 17-16,True,6,21,3.50,0,2,1,5,5.00,0,50.0%,2.50,0,0,0,0,0,0,0,0,37,62%,0,0%,0,0%,True,T.J. Yeldon
2016,2016-10-23,6,7,23.021,JAX,,OAK,L 16-33,True,6,24,4.00,0,2,1,4,4.00,0,50.0%,2.00,0,0,0,0,0,0,0,0,39,57%,0,0%,0,0%,False,T.J. Yeldon
2016,2016-10-27,7,8,23.025,JAX,@,TEN,L 22-36,True,3,20,6.67,0,4,4,36,9.00,0,100.0%,9.00,0,0,0,0,0,0,0,0,41,57%,0,0%,0,0%,True,T.J. Yeldon
2016,2016-11-06,8,9,23.035,JAX,@,KAN,L 14-19,True,7,33,4.71,0,6,5,32,6.40,1,83.3%,5.33,1,6,1,1,0,0,0,0,43,56%,0,0%,0,0%,True,T.J. Yeldon
2016,2016-11-13,9,10,23.042,JAX,,HOU,L 21-24,True,9,32,3.56,0,3,3,27,9.00,0,100.0%,9.00,0,0,0,0,0,0,0,0,41,53%,0,0%,0,0%,False,T.J. Yeldon
2016,2016-11-20,10,11,23.049,JAX,@,DET,L 19-26,True,4,16,4.00,0,3,2,16,8.00,0,66.7%,5.33,0,0,0,0,0,0,0,0,11,17%,0,0%,0,0%,True,T.J. Yeldon
2016,2016-11-27,11,12,23.056,JAX,@,BUF,L 21-28,False,6,17,2.83,0,2,1,3,3.00,0,50.0%,1.50,0,0,0,0,0,0,0,0,23,34%,0,0%,0,0%,True,T.J. Yeldon
2016,2016-12-04,12,13,23.063,JAX,,DEN,L 10-20,False,14,55,3.93,0,7,3,27,9.00,0,42.9%,3.86,0,0,0,0,0,0,0,0,53,63%,0,0%,0,0%,False,T.J. Yeldon
2016,2016-12-11,13,14,23.070,JAX,,MIN,L 16-25,True,17,59,3.47,0,9,7,31,4.43,0,77.8%,3.44,0,0,0,0,0,0,0,0,53,80%,0,0%,0,0%,False,T.J. Yeldon
2016,2016-12-18,14,15,23.077,JAX,@,HOU,L 20-21,True,8,28,3.50,0,7,5,34,6.80,0,71.4%,4.86,0,0,0,0,0,0,0,0,39,74%,0,0%,0,0%,True,T.J. Yeldon
2016,2016-12-24,15,16,23.083,JAX,,TEN,W 38-17,True,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,3,4%,0,0%,0,0%,False,T.J. Yeldon
2016,2017-01-01,16,17,,JAX,@,IND,L 20-24,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,T.J. Yeldon
2017,2017-09-10,1,1,,JAX,@,HOU,W 29-7,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,T.J. Yeldon
2017,2017-09-17,2,2,,JAX,,TEN,L 16-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,T.J. Yeldon
2017,2017-09-24,3,3,,JAX,,BAL,W 44-7,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,T.J. Yeldon
2017,2017-10-01,4,4,,JAX,@,NYJ,L 20-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,T.J. Yeldon
2017,2017-10-08,5,5,,JAX,@,PIT,W 30-9,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,T.J. Yeldon
