Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2010,2010-12-26,15,16,,NWE,@,BUF,W 34-3,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Stephen Gostkowski
2010,2011-01-02,16,17,,NWE,,MIA,W 38-7,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Stephen Gostkowski
2011,2011-09-12,1,1,27.227,NWE,@,MIA,W 38-24,False,5,5,100.0,1,2,50.0,0,8,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2011,2011-09-18,2,2,27.233,NWE,,SDG,W 35-21,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2011,2011-09-25,3,3,27.240,NWE,@,BUF,L 31-34,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2011,2011-10-02,4,4,27.247,NWE,@,OAK,W 31-19,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2011,2011-10-09,5,5,27.254,NWE,,NYJ,W 30-21,False,3,3,100.0,3,3,100.0,0,12,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2011,2011-10-16,6,6,27.261,NWE,,DAL,W 20-16,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2011,2011-10-30,7,8,27.275,NWE,@,PIT,L 17-25,False,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2011,2011-11-06,8,9,27.282,NWE,,NYG,L 20-24,False,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2011,2011-11-13,9,10,27.289,NWE,@,NYJ,W 37-16,False,4,4,100.0,3,3,100.0,0,13,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2011,2011-11-21,10,11,27.297,NWE,,KAN,W 34-3,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2011,2011-11-27,11,12,27.303,NWE,@,PHI,W 38-20,False,5,5,100.0,1,2,50.0,0,8,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2011,2011-12-04,12,13,27.310,NWE,,IND,W 31-24,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2011,2011-12-11,13,14,27.317,NWE,@,WAS,W 34-27,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2011,2011-12-18,14,15,27.324,NWE,@,DEN,W 41-23,False,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Gostkowski
2011,2011-12-24,15,16,27.330,NWE,,MIA,W 27-24,False,3,3,100.0,2,3,66.7,0,9,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2011,2012-01-01,16,17,27.338,NWE,,BUF,W 49-21,False,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Gostkowski
2012,2012-09-09,1,1,28.225,NWE,@,TEN,W 34-13,False,4,4,100.0,2,2,100.0,0,10,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,13,46%,True,Stephen Gostkowski
2012,2012-09-16,2,2,28.232,NWE,,ARI,L 18-20,False,,,,4,5,80.0,0,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,34%,False,Stephen Gostkowski
2012,2012-09-23,3,3,28.239,NWE,@,BAL,L 30-31,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,13,42%,True,Stephen Gostkowski
2012,2012-09-30,4,4,28.246,NWE,@,BUF,W 52-28,False,7,7,100.0,1,3,33.3,0,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,19,53%,True,Stephen Gostkowski
2012,2012-10-07,5,5,28.253,NWE,,DEN,W 31-21,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,46%,False,Stephen Gostkowski
2012,2012-10-14,6,6,28.260,NWE,@,SEA,L 23-24,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,39%,True,Stephen Gostkowski
2012,2012-10-21,7,7,28.267,NWE,,NYJ,W 29-26,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,10,29%,False,Stephen Gostkowski
2012,2012-10-28,8,8,28.274,NWE,@,STL,W 45-7,False,6,6,100.0,1,1,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,16,59%,True,Stephen Gostkowski
2012,2012-11-11,9,10,28.288,NWE,,BUF,W 37-31,False,4,4,100.0,3,3,100.0,0,13,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,15,50%,False,Stephen Gostkowski
2012,2012-11-18,10,11,28.295,NWE,,IND,W 59-24,False,8,8,100.0,1,2,50.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,20,57%,False,Stephen Gostkowski
2012,2012-11-22,11,12,28.299,NWE,@,NYJ,W 49-19,False,7,7,100.0,,1,0.0,0,7,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,16,52%,True,Stephen Gostkowski
2012,2012-12-02,12,13,28.309,NWE,@,MIA,W 23-16,False,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,12,39%,True,Stephen Gostkowski
2012,2012-12-10,13,14,28.317,NWE,,HOU,W 42-14,False,6,6,100.0,,,,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,13,43%,False,Stephen Gostkowski
2012,2012-12-16,14,15,28.323,NWE,,SFO,L 34-41,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,13,33%,False,Stephen Gostkowski
2012,2012-12-23,15,16,28.330,NWE,@,JAX,W 23-16,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,37%,True,Stephen Gostkowski
2012,2012-12-30,16,17,28.337,NWE,,MIA,W 28-0,False,4,4,100.0,,,,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,43%,False,Stephen Gostkowski
2013,2013-09-08,1,1,29.223,NWE,@,BUF,W 23-21,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,33%,True,Stephen Gostkowski
2013,2013-09-12,2,2,29.227,NWE,,NYJ,W 13-10,False,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,24%,False,Stephen Gostkowski
2013,2013-09-22,3,3,29.237,NWE,,TAM,W 23-3,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,10,50%,False,Stephen Gostkowski
2013,2013-09-29,4,4,29.244,NWE,@,ATL,W 30-23,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,13,45%,True,Stephen Gostkowski
2013,2013-10-06,5,5,29.251,NWE,@,CIN,L 6-13,False,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,5,19%,True,Stephen Gostkowski
2013,2013-10-13,6,6,29.258,NWE,,NOR,W 30-27,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,13,38%,False,Stephen Gostkowski
2013,2013-10-20,7,7,29.265,NWE,@,NYJ,L 27-30,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,28%,True,Stephen Gostkowski
2013,2013-10-27,8,8,29.272,NWE,,MIA,W 27-17,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,37%,False,Stephen Gostkowski
