Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2007,2007-09-16,2,2,24.016,NOR,TAM,False,5,3,46,15.33,0,60.0%,9.20,0,0,,0,0,0,,0,0,0,,,,,,3,50,16.67,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,14,31,Lance Moore
2007,2007-09-24,3,3,24.024,NOR,TEN,False,10,6,54,9.00,0,60.0%,5.40,0,0,,0,0,0,,0,0,0,,,,,,3,54,18.00,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,14,31,Lance Moore
2007,2007-10-07,4,5,24.037,NOR,CAR,False,4,3,32,10.67,0,75.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,11,5.50,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,13,16,Lance Moore
2007,2007-10-14,5,6,24.044,NOR,SEA,True,4,3,35,11.67,0,75.0%,8.75,1,7,7.00,1,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,28,17,Lance Moore
2007,2007-10-21,6,7,24.051,NOR,ATL,False,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,55,27.50,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,22,16,Lance Moore
2007,2007-10-28,7,8,24.058,NOR,SFO,False,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,25,6.25,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,31,10,Lance Moore
2007,2007-11-04,8,9,24.065,NOR,JAX,False,4,3,26,8.67,1,75.0%,6.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,11,5.50,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,41,24,Lance Moore
2007,2007-11-11,9,10,24.072,NOR,STL,False,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,8,8.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,29,37,Lance Moore
2007,2007-11-18,10,11,24.079,NOR,HOU,True,1,0,0,,0,0.0%,0.00,1,0,0.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,9,9.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,10,23,Lance Moore
2007,2007-11-25,11,12,24.086,NOR,CAR,True,5,3,16,5.33,1,60.0%,3.20,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12,6.00,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,31,6,Lance Moore
2007,2007-12-02,12,13,24.093,NOR,TAM,False,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,5,83,16.60,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,23,27,Lance Moore
2007,2007-12-10,13,14,24.101,NOR,ATL,False,4,2,14,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,0,0.00,0,,0,0,0.0,,,,,,1,1,0,0,0,0,,,,,,,True,True,34,14,Lance Moore
2007,2007-12-16,14,15,24.107,NOR,ARI,True,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,0,0.00,0,,0,0,0.0,,,,,,1,0,0,1,0,0,,,,,,,False,True,31,24,Lance Moore
2007,2007-12-23,15,16,24.114,NOR,PHI,False,5,3,28,9.33,0,60.0%,5.60,0,0,,0,0,0,,0,0,0,,,,,,3,66,22.00,0,1,8,8.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,23,38,Lance Moore
2007,2007-12-30,16,17,24.121,NOR,CHI,False,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,16,8.00,0,,0,0,0.0,,,,,,0,,0,1,0,0,,,,,,,True,False,25,33,Lance Moore
2008,2008-09-07,1,1,25.007,NOR,TAM,False,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,10,10.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,24,20,Lance Moore
2008,2008-09-14,2,2,25.014,NOR,WAS,False,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,,,,1,36,36.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,24,29,Lance Moore
2008,2008-09-21,3,3,25.021,NOR,DEN,False,8,7,78,11.14,0,87.5%,9.75,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,32,34,Lance Moore
2008,2008-09-28,4,4,25.028,NOR,SFO,True,10,7,101,14.43,2,70.0%,10.10,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,31,17,Lance Moore
2008,2008-10-06,5,5,25.036,NOR,MIN,True,9,5,31,6.20,0,55.6%,3.44,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,27,30,Lance Moore
2008,2008-10-12,6,6,25.042,NOR,OAK,True,8,7,97,13.86,0,87.5%,12.13,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,34,3,Lance Moore
2008,2008-10-19,7,7,25.049,NOR,CAR,True,6,3,10,3.33,0,50.0%,1.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,11,11.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,7,30,Lance Moore
2008,2008-10-26,8,8,25.056,NOR,SDG,True,10,6,90,15.00,1,60.0%,9.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,37,32,Lance Moore
2008,2008-11-09,9,10,25.070,NOR,ATL,False,13,6,76,12.67,1,46.2%,5.85,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,20,34,Lance Moore
2008,2008-11-16,10,11,25.077,NOR,KAN,True,9,8,102,12.75,1,88.9%,11.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,30,20,Lance Moore
2008,2008-11-24,11,12,25.085,NOR,GNB,False,7,5,115,23.00,2,71.4%,16.43,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,1,11,11.00,0,,2,12,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,51,29,Lance Moore
2008,2008-11-30,12,13,25.091,NOR,TAM,False,6,2,15,7.50,1,33.3%,2.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,20,23,Lance Moore
2008,2008-12-07,13,14,25.098,NOR,ATL,False,6,3,35,11.67,0,50.0%,5.83,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,29,25,Lance Moore
2008,2008-12-11,14,15,25.102,NOR,CHI,False,8,5,27,5.40,0,62.5%,3.38,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,2,2.00,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,24,27,Lance Moore
2008,2008-12-21,15,16,25.112,NOR,DET,False,5,4,36,9.00,0,80.0%,7.20,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,2,6,3.00,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,True,True,42,7,Lance Moore
2008,2008-12-28,16,17,25.119,NOR,CAR,False,11,8,91,11.38,2,72.7%,8.27,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,31,33,Lance Moore
2009,2009-09-13,1,1,26.013,NOR,DET,False,3,2,38,19.00,0,66.7%,12.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,45,27,Lance Moore
2009,2009-09-20,2,2,26.020,NOR,PHI,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,48,22,Lance Moore
2009,2009-09-27,3,3,,NOR,BUF,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,27,7,Lance Moore
2009,2009-10-04,4,4,26.034,NOR,NYJ,False,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,24,10,Lance Moore
2009,2009-10-18,5,6,26.048,NOR,NYG,False,7,6,78,13.00,1,85.7%,11.14,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,48,27,Lance Moore
2009,2009-10-25,6,7,26.055,NOR,MIA,False,4,2,18,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,46,34,Lance Moore
2009,2009-11-02,7,8,26.063,NOR,ATL,False,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,35,27,Lance Moore
2009,2009-11-08,8,9,,NOR,CAR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,30,20,Lance Moore
2009,2009-11-15,9,10,,NOR,STL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,28,23,Lance Moore
2009,2009-11-22,10,11,,NOR,TAM,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,38,7,Lance Moore
2009,2009-11-30,11,12,,NOR,NWE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,38,17,Lance Moore
2009,2009-12-06,12,13,,NOR,WAS,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,33,30,Lance Moore
2009,2009-12-13,13,14,,NOR,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,26,23,Lance Moore
2009,2009-12-19,14,15,26.110,NOR,DAL,False,2,1,7,7.00,1,50.0%,3.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,0,0.00,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,17,24,Lance Moore
2009,2009-12-27,15,16,,NOR,TAM,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,17,20,Lance Moore
2009,2010-01-03,16,17,,NOR,CAR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,10,23,Lance Moore
2010,2010-09-09,1,1,27.009,NOR,MIN,False,4,3,23,7.67,0,75.0%,5.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,14,9,Lance Moore
2010,2010-09-20,2,2,27.020,NOR,SFO,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,25,22,Lance Moore
2010,2010-09-26,3,3,27.026,NOR,ATL,False,7,6,149,24.83,2,85.7%,21.29,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,72,72.00,0,,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,24,27,Lance Moore
2010,2010-10-03,4,4,27.033,NOR,CAR,False,8,5,37,7.40,1,62.5%,4.63,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,12,4.00,0,,1,6,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,True,16,14,Lance Moore
2010,2010-10-10,5,5,27.040,NOR,ARI,False,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,20,30,Lance Moore
2010,2010-10-17,6,6,27.047,NOR,TAM,False,4,2,57,28.50,1,50.0%,14.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,-3,-3.00,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,31,6,Lance Moore
2010,2010-10-24,7,7,27.054,NOR,CLE,False,8,5,43,8.60,0,62.5%,5.38,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,-1,-0.50,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,False,False,17,30,Lance Moore
2010,2010-10-31,8,8,27.061,NOR,PIT,False,8,7,54,7.71,1,87.5%,6.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,17,17.00,0,,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,20,10,Lance Moore
2010,2010-11-07,9,9,27.068,NOR,CAR,False,8,6,77,12.83,0,75.0%,9.63,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,15,5.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,34,3,Lance Moore
2010,2010-11-21,10,11,27.082,NOR,SEA,False,4,3,43,14.33,0,75.0%,10.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,34,19,Lance Moore
2010,2010-11-25,11,12,27.086,NOR,DAL,False,7,5,39,7.80,1,71.4%,5.57,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,30,27,Lance Moore
2010,2010-12-05,12,13,27.096,NOR,CIN,True,7,6,36,6.00,0,85.7%,5.14,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,34,30,Lance Moore
2010,2010-12-12,13,14,27.103,NOR,STL,False,6,5,70,14.00,1,83.3%,11.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,31,13,Lance Moore
2010,2010-12-19,14,15,27.110,NOR,BAL,False,3,2,26,13.00,1,66.7%,8.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,24,30,Lance Moore
2010,2010-12-27,15,16,27.118,NOR,ATL,False,7,4,48,12.00,0,57.1%,6.86,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,17,14,Lance Moore
2010,2011-01-02,16,17,27.124,NOR,TAM,False,9,6,53,8.83,0,66.7%,5.89,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,13,23,Lance Moore
2011,2011-09-08,1,1,,NOR,GNB,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,34,42,Lance Moore
2011,2011-09-18,2,2,28.018,NOR,CHI,True,4,1,6,6.00,0,25.0%,1.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,30,13,Lance Moore
2011,2011-09-25,3,3,28.025,NOR,HOU,False,9,9,88,9.78,1,100.0%,9.78,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,1,10,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,40,33,Lance Moore
2011,2011-10-02,4,4,28.032,NOR,JAX,True,6,5,50,10.00,0,83.3%,8.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,23,10,Lance Moore
