Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2007,2007-12-16,14,15,23.211,JAX,PIT,True,3,2,38,19.00,0,66.7%,12.67,,0,0,0,,0,0,0,0,,,,,,,True,True,29,22,Marcedes Lewis
2007,2007-12-23,15,16,23.218,JAX,OAK,True,3,0,0,,0,0.0%,0.00,,0,0,0,,0,0,0,0,,,,,,,False,True,49,11,Marcedes Lewis
2007,2007-12-30,16,17,23.225,JAX,HOU,True,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,True,False,28,42,Marcedes Lewis
2008,2008-09-07,1,1,24.111,JAX,TEN,True,4,3,29,9.67,0,75.0%,7.25,,0,0,0,,0,0,0,0,,,,,,,True,False,10,17,Marcedes Lewis
2008,2008-09-14,2,2,24.118,JAX,BUF,True,2,1,13,13.00,0,50.0%,6.50,,0,0,0,,0,0,0,0,,,,,,,False,False,16,20,Marcedes Lewis
2008,2008-09-21,3,3,24.125,JAX,IND,True,4,2,21,10.50,0,50.0%,5.25,,0,0,0,,0,0,0,0,,,,,,,True,True,23,21,Marcedes Lewis
2008,2008-09-28,4,4,24.132,JAX,HOU,True,4,0,0,,0,0.0%,0.00,,0,0,0,,,0,0,0,,,,,,,False,True,30,27,Marcedes Lewis
2008,2008-10-05,5,5,24.139,JAX,PIT,True,4,1,24,24.00,1,25.0%,6.00,,1,6,0,,0,0,0,0,,,,,,,False,False,21,26,Marcedes Lewis
2008,2008-10-12,6,6,24.146,JAX,DEN,True,5,3,64,21.33,1,60.0%,12.80,,1,6,0,,0,0,0,0,,,,,,,True,True,24,17,Marcedes Lewis
2008,2008-10-26,7,8,24.160,JAX,CLE,True,6,3,34,11.33,0,50.0%,5.67,,0,0,0,,0,0,0,0,,,,,,,False,False,17,23,Marcedes Lewis
2008,2008-11-02,8,9,24.167,JAX,CIN,True,6,4,38,9.50,0,66.7%,6.33,,0,0,0,,0,0,0,0,,,,,,,True,False,19,21,Marcedes Lewis
2008,2008-11-09,9,10,24.174,JAX,DET,True,8,4,64,16.00,0,50.0%,8.00,,0,0,0,,0,0,0,0,,,,,,,True,True,38,14,Marcedes Lewis
2008,2008-11-16,10,11,24.181,JAX,TEN,True,2,1,19,19.00,0,50.0%,9.50,,0,0,0,,0,0,0,0,,,,,,,False,False,14,24,Marcedes Lewis
2008,2008-11-23,11,12,24.188,JAX,MIN,True,7,4,41,10.25,0,57.1%,5.86,,0,0,0,,0,0,0,0,,,,,,,False,False,12,30,Marcedes Lewis
2008,2008-12-01,12,13,24.196,JAX,HOU,True,2,2,37,18.50,0,100.0%,18.50,,0,0,0,,0,0,0,0,,,,,,,True,False,17,30,Marcedes Lewis
2008,2008-12-07,13,14,24.202,JAX,CHI,True,9,4,43,10.75,0,44.4%,4.78,,0,0,0,,0,0,0,0,,,,,,,True,False,10,23,Marcedes Lewis
2008,2008-12-14,14,15,24.209,JAX,GNB,True,3,2,7,3.50,0,66.7%,2.33,,0,0,0,,0,0,0,0,,,,,,,False,True,20,16,Marcedes Lewis
2008,2008-12-18,15,16,24.213,JAX,IND,True,7,6,55,9.17,0,85.7%,7.86,,0,0,0,,0,0,0,0,,,,,,,False,False,24,31,Marcedes Lewis
2008,2008-12-28,16,17,24.223,JAX,BAL,True,1,1,0,0.00,0,100.0%,0.00,,0,0,0,,0,0,0,0,,,,,,,True,False,7,27,Marcedes Lewis
2009,2009-09-13,1,1,25.117,JAX,IND,True,6,3,23,7.67,0,50.0%,3.83,,0,0,0,,0,0,0,0,,,,,,,True,False,12,14,Marcedes Lewis
2009,2009-09-20,2,2,25.124,JAX,ARI,True,5,3,62,20.67,1,60.0%,12.40,,1,6,0,,0,0,0,0,,,,,,,False,False,17,31,Marcedes Lewis
2009,2009-09-27,3,3,25.131,JAX,HOU,True,2,1,18,18.00,0,50.0%,9.00,,0,0,0,,0,0,0,0,,,,,,,True,True,31,24,Marcedes Lewis
2009,2009-10-04,4,4,25.138,JAX,TEN,True,5,4,76,19.00,1,80.0%,15.20,,1,6,0,,0,0,0,0,,,,,,,False,True,37,17,Marcedes Lewis
2009,2009-10-11,5,5,25.145,JAX,SEA,True,8,3,13,4.33,0,37.5%,1.63,,0,0,0,,0,0,0,0,,,,,,,True,False,0,41,Marcedes Lewis
2009,2009-10-18,6,6,25.152,JAX,STL,True,3,1,5,5.00,0,33.3%,1.67,,0,0,0,,0,0,0,0,,,,,,,False,True,23,20,Marcedes Lewis
2009,2009-11-01,7,8,25.166,JAX,TEN,True,1,1,20,20.00,0,100.0%,20.00,,0,0,1,0,0,0,0,0,,,,,,,True,False,13,30,Marcedes Lewis
2009,2009-11-08,8,9,25.173,JAX,KAN,True,2,1,3,3.00,0,50.0%,1.50,,0,0,0,,0,0,0,0,,,,,,,False,True,24,21,Marcedes Lewis
2009,2009-11-15,9,10,25.180,JAX,NYJ,True,4,2,58,29.00,0,50.0%,14.50,,0,0,0,,0,0,0,0,,,,,,,True,True,24,22,Marcedes Lewis
2009,2009-11-22,10,11,25.187,JAX,BUF,True,4,3,70,23.33,0,75.0%,17.50,,0,0,0,,0,0,0,0,,,,,,,False,True,18,15,Marcedes Lewis
2009,2009-11-29,11,12,25.194,JAX,SFO,True,5,3,40,13.33,0,60.0%,8.00,,0,0,0,,0,0,0,0,,,,,,,True,False,3,20,Marcedes Lewis
2009,2009-12-06,12,13,25.201,JAX,HOU,True,1,1,47,47.00,0,100.0%,47.00,,0,0,0,,0,0,0,0,,,,,,,False,True,23,18,Marcedes Lewis
2009,2009-12-13,13,14,25.208,JAX,MIA,True,5,2,30,15.00,0,40.0%,6.00,,0,0,0,,0,0,0,0,,,,,,,False,False,10,14,Marcedes Lewis
2009,2009-12-17,14,15,25.212,JAX,IND,True,7,4,53,13.25,0,57.1%,7.57,,0,0,0,,0,0,0,0,,,,,,,False,False,31,35,Marcedes Lewis
2009,2009-12-27,15,16,25.222,JAX,NWE,True,1,0,0,,0,0.0%,0.00,,0,0,0,,,0,0,0,,,,,,,True,False,7,35,Marcedes Lewis
2009,2010-01-03,16,17,,JAX,CLE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,17,23,Marcedes Lewis
2010,2010-09-12,1,1,26.116,JAX,DEN,True,2,2,31,15.50,2,100.0%,15.50,,2,12,0,,0,0,0,0,,,,,,,False,True,24,17,Marcedes Lewis
2010,2010-09-19,2,2,26.123,JAX,SDG,True,9,5,70,14.00,0,55.6%,7.78,,0,0,0,,0,0,0,0,,,,,,,True,False,13,38,Marcedes Lewis
2010,2010-09-26,3,3,26.130,JAX,PHI,True,5,3,15,5.00,0,60.0%,3.00,,0,0,0,,0,0,0,0,,,,,,,False,False,3,28,Marcedes Lewis
2010,2010-10-03,4,4,26.137,JAX,IND,True,2,2,22,11.00,1,100.0%,11.00,,1,6,0,,0,0,0,0,,,,,,,False,True,31,28,Marcedes Lewis
2010,2010-10-10,5,5,26.144,JAX,BUF,True,5,4,54,13.50,2,80.0%,10.80,,2,12,0,,0,0,0,0,,,,,,,True,True,36,26,Marcedes Lewis
2010,2010-10-18,6,6,26.152,JAX,TEN,True,6,4,39,9.75,0,66.7%,6.50,,0,0,1,1,0,0,0,0,,,,,,,False,False,3,30,Marcedes Lewis
2010,2010-10-24,7,7,26.158,JAX,KAN,True,9,3,44,14.67,0,33.3%,4.89,,0,0,0,,0,0,0,0,,,,,,,True,False,20,42,Marcedes Lewis
2010,2010-10-31,8,8,26.165,JAX,DAL,True,3,2,51,25.50,2,66.7%,17.00,,2,12,0,,0,0,0,0,,,,,,,True,True,35,17,Marcedes Lewis
2010,2010-11-14,9,10,26.179,JAX,HOU,True,6,5,53,10.60,0,83.3%,8.83,,0,0,0,,0,0,0,0,,,,,,,False,True,31,24,Marcedes Lewis
2010,2010-11-21,10,11,26.186,JAX,CLE,True,8,5,66,13.20,1,62.5%,8.25,,1,6,0,,0,0,0,0,,,,,,,False,True,24,20,Marcedes Lewis
2010,2010-11-28,11,12,26.193,JAX,NYG,True,5,3,36,12.00,0,60.0%,7.20,,0,0,0,,0,0,0,0,,,,,,,True,False,20,24,Marcedes Lewis
2010,2010-12-05,12,13,26.200,JAX,TEN,True,4,3,36,12.00,0,75.0%,9.00,,0,0,0,,0,0,0,0,,,,,,,True,True,17,6,Marcedes Lewis
2010,2010-12-12,13,14,26.207,JAX,OAK,True,4,4,57,14.25,1,100.0%,14.25,,1,6,0,,0,0,0,0,,,,,,,False,True,38,31,Marcedes Lewis
2010,2010-12-19,14,15,26.214,JAX,IND,True,7,6,63,10.50,0,85.7%,9.00,,0,0,0,,0,0,0,0,,,,,,,True,False,24,34,Marcedes Lewis
2010,2010-12-26,15,16,26.221,JAX,WAS,True,7,3,37,12.33,0,42.9%,5.29,,0,0,0,,0,0,0,0,,,,,,,False,False,17,20,Marcedes Lewis
2010,2011-01-02,16,17,26.228,JAX,HOU,True,7,4,26,6.50,1,57.1%,3.71,,1,6,1,1,0,0,0,0,,,,,,,True,False,17,34,Marcedes Lewis
2011,2011-09-11,1,1,27.115,JAX,TEN,True,3,2,28,14.00,0,66.7%,9.33,,0,0,0,,0,0,0,0,,,,,,,False,True,16,14,Marcedes Lewis
2011,2011-09-18,2,2,,JAX,NYJ,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,3,32,Marcedes Lewis
2011,2011-09-25,3,3,27.129,JAX,CAR,True,2,2,15,7.50,0,100.0%,7.50,,0,0,0,,0,1,0,0,,,,,,,True,False,10,16,Marcedes Lewis
2011,2011-10-02,4,4,27.136,JAX,NOR,True,7,3,38,12.67,0,42.9%,5.43,,0,0,0,,0,0,0,0,,,,,,,False,False,10,23,Marcedes Lewis
2011,2011-10-09,5,5,27.143,JAX,CIN,True,4,1,6,6.00,0,25.0%,1.50,,0,0,0,,0,0,0,0,,,,,,,False,False,20,30,Marcedes Lewis
2011,2011-10-16,6,6,27.150,JAX,PIT,True,8,2,29,14.50,0,25.0%,3.63,,0,0,0,,0,0,0,0,,,,,,,True,False,13,17,Marcedes Lewis
2011,2011-10-24,7,7,27.158,JAX,BAL,True,3,1,13,13.00,0,33.3%,4.33,,0,0,0,,0,0,0,0,,,,,,,False,True,12,7,Marcedes Lewis
2011,2011-10-30,8,8,27.164,JAX,HOU,True,9,4,45,11.25,0,44.4%,5.00,,0,0,0,,0,1,0,0,,,,,,,True,False,14,24,Marcedes Lewis
2011,2011-11-13,9,10,27.178,JAX,IND,True,3,1,-4,-4.00,0,33.3%,-1.33,,0,0,0,,0,0,0,0,,,,,,,True,True,17,3,Marcedes Lewis
2011,2011-11-20,10,11,27.185,JAX,CLE,True,11,7,64,9.14,0,63.6%,5.82,,0,0,0,,0,0,0,0,,,,,,,True,False,10,14,Marcedes Lewis
2011,2011-11-27,11,12,27.192,JAX,HOU,True,12,4,47,11.75,0,33.3%,3.92,,0,0,0,,0,0,0,0,,,,,,,False,False,13,20,Marcedes Lewis
2011,2011-12-05,12,13,27.200,JAX,SDG,True,4,3,27,9.00,0,75.0%,6.75,,0,0,0,,0,0,0,0,,,,,,,False,False,14,38,Marcedes Lewis
2011,2011-12-11,13,14,27.206,JAX,TAM,True,7,2,77,38.50,0,28.6%,11.00,,0,0,0,,0,0,0,0,,,,,,,False,True,41,14,Marcedes Lewis
2011,2011-12-15,14,15,27.210,JAX,ATL,True,5,3,30,10.00,0,60.0%,6.00,,0,0,0,,0,0,0,0,,,,,,,True,False,14,41,Marcedes Lewis
2011,2011-12-24,15,16,27.219,JAX,TEN,True,3,1,12,12.00,0,33.3%,4.00,,0,0,0,,0,0,0,0,,,,,,,True,False,17,23,Marcedes Lewis
2011,2012-01-01,16,17,27.227,JAX,IND,True,4,3,33,11.00,0,75.0%,8.25,,0,0,0,,0,0,0,0,,,,,,,False,True,19,13,Marcedes Lewis
2012,2012-09-09,1,1,28.113,JAX,MIN,True,5,5,52,10.40,1,100.0%,10.40,,1,6,0,0,0,0,0,0,53,67%,0,0%,4,12%,True,False,23,26,Marcedes Lewis
2012,2012-09-16,2,2,28.120,JAX,HOU,True,,,,,,0.0%,,,0,0,0,,,0,0,0,38,88%,0,0%,1,3%,False,False,7,27,Marcedes Lewis
2012,2012-09-23,3,3,28.127,JAX,IND,True,1,1,8,8.00,0,100.0%,8.00,,0,0,0,0,0,0,0,0,54,90%,0,0%,4,13%,True,True,22,17,Marcedes Lewis
2012,2012-09-30,4,4,28.134,JAX,CIN,False,3,3,32,10.67,1,100.0%,10.67,,1,6,0,0,0,0,0,0,34,57%,0,0%,2,7%,False,False,10,27,Marcedes Lewis
2012,2012-10-07,5,5,28.141,JAX,CHI,True,7,5,24,4.80,0,71.4%,3.43,,0,0,0,0,0,0,0,0,48,83%,0,0%,1,4%,False,False,3,41,Marcedes Lewis
2012,2012-10-21,6,7,28.155,JAX,OAK,True,3,3,20,6.67,0,100.0%,6.67,,0,0,0,0,0,0,0,0,52,81%,0,0%,6,15%,True,False,23,26,Marcedes Lewis
2012,2012-10-28,7,8,28.162,JAX,GNB,True,7,2,21,10.50,0,28.6%,3.00,,0,0,0,0,0,0,0,0,65,84%,0,0%,3,10%,True,False,15,24,Marcedes Lewis
2012,2012-11-04,8,9,28.169,JAX,DET,True,6,4,41,10.25,0,66.7%,6.83,,0,0,0,0,0,0,0,0,47,76%,0,0%,0,0%,False,False,14,31,Marcedes Lewis
2012,2012-11-08,9,10,28.173,JAX,IND,True,4,3,36,12.00,0,75.0%,9.00,,0,0,0,0,0,0,0,0,41,59%,0,0%,3,12%,False,False,10,27,Marcedes Lewis
2012,2012-11-18,10,11,28.183,JAX,HOU,True,4,3,40,13.33,2,75.0%,10.00,,2,12,0,0,0,0,0,0,57,86%,0,0%,7,17%,True,False,37,43,Marcedes Lewis
2012,2012-11-25,11,12,28.190,JAX,TEN,True,6,4,56,14.00,0,66.7%,9.33,,0,0,0,0,0,0,0,0,57,89%,0,0%,2,7%,False,True,24,19,Marcedes Lewis
2012,2012-12-02,12,13,28.197,JAX,BUF,True,7,4,68,17.00,0,57.1%,9.71,,0,0,0,0,0,1,0,0,57,79%,0,0%,0,0%,True,False,18,34,Marcedes Lewis
2012,2012-12-09,13,14,28.204,JAX,NYJ,True,4,1,4,4.00,0,25.0%,1.00,,0,0,0,0,0,0,0,0,53,74%,0,0%,0,0%,False,False,10,17,Marcedes Lewis
2012,2012-12-16,14,15,28.211,JAX,MIA,True,4,3,8,2.67,0,75.0%,2.00,,0,0,0,0,0,0,0,0,48,76%,0,0%,0,0%,True,False,3,24,Marcedes Lewis
2012,2012-12-23,15,16,28.218,JAX,NWE,True,6,4,27,6.75,0,66.7%,4.50,,0,0,0,0,0,0,0,0,64,81%,0,0%,0,0%,False,False,16,23,Marcedes Lewis
2012,2012-12-30,16,17,28.225,JAX,TEN,True,10,7,103,14.71,0,70.0%,10.30,,0,0,0,0,0,0,0,0,64,86%,0,0%,0,0%,True,False,20,38,Marcedes Lewis
2013,2013-09-08,1,1,,JAX,KAN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,2,28,Marcedes Lewis
2013,2013-09-15,2,2,,JAX,OAK,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,9,19,Marcedes Lewis
2013,2013-09-22,3,3,,JAX,SEA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,17,45,Marcedes Lewis
2013,2013-09-29,4,4,29.133,JAX,IND,True,,,,,,0.0%,,,0,0,0,,,0,0,0,2,4%,0,0%,0,0%,False,False,3,37,Marcedes Lewis
2013,2013-10-06,5,5,,JAX,STL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,20,34,Marcedes Lewis
2013,2013-10-13,6,6,,JAX,DEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,19,35,Marcedes Lewis
2013,2013-10-20,7,7,29.154,JAX,SDG,True,3,1,31,31.00,0,33.3%,10.33,,0,0,0,0,0,0,0,0,50,82%,0,0%,0,0%,False,False,6,24,Marcedes Lewis
2013,2013-10-27,8,8,29.161,JAX,SFO,True,3,1,6,6.00,0,33.3%,2.00,,0,0,1,1,0,0,0,0,65,89%,0,0%,0,0%,False,False,10,42,Marcedes Lewis
2013,2013-11-10,9,10,29.175,JAX,TEN,True,6,3,39,13.00,0,50.0%,6.50,,0,0,0,0,0,0,0,0,53,88%,0,0%,0,0%,True,True,29,27,Marcedes Lewis
2013,2013-11-17,10,11,29.182,JAX,ARI,True,7,3,23,7.67,0,42.9%,3.29,,0,0,0,0,0,0,0,0,49,80%,0,0%,0,0%,False,False,14,27,Marcedes Lewis
2013,2013-11-24,11,12,29.189,JAX,HOU,True,1,1,18,18.00,0,100.0%,18.00,,0,0,0,0,0,0,0,0,62,91%,0,0%,0,0%,True,True,13,6,Marcedes Lewis
2013,2013-12-01,12,13,29.196,JAX,CLE,True,4,3,26,8.67,1,75.0%,6.50,,1,6,0,0,0,0,0,0,64,85%,0,0%,0,0%,True,True,32,28,Marcedes Lewis
2013,2013-12-05,13,14,29.200,JAX,HOU,True,4,2,42,21.00,1,50.0%,10.50,,1,6,0,0,0,0,0,0,58,91%,0,0%,0,0%,False,True,27,20,Marcedes Lewis
2013,2013-12-15,14,15,29.210,JAX,BUF,True,7,4,54,13.50,1,57.1%,7.71,,1,6,0,0,0,0,0,0,62,83%,0,0%,0,0%,False,False,20,27,Marcedes Lewis
2013,2013-12-22,15,16,29.217,JAX,TEN,True,6,4,50,12.50,1,66.7%,8.33,,1,6,0,0,0,0,0,0,57,98%,0,0%,0,0%,False,False,16,20,Marcedes Lewis
2013,2013-12-29,16,17,29.224,JAX,IND,True,6,3,70,23.33,0,50.0%,11.67,,0,0,0,0,0,0,0,0,60,86%,0,0%,0,0%,True,False,10,30,Marcedes Lewis
2014,2014-09-07,1,1,30.111,JAX,PHI,True,9,6,35,5.83,0,66.7%,3.89,,0,0,0,0,0,0,0,0,69,95%,0,0%,0,0%,True,False,17,34,Marcedes Lewis
2014,2014-09-14,2,2,30.118,JAX,WAS,True,3,2,71,35.50,1,66.7%,23.67,,1,6,0,0,0,0,0,0,23,46%,0,0%,0,0%,True,False,10,41,Marcedes Lewis
2014,2014-09-21,3,3,,JAX,IND,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,17,44,Marcedes Lewis
2014,2014-09-28,4,4,,JAX,SDG,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,14,33,Marcedes Lewis
2014,2014-10-05,5,5,,JAX,PIT,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,9,17,Marcedes Lewis
2014,2014-10-12,6,6,,JAX,TEN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,14,16,Marcedes Lewis
2014,2014-10-19,7,7,,JAX,CLE,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,24,6,Marcedes Lewis
