Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-09-22,3.0,3.0,26.038,DET,PHI,W 27-24,False,1,44,44.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,10%,0,0%,11,37%,True,J.D. McKissic,True,27,24
2019.0,2019-09-29,4.0,4.0,26.045,DET,KAN,L 30-34,True,4,30,7.50,0,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,36%,0,0%,13,41%,False,J.D. McKissic,False,30,34
2019.0,2019-10-14,5.0,6.0,26.06,DET,GNB,L 22-23,False,3,4,1.33,0,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,24%,0,0%,8,26%,True,J.D. McKissic,False,22,23
2019.0,2019-10-20,6.0,7.0,26.066,DET,MIN,L 30-42,False,5,29,5.80,0,3,2,31,15.50,0,66.7%,10.33,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,24%,0,0%,9,30%,False,J.D. McKissic,False,30,42
2019.0,2019-10-27,7.0,8.0,26.073,DET,NYG,W 31-26,False,1,-1,-1.00,0,3,3,2,0.67,0,100.0%,0.67,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,26%,0,0%,4,15%,False,J.D. McKissic,True,31,26
2019.0,2019-11-03,8.0,9.0,26.08,DET,OAK,L 24-31,True,4,32,8.00,0,4,3,40,13.33,1,75.0%,10.00,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,26,38%,0,0%,0,0%,True,J.D. McKissic,False,24,31
2019.0,2019-11-10,9.0,10.0,26.087,DET,CHI,L 13-20,True,10,36,3.60,0,7,6,19,3.17,0,85.7%,2.71,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,70%,0,0%,2,7%,True,J.D. McKissic,False,13,20
2019.0,2019-11-17,10.0,11.0,26.094,DET,DAL,L 27-35,False,3,13,4.33,0,4,3,40,13.33,0,75.0%,10.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,14,23%,0,0%,0,0%,False,J.D. McKissic,False,27,35
2019.0,2019-11-24,11.0,12.0,26.101,DET,WAS,L 16-19,False,1,3,3.00,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,15%,0,0%,6,20%,True,J.D. McKissic,False,16,19
2019.0,2019-11-28,12.0,13.0,26.105,DET,CHI,L 20-24,False,2,9,4.50,0,3,3,15,5.00,0,100.0%,5.00,1,17,17.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,23%,0,0%,8,30%,False,J.D. McKissic,False,20,24
2019.0,2019-12-08,13.0,14.0,26.115,DET,MIN,L 7-20,False,1,2,2.00,0,4,4,16,4.00,0,100.0%,4.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,23%,0,0%,5,19%,True,J.D. McKissic,False,7,20
2019.0,2019-12-15,14.0,15.0,26.122,DET,TAM,L 17-38,False,1,2,2.00,0,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,19%,0,0%,4,13%,False,J.D. McKissic,False,17,38
2019.0,2019-12-22,15.0,16.0,26.129,DET,DEN,L 17-27,False,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,7,14%,0,0%,0,0%,True,J.D. McKissic,False,17,27
2019.0,2019-12-29,16.0,17.0,26.136,DET,GNB,L 20-23,False,0,0,,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,13%,0,0%,0,0%,False,J.D. McKissic,False,20,23
2020.0,2020-09-13,1.0,1.0,27.029,WAS,PHI,W 27-17,True,3,-2,-0.67,0,5,1,1,1.00,0,20.0%,0.20,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,44%,0,0%,0,0%,False,J.D. McKissic,True,27,17
2020.0,2020-09-20,2.0,2.0,27.036,WAS,ARI,L 15-30,False,8,53,6.63,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,44%,0,0%,7,25%,True,J.D. McKissic,False,15,30
2020.0,2020-09-27,3.0,3.0,27.043,WAS,CLE,L 20-34,True,5,15,3.00,0,4,3,37,12.33,0,75.0%,9.25,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,53%,0,0%,7,25%,True,J.D. McKissic,False,20,34
2020.0,2020-10-04,4.0,4.0,27.05,WAS,BAL,L 17-31,True,2,6,3.00,0,8,7,40,5.71,0,87.5%,5.00,0,0,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,39,55%,0,0%,6,22%,False,J.D. McKissic,False,17,31
2020.0,2020-10-11,5.0,5.0,27.057,WAS,LAR,L 10-30,False,1,3,3.00,0,8,6,46,7.67,0,75.0%,5.75,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,50%,0,0%,6,19%,False,J.D. McKissic,False,10,30
