Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-11-20,10,11,25.008,KAN,,TAM,L 17-19,False,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,7,30%,False,Cairo Santos
2016,2016-11-27,11,12,25.015,KAN,@,DEN,W 30-27,False,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0%,0,0%,11,27%,True,Cairo Santos
2016,2016-12-04,12,13,25.022,KAN,@,ATL,W 29-28,False,0,0,,0,0,0,,0,0,,,3,4,75.0,,,,0,3,0.0,0,0,0,,,0,0%,0,0%,9,38%,True,Cairo Santos
2016,2016-12-08,13,14,25.026,KAN,,OAK,W 21-13,False,0,0,,0,0,0,,0,0,,,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,0%,0,0%,7,24%,False,Cairo Santos
2016,2016-12-18,14,15,25.036,KAN,,TEN,L 17-19,False,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,7,29%,False,Cairo Santos
2016,2016-12-25,15,16,25.043,KAN,,DEN,W 33-10,False,0,0,,0,0,0,,0,0,,,3,4,75.0,2,3,66.7,0,9,0.0,1,0,1,0,0,0,0%,0,0%,14,45%,False,Cairo Santos
2016,2017-01-01,16,17,25.050,KAN,@,SDG,W 37-27,False,0,0,,0,0,0,,0,0,,,4,4,100.0,3,3,100.0,0,13,0.0,0,0,0,,,0,0%,0,0%,14,50%,True,Cairo Santos
2017,2017-09-07,1,1,25.299,KAN,@,NWE,W 42-27,False,0,0,,0,0,0,,0,0,,,6,6,100.0,,,,0,6,0.0,0,0,0,,,0,0%,0,0%,13,34%,True,Cairo Santos
2017,2017-09-17,2,2,25.309,KAN,,PHI,W 27-20,False,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,11,37%,False,Cairo Santos
2017,2017-09-24,3,3,25.316,KAN,@,LAC,W 24-10,False,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,10,38%,True,Cairo Santos
2017,2017-11-26,11,12,26.014,CHI,@,PHI,L 3-31,False,0,0,,0,0,0,,0,0,,,,,,1,2,50.0,0,3,0.0,0,0,0,,,0,0%,0,0%,4,17%,True,Cairo Santos
2017,2017-12-03,12,13,26.021,CHI,,SFO,L 14-15,False,0,0,,0,0,0,,0,0,,,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0%,0,0%,2,9%,False,Cairo Santos
