Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2012,2012-12-22,15,16,23.318,ATL,@,DET,W 31-18,True,11,7,71,10.14,1,63.6%,6.45,1,-7,-7.00,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,46,82%,0,0%,0,0%,True,Julio Jones
2012,2012-12-30,16,17,23.326,ATL,,TAM,L 17-22,True,6,3,56,18.67,0,50.0%,9.33,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,61,97%,0,0%,0,0%,False,Julio Jones
2013,2013-09-08,1,1,24.212,ATL,@,NOR,L 17-23,True,9,7,76,10.86,1,77.8%,8.44,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,55,98%,0,0%,0,0%,True,Julio Jones
2013,2013-09-15,2,2,24.219,ATL,,STL,W 31-24,True,14,11,182,16.55,1,78.6%,13.00,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,52,81%,0,0%,1,3%,False,Julio Jones
2013,2013-09-22,3,3,24.226,ATL,@,MIA,L 23-27,True,12,9,115,12.78,0,75.0%,9.58,1,7,7.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,52,73%,0,0%,0,0%,True,Julio Jones
2013,2013-09-29,4,4,24.233,ATL,,NWE,L 23-30,True,13,6,108,18.00,0,46.2%,8.31,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,66,87%,0,0%,0,0%,False,Julio Jones
2013,2013-10-07,5,5,24.241,ATL,,NYJ,L 28-30,True,11,8,99,12.38,0,72.7%,9.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,70,92%,0,0%,0,0%,False,Julio Jones
2013,2013-10-20,6,7,,ATL,,TAM,W 31-23,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Julio Jones
2013,2013-10-27,7,8,,ATL,@,ARI,L 13-27,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Julio Jones
2013,2013-11-03,8,9,,ATL,@,CAR,L 10-34,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Julio Jones
