Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-10-28,8,8,27.343,JAX,,PHI,L 18-24,False,,,,4,4,100.0,0,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,10,42%,False,Josh Lambo
2018,2018-11-11,9,10,27.357,JAX,@,IND,L 26-29,False,2,3,66.7,2,3,66.7,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,13,45%,True,Josh Lambo
2018,2018-11-18,10,11,27.364,JAX,,PIT,L 16-20,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,30%,False,Josh Lambo
2018,2018-11-25,11,12,28.006,JAX,@,BUF,L 21-24,False,3,3,100.0,,1,0.0,0,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,25%,True,Josh Lambo
2018,2018-12-02,12,13,28.013,JAX,,IND,W 6-0,False,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,5,25%,False,Josh Lambo
2018,2018-12-06,13,14,28.017,JAX,@,TEN,L 9-30,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,3,13%,True,Josh Lambo
2018,2018-12-16,14,15,,JAX,,WAS,L 13-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Josh Lambo
2018,2018-12-23,15,16,,JAX,@,MIA,W 17-7,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Josh Lambo
2018,2018-12-30,16,17,,JAX,@,HOU,L 3-20,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Josh Lambo
2019,2019-09-08,1,1,28.293,JAX,,KAN,L 26-40,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,9,30%,False,Josh Lambo
2019,2019-09-15,2,2,28.300,JAX,@,HOU,L 12-13,False,,,,2,2,100.0,0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,6,24%,True,Josh Lambo
2019,2019-09-19,3,3,28.304,JAX,,TEN,W 20-7,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,9,33%,False,Josh Lambo
2019,2019-09-29,4,4,28.314,JAX,@,DEN,W 26-24,False,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,12,34%,True,Josh Lambo
2019,2019-10-06,5,5,28.321,JAX,@,CAR,L 27-34,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,10,29%,True,Josh Lambo
2019,2019-10-13,6,6,28.328,JAX,,NOR,L 6-13,False,,,,2,2,100.0,0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,5,22%,False,Josh Lambo
2019,2019-10-20,7,7,28.335,JAX,@,CIN,W 27-17,False,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,9,29%,True,Josh Lambo
2019,2019-10-27,8,8,28.342,JAX,,NYJ,W 29-15,False,2,3,66.7,3,3,100.0,0,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,6,23%,False,Josh Lambo
2019,2019-11-03,9,9,28.349,JAX,,HOU,L 3-26,False,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0%,0,0%,2,9%,False,Josh Lambo
2019,2019-11-17,10,11,28.363,JAX,@,IND,L 13-33,False,1,1,100.0,,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,2,8%,True,Josh Lambo
2019,2019-11-24,11,12,29.005,JAX,@,TEN,L 20-42,False,,,,2,2,100.0,0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,4,13%,True,Josh Lambo
2019,2019-12-01,12,13,29.012,JAX,,TAM,L 11-28,False,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,3,13%,False,Josh Lambo
2019,2019-12-08,13,14,29.019,JAX,,LAC,L 10-45,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,2,7%,False,Josh Lambo
2019,2019-12-15,14,15,29.026,JAX,@,OAK,W 20-16,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,4,14%,True,Josh Lambo
