Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-10-29,8,8,25.259,LAC,@,NWE,L 13-21,False,6,1,24,24.00,0,16.7%,4.00,0,0,,0,0,0,0,0,0,0,0,0,46,82%,0,0%,0,0%,True,Tyrell Williams
2017,2017-11-12,9,10,25.273,LAC,@,JAX,L 17-20,True,5,2,49,24.50,0,40.0%,9.80,0,0,,0,0,0,0,0,0,0,0,0,43,62%,0,0%,1,3%,True,Tyrell Williams
2017,2017-11-19,10,11,25.280,LAC,,BUF,W 54-24,True,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,0,0,0,0,0,0,61,82%,0,0%,0,0%,False,Tyrell Williams
2017,2017-11-23,11,12,25.284,LAC,@,DAL,W 28-6,True,3,2,58,29.00,1,66.7%,19.33,0,0,,0,1,6,0,0,0,0,0,0,60,88%,0,0%,1,5%,True,Tyrell Williams
2017,2017-12-03,12,13,25.294,LAC,,CLE,W 19-10,True,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,0,0,0,0,0,0,51,73%,0,0%,0,0%,False,Tyrell Williams
2017,2017-12-10,13,14,25.301,LAC,,WAS,W 30-13,True,4,4,132,33.00,1,100.0%,33.00,0,0,,0,1,6,0,0,0,0,0,0,51,71%,0,0%,0,0%,False,Tyrell Williams
2017,2017-12-16,14,15,25.307,LAC,@,KAN,L 13-30,True,7,3,31,10.33,0,42.9%,4.43,0,0,,0,0,0,0,0,0,0,0,0,53,83%,0,0%,6,24%,True,Tyrell Williams
2017,2017-12-24,15,16,25.315,LAC,@,NYJ,W 14-7,True,6,5,50,10.00,0,83.3%,8.33,0,0,,0,0,0,0,0,0,0,0,0,57,78%,0,0%,0,0%,True,Tyrell Williams
2017,2017-12-31,16,17,25.322,LAC,,OAK,W 30-10,True,4,3,67,22.33,1,75.0%,16.75,0,0,,0,1,6,0,0,0,0,0,0,49,70%,0,0%,0,0%,False,Tyrell Williams
2018,2018-09-09,1,1,26.209,LAC,,KAN,L 28-38,True,5,2,8,4.00,1,40.0%,1.60,0,0,,0,1,6,0,0,0,0,0,0,62,76%,0,0%,0,0%,False,Tyrell Williams
2018,2018-09-16,2,2,26.216,LAC,@,BUF,W 31-20,True,3,3,48,16.00,0,100.0%,16.00,0,0,,0,0,0,1,0,0,1,0,0,45,80%,0,0%,0,0%,True,Tyrell Williams
2018,2018-09-23,3,3,26.223,LAC,@,LAR,L 23-35,True,3,2,22,11.00,0,66.7%,7.33,1,14,14.00,0,0,0,0,0,0,0,0,0,38,73%,0,0%,0,0%,True,Tyrell Williams
2018,2018-09-30,4,4,26.230,LAC,,SFO,W 29-27,True,5,3,48,16.00,0,60.0%,9.60,0,0,,0,0,0,0,0,0,0,0,0,55,81%,0,0%,0,0%,False,Tyrell Williams
2018,2018-10-07,5,5,26.237,LAC,,OAK,W 26-10,True,3,3,66,22.00,0,100.0%,22.00,0,0,,0,0,0,0,0,0,0,0,0,46,72%,0,0%,0,0%,False,Tyrell Williams
2018,2018-10-14,6,6,26.244,LAC,@,CLE,W 38-14,True,4,3,118,39.33,2,75.0%,29.50,1,1,1.00,0,2,12,0,0,0,0,0,0,49,82%,0,0%,0,0%,True,Tyrell Williams
2018,2018-10-21,7,7,26.251,LAC,,TEN,W 20-19,True,4,4,118,29.50,1,100.0%,29.50,0,0,,0,1,6,0,0,0,0,0,0,36,82%,0,0%,0,0%,False,Tyrell Williams
2018,2018-11-04,8,9,26.265,LAC,@,SEA,W 25-17,False,3,2,23,11.50,1,66.7%,7.67,0,0,,0,1,6,0,0,0,0,0,0,47,92%,0,0%,0,0%,True,Tyrell Williams
2018,2018-11-11,9,10,26.272,LAC,@,OAK,W 20-6,False,6,4,46,11.50,0,66.7%,7.67,0,0,,0,0,0,0,0,0,0,0,0,45,80%,0,0%,0,0%,True,Tyrell Williams
2018,2018-11-18,10,11,26.279,LAC,,DEN,L 22-23,True,6,2,22,11.00,0,33.3%,3.67,0,0,,0,0,0,0,0,0,0,0,0,67,87%,0,0%,0,0%,False,Tyrell Williams
2018,2018-11-25,11,12,26.286,LAC,,ARI,W 45-10,False,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,9,13%,0,0%,0,0%,False,Tyrell Williams
2018,2018-12-02,12,13,26.293,LAC,@,PIT,W 33-30,False,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0,0,0,0,0,0,0,50,79%,0,0%,5,17%,True,Tyrell Williams
2018,2018-12-09,13,14,26.300,LAC,,CIN,W 26-21,True,4,3,14,4.67,0,75.0%,3.50,0,0,,0,0,0,0,0,0,0,0,0,48,84%,0,0%,0,0%,False,Tyrell Williams
2018,2018-12-13,14,15,26.304,LAC,@,KAN,W 29-28,False,12,6,71,11.83,0,50.0%,5.92,0,0,,0,0,0,1,0,0,1,0,0,65,88%,0,0%,0,0%,True,Tyrell Williams
2018,2018-12-22,15,16,26.313,LAC,,BAL,L 10-22,False,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,0,0,0,0,0,0,58,92%,0,0%,0,0%,False,Tyrell Williams
2018,2018-12-30,16,17,26.321,LAC,@,DEN,W 23-9,True,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,0,0,0,0,0,0,41,69%,0,0%,0,0%,True,Tyrell Williams
2019,2019-09-09,1,1,27.209,OAK,,DEN,W 24-16,True,7,6,105,17.50,1,85.7%,15.00,0,0,,0,1,6,0,0,0,0,0,0,52,95%,0,0%,1,4%,False,Tyrell Williams
2019,2019-09-15,2,2,27.215,OAK,,KAN,L 10-28,True,7,5,46,9.20,1,71.4%,6.57,0,0,,0,1,6,0,0,0,0,0,0,58,94%,0,0%,0,0%,False,Tyrell Williams
2019,2019-09-22,3,3,27.222,OAK,@,MIN,L 14-34,True,3,3,29,9.67,1,100.0%,9.67,0,0,,0,1,6,0,0,0,0,0,0,57,97%,0,0%,0,0%,True,Tyrell Williams
2019,2019-09-29,4,4,27.229,OAK,@,IND,W 31-24,True,7,3,36,12.00,1,42.9%,5.14,0,0,,0,1,6,0,0,0,0,0,0,59,92%,0,0%,1,3%,True,Tyrell Williams
2019,2019-10-06,5,5,,OAK,,CHI,W 24-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Tyrell Williams
2019,2019-10-20,6,7,,OAK,@,GNB,L 24-42,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Tyrell Williams
2019,2019-10-27,7,8,27.257,OAK,@,HOU,L 24-27,False,6,3,91,30.33,1,50.0%,15.17,0,0,,0,1,6,0,0,0,0,0,0,49,89%,0,0%,0,0%,True,Tyrell Williams
2019,2019-11-03,8,9,27.264,OAK,,DET,W 31-24,False,4,3,48,16.00,0,75.0%,12.00,0,0,,0,0,0,0,0,0,0,0,0,57,81%,0,0%,0,0%,False,Tyrell Williams
2019,2019-11-07,9,10,27.268,OAK,,LAC,W 26-24,True,5,3,25,8.33,0,60.0%,5.00,0,0,,0,0,0,0,0,0,0,0,0,49,84%,0,0%,0,0%,False,Tyrell Williams
2019,2019-11-17,10,11,27.278,OAK,,CIN,W 17-10,True,4,4,82,20.50,0,100.0%,20.50,0,0,,0,0,0,0,0,0,0,0,0,50,74%,0,0%,0,0%,False,Tyrell Williams
2019,2019-11-24,11,12,27.285,OAK,@,NYJ,L 3-34,True,6,2,18,9.00,0,33.3%,3.00,0,0,,0,0,0,0,0,0,0,0,0,44,76%,0,0%,0,0%,True,Tyrell Williams
2019,2019-12-01,12,13,27.292,OAK,@,KAN,L 9-40,True,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0,0,0,0,0,0,0,53,90%,0,0%,0,0%,True,Tyrell Williams
2019,2019-12-08,13,14,27.299,OAK,,TEN,L 21-42,True,4,3,35,11.67,0,75.0%,8.75,0,0,,0,0,0,0,0,0,0,0,0,51,82%,0,0%,0,0%,False,Tyrell Williams
2019,2019-12-15,14,15,27.306,OAK,,JAX,L 16-20,True,3,2,45,22.50,1,66.7%,15.00,0,0,,0,1,6,0,0,0,0,0,0,72,96%,0,0%,0,0%,False,Tyrell Williams
2019,2019-12-22,15,16,27.313,OAK,@,LAC,W 24-17,True,4,4,82,20.50,0,100.0%,20.50,0,0,,0,0,0,0,0,0,0,0,0,55,87%,0,0%,1,4%,True,Tyrell Williams
2019,2019-12-29,16,17,27.320,OAK,@,DEN,L 15-16,True,,,,,,0.0%,,,,,,0,0,0,,,0,0,0,21,29%,0,0%,0,0%,True,Tyrell Williams
2021,2021-09-12,1,1,29.212,DET,,SFO,L 33-41,True,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,0,0,0,0,0,0,39,42%,0,0%,0,0%,False,Tyrell Williams
2021,2021-09-20,2,2,,DET,@,GNB,L 17-35,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Tyrell Williams
2021,2021-09-26,3,3,,DET,,BAL,L 17-19,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Tyrell Williams
2021,2021-10-03,4,4,,DET,@,CHI,L 14-24,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Tyrell Williams
2021,2021-10-10,5,5,,DET,@,MIN,L 17-19,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Tyrell Williams
2021,2021-10-17,6,6,,DET,,CIN,L 11-34,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Tyrell Williams
2021,2021-10-24,7,7,,DET,@,LAR,L 19-28,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Tyrell Williams
2021,2021-10-31,8,8,,DET,,PHI,L 6-44,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Tyrell Williams
,68 Games,,,,,,,34-34-0,False,325,199,3195,16.06,23,61.2%,9.83,2,15,7.50,0,23,138,3,1,0,2,0,0,,,,,,,False,Tyrell Williams
