Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-12-03,12.0,13.0,27.074,SFO,CHI,W 15-14,True,17,54,3.18,0,5,3,12,4.00,0,60.0%,2.40,0,0,,0,,0,0,0,0,0,0,0,0,51,68%,0,0%,0,0%,True,Carlos Hyde,True,15,14
2017.0,2017-12-10,13.0,14.0,27.081,SFO,HOU,W 26-16,True,14,78,5.57,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0,0,0,0,0,0,41,56%,0,0%,0,0%,True,Carlos Hyde,True,26,16
2017.0,2017-12-17,14.0,15.0,27.088,SFO,TEN,W 25-23,True,16,25,1.56,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,,0,0,0,0,0,0,0,0,51,73%,0,0%,0,0%,False,Carlos Hyde,True,25,23
2017.0,2017-12-24,15.0,16.0,27.095,SFO,JAX,W 44-33,True,21,54,2.57,1,3,3,19,6.33,0,100.0%,6.33,0,0,,0,,1,6,0,0,0,0,0,0,43,65%,0,0%,2,6%,False,Carlos Hyde,True,44,33
2017.0,2017-12-31,16.0,17.0,27.102,SFO,LAR,W 34-13,True,15,88,5.87,2,4,2,10,5.00,0,50.0%,2.50,0,0,,0,,2,12,1,1,0,0,0,0,45,70%,0,0%,0,0%,True,Carlos Hyde,True,34,13
2018.0,2018-09-09,1.0,1.0,27.354,CLE,PIT,T 21-21,True,22,62,2.82,1,2,1,3,3.00,0,50.0%,1.50,0,0,,0,,1,6,0,0,0,0,0,0,47,53%,0,0%,0,0%,False,Carlos Hyde,False,21,21
2018.0,2018-09-16,2.0,2.0,27.361,CLE,NOR,L 18-21,False,16,43,2.69,1,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,1,6,0,0,0,0,0,0,36,58%,0,0%,0,0%,True,Carlos Hyde,False,18,21
2018.0,2018-09-20,3.0,3.0,28.0,CLE,NYJ,W 21-17,True,23,98,4.26,2,2,2,5,2.50,0,100.0%,2.50,0,0,,0,,2,12,0,0,0,0,0,0,45,58%,0,0%,0,0%,False,Carlos Hyde,True,21,17
2018.0,2018-09-30,4.0,4.0,28.01,CLE,OAK,L 42-45,True,22,82,3.73,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,1,0,0,1,0,0,49,60%,0,0%,0,0%,True,Carlos Hyde,False,42,45
2018.0,2018-10-07,5.0,5.0,28.017,CLE,BAL,W 12-9,True,17,63,3.71,0,3,2,14,7.00,0,66.7%,4.67,0,0,,0,,0,0,0,0,0,0,0,0,28,35%,0,0%,0,0%,False,Carlos Hyde,True,12,9
