Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2015,2015-12-21,14,15,29.139,DET,NOR,False,8,71,8.88,1,3,2,30,15.00,0,66.7%,10.00,1,11,11.00,0,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,21,40%,0,0%,5,17%,True,True,35,27,Joique Bell
2015,2015-12-27,15,16,29.145,DET,SFO,False,7,13,1.86,1,3,2,9,4.50,0,66.7%,3.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,20,28%,0,0%,4,14%,False,True,32,17,Joique Bell
2015,2016-01-03,16,17,29.152,DET,CHI,False,3,9,3.00,0,2,2,49,24.50,0,100.0%,24.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,18%,0,0%,5,22%,True,True,24,20,Joique Bell
2016,2016-10-02,4,4,30.059,CHI,DET,False,3,6,2.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,9%,0,0%,0,0%,False,True,17,14,Joique Bell
2016,2016-10-09,5,5,30.066,CHI,IND,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,24%,True,False,23,29,Joique Bell
2016,2016-10-16,6,6,30.073,CHI,JAX,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,33%,False,False,16,17,Joique Bell
2016,2016-10-20,7,7,30.077,CHI,GNB,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,33%,True,False,10,26,Joique Bell
2016,2016-12-11,13,14,30.129,DET,CHI,False,0,0,,0,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,1%,0,0%,8,36%,False,True,20,17,Joique Bell
2016,2016-12-18,14,15,30.136,DET,NYG,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,5,20%,True,False,6,17,Joique Bell
2016,2016-12-26,15,16,,DET,DAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,21,42,Joique Bell
2016,2017-01-01,16,17,30.150,DET,GNB,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,6,21%,False,False,24,31,Joique Bell
,75 Games,,,,,,False,564,2241,3.97,22,218,162,1638,10.11,1,74.3%,7.51,4,69,17.25,0,1,23,140,0.0,6,0,6,0,0,12,6,0,6,0,0,,,,,,,False,False,41,0,Joique Bell
