Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2013,2013-10-13,6,6,22.183,CLE,,DET,L 17-31,True,9,7,126,18.00,0,77.8%,14.00,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,65,96%,0,0%,0,0%,False,Josh Gordon
2013,2013-10-20,7,7,22.190,CLE,@,GNB,L 13-31,True,6,2,21,10.50,0,33.3%,3.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,67,96%,0,0%,0,0%,True,Josh Gordon
2013,2013-10-27,8,8,22.197,CLE,@,KAN,L 17-23,True,10,5,132,26.40,1,50.0%,13.20,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,50,93%,0,0%,0,0%,True,Josh Gordon
2013,2013-11-03,9,9,22.204,CLE,,BAL,W 24-18,True,7,3,44,14.67,0,42.9%,6.29,1,10,10.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,False,Josh Gordon
2013,2013-11-17,10,11,22.218,CLE,@,CIN,L 20-41,True,15,5,125,25.00,1,33.3%,8.33,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,74,92%,0,0%,0,0%,True,Josh Gordon
2013,2013-11-24,11,12,22.225,CLE,,PIT,L 11-27,True,17,14,237,16.93,1,82.4%,13.94,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,73,99%,0,0%,0,0%,False,Josh Gordon
2013,2013-12-01,12,13,22.232,CLE,,JAX,L 28-32,True,15,10,261,26.10,2,66.7%,17.40,0,0,,0,0,0,,0,0,0,,0,0,,,2,12,0,0,0,0,0,0,55,73%,0,0%,0,0%,False,Josh Gordon
2013,2013-12-08,13,14,22.239,CLE,@,NWE,L 26-27,True,10,7,151,21.57,1,70.0%,15.10,1,34,34.00,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,69,95%,0,0%,1,3%,True,Josh Gordon
2013,2013-12-15,14,15,22.246,CLE,,CHI,L 31-38,True,10,3,67,22.33,1,30.0%,6.70,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,58,100%,0,0%,0,0%,False,Josh Gordon
2013,2013-12-22,15,16,22.253,CLE,@,NYJ,L 13-24,True,16,6,97,16.17,0,37.5%,6.06,1,22,22.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,62,95%,0,0%,0,0%,True,Josh Gordon
2013,2013-12-29,16,17,22.260,CLE,@,PIT,L 7-20,True,10,7,82,11.71,0,70.0%,8.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,57,86%,0,0%,0,0%,True,Josh Gordon
2014,2014-09-07,1,1,,CLE,@,PIT,L 27-30,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Josh Gordon
2014,2014-09-14,2,2,,CLE,,NOR,W 26-24,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Josh Gordon
2014,2014-09-21,3,3,,CLE,,BAL,L 21-23,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Josh Gordon
2014,2014-10-05,4,5,,CLE,@,TEN,W 29-28,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Josh Gordon
2014,2014-10-12,5,6,,CLE,,PIT,W 31-10,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Josh Gordon
