Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2006,2006-09-07,1,1,30.183,PIT,MIA,True,7,5,53,10.60,1,71.4%,7.57,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,False,True,28,17,Hines Ward
2006,2006-09-18,2,2,30.194,PIT,JAX,True,8,2,29,14.50,0,25.0%,3.63,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,0,9,Hines Ward
2006,2006-09-24,3,3,30.200,PIT,CIN,True,11,2,17,8.50,0,18.2%,1.55,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,False,False,20,28,Hines Ward
2006,2006-10-08,4,5,30.214,PIT,SDG,True,6,4,49,12.25,0,66.7%,8.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,True,False,13,23,Hines Ward
2006,2006-10-15,5,6,30.221,PIT,KAN,True,5,5,59,11.80,1,100.0%,11.80,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,False,True,45,7,Hines Ward
2006,2006-10-22,6,7,30.228,PIT,ATL,True,12,8,171,21.38,3,66.7%,14.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,3,18,0.0,,,,,,1,0,0,0,0,0,True,False,38,41,Hines Ward
2006,2006-10-29,7,8,30.235,PIT,OAK,True,10,8,81,10.13,0,80.0%,8.10,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,13,20,Hines Ward
2006,2006-11-05,8,9,30.242,PIT,DEN,True,11,7,127,18.14,0,63.6%,11.55,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,False,False,20,31,Hines Ward
2006,2006-11-12,9,10,30.249,PIT,NOR,True,6,5,86,17.20,1,83.3%,14.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,False,True,38,31,Hines Ward
2006,2006-11-19,10,11,30.256,PIT,CLE,True,12,7,81,11.57,0,58.3%,6.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,True,True,24,20,Hines Ward
