Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2013.0,2013-12-08,13.0,14.0,23.303,STL,ARI,L 10-30,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,5.0,257.0,51.4,0.0,0.0,0%,0.0,0%,8.0,31%,True,Johnny Hekker,False,10,30
2013.0,2013-12-15,14.0,15.0,23.31,STL,NOR,W 27-16,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,4.0,167.0,41.75,0.0,0.0,0%,0.0,0%,11.0,41%,False,Johnny Hekker,True,27,16
2013.0,2013-12-22,15.0,16.0,23.317,STL,TAM,W 23-13,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,2.0,88.0,44.0,0.0,0.0,0%,0.0,0%,7.0,30%,False,Johnny Hekker,True,23,13
2013.0,2013-12-29,16.0,17.0,23.324,STL,SEA,L 9-27,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,7.0,337.0,48.14,0.0,0.0,0%,0.0,0%,9.0,31%,True,Johnny Hekker,False,9,27
2014.0,2014-09-07,1.0,1.0,24.211,STL,MIN,L 6-34,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,6.0,279.0,46.5,0.0,0.0,0%,0.0,0%,9.0,29%,False,Johnny Hekker,False,6,34
2014.0,2014-09-14,2.0,2.0,24.218,STL,TAM,W 19-17,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,2.0,98.0,49.0,0.0,0.0,0%,0.0,0%,7.0,30%,True,Johnny Hekker,True,19,17
2014.0,2014-09-21,3.0,3.0,24.225,STL,DAL,L 31-34,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,1.0,24.0,24.0,0.0,0.0,0%,0.0,0%,6.0,22%,False,Johnny Hekker,False,31,34
2014.0,2014-10-05,4.0,5.0,24.239,STL,PHI,L 28-34,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,4.0,166.0,41.5,1.0,0.0,0%,0.0,0%,9.0,29%,True,Johnny Hekker,False,28,34
2014.0,2014-10-13,5.0,6.0,24.247,STL,SFO,L 17-31,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,8.0,351.0,43.88,0.0,0.0,0%,0.0,0%,12.0,39%,False,Johnny Hekker,False,17,31
2014.0,2014-10-19,6.0,7.0,24.253,STL,SEA,W 28-26,False,1.0,1.0,100.0,18.0,0.0,0.0,118.7,0.0,0.0,18.0,18.0,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,3.0,153.0,51.0,0.0,0.0,0%,0.0,0%,9.0,32%,False,Johnny Hekker,True,28,26
2014.0,2014-10-26,7.0,8.0,24.26,STL,KAN,L 7-34,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,6.0,324.0,54.0,0.0,0.0,0%,0.0,0%,8.0,30%,True,Johnny Hekker,False,7,34
2014.0,2014-11-02,8.0,9.0,24.267,STL,SFO,W 13-10,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,6.0,281.0,46.83,0.0,0.0,0%,0.0,0%,9.0,32%,True,Johnny Hekker,True,13,10
2014.0,2014-11-09,9.0,10.0,24.274,STL,ARI,L 14-31,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,7.0,305.0,43.57,0.0,0.0,0%,0.0,0%,9.0,30%,True,Johnny Hekker,False,14,31
2014.0,2014-11-16,10.0,11.0,24.281,STL,DEN,W 22-7,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,6.0,260.0,43.33,0.0,0.0,0%,0.0,0%,12.0,44%,False,Johnny Hekker,True,22,7
2014.0,2014-11-23,11.0,12.0,24.288,STL,SDG,L 24-27,False,1.0,1.0,100.0,19.0,0.0,0.0,118.7,0.0,0.0,19.0,19.0,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,4.0,178.0,44.5,0.0,0.0,0%,0.0,0%,10.0,33%,True,Johnny Hekker,False,24,27
2014.0,2014-11-30,12.0,13.0,24.295,STL,OAK,W 52-0,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,6.0,275.0,45.83,0.0,0.0,0%,0.0,0%,14.0,44%,False,Johnny Hekker,True,52,0
2014.0,2014-12-07,13.0,14.0,24.302,STL,WAS,W 24-0,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,4.0,174.0,43.5,0.0,0.0,0%,0.0,0%,10.0,43%,True,Johnny Hekker,True,24,0
2014.0,2014-12-11,14.0,15.0,24.306,STL,ARI,L 6-12,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,8.0,404.0,50.5,0.0,0.0,0%,0.0,0%,10.0,33%,False,Johnny Hekker,False,6,12
2014.0,2014-12-21,15.0,16.0,24.316,STL,NYG,L 27-37,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,4.0,202.0,50.5,0.0,0.0,0%,0.0,0%,10.0,30%,False,Johnny Hekker,False,27,37
2014.0,2014-12-28,16.0,17.0,24.323,STL,SEA,L 6-20,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,5.0,247.0,49.4,0.0,0.0,0%,0.0,0%,7.0,32%,True,Johnny Hekker,False,6,20
