Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-11-20,11,11,22.321,TEN,@,IND,L 17-24,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,3,4%,0,0%,0,0%,True,Derrick Henry
2016,2016-11-27,12,12,22.328,TEN,@,CHI,W 27-21,False,8,60,7.50,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,14,24%,0,0%,0,0%,True,Derrick Henry
2016,2016-12-11,13,14,22.342,TEN,,DEN,W 13-10,False,12,42,3.50,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,18,27%,0,0%,0,0%,False,Derrick Henry
2016,2016-12-18,14,15,22.349,TEN,@,KAN,W 19-17,False,9,58,6.44,2,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,2,12,0,0,0,0,0,0,17,26%,0,0%,0,0%,True,Derrick Henry
2016,2016-12-24,15,16,22.355,TEN,@,JAX,L 17-38,False,4,13,3.25,0,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,17,24%,0,0%,0,0%,True,Derrick Henry
2016,2017-01-01,16,17,22.363,TEN,,HOU,W 24-17,False,15,65,4.33,1,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,28,46%,0,0%,0,0%,False,Derrick Henry
2017,2017-09-10,1,1,23.249,TEN,,OAK,L 16-26,False,6,25,4.17,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,18,28%,0,0%,0,0%,False,Derrick Henry
2017,2017-09-17,2,2,23.256,TEN,@,JAX,W 37-16,False,14,92,6.57,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,30,44%,0,0%,0,0%,True,Derrick Henry
2017,2017-09-24,3,3,23.263,TEN,,SEA,W 33-27,False,13,54,4.15,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,30,41%,0,0%,0,0%,False,Derrick Henry
2017,2017-10-01,4,4,23.270,TEN,@,HOU,L 14-57,False,6,7,1.17,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,18,44%,0,0%,0,0%,True,Derrick Henry
2017,2017-10-08,5,5,23.277,TEN,@,MIA,L 10-16,False,4,9,2.25,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,11,19%,0,0%,0,0%,True,Derrick Henry
2017,2017-10-16,6,6,23.285,TEN,,IND,W 36-22,False,19,131,6.89,1,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,39,56%,0,0%,0,0%,False,Derrick Henry
2017,2017-10-22,7,7,23.291,TEN,@,CLE,W 12-9,False,13,13,1.00,0,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,30,42%,0,0%,0,0%,True,Derrick Henry
2017,2017-11-05,8,9,23.305,TEN,,BAL,W 23-20,False,8,26,3.25,1,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,19,37%,0,0%,0,0%,False,Derrick Henry
2017,2017-11-12,9,10,23.312,TEN,,CIN,W 24-20,False,11,52,4.73,0,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,28,31%,0,0%,0,0%,False,Derrick Henry
2017,2017-11-16,10,11,23.316,TEN,@,PIT,L 17-40,False,7,32,4.57,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,16,25%,0,0%,0,0%,True,Derrick Henry
2017,2017-11-26,11,12,23.326,TEN,@,IND,W 20-16,False,13,79,6.08,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,32,55%,0,0%,0,0%,True,Derrick Henry
2017,2017-12-03,12,13,23.333,TEN,,HOU,W 24-13,False,11,109,9.91,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,1,6,1,0,0,0,0,0,24,44%,0,0%,0,0%,False,Derrick Henry
2017,2017-12-10,13,14,23.340,TEN,@,ARI,L 7-12,True,8,20,2.50,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,13,22%,0,0%,0,0%,True,Derrick Henry
2017,2017-12-17,14,15,23.347,TEN,@,SFO,L 23-25,False,7,19,2.71,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,15,24%,0,0%,0,0%,True,Derrick Henry
