Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2006,2006-12-31,16,17,,SFO,@,DEN,W 26-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Delanie Walker
2007,2007-09-10,1,1,23.029,SFO,,ARI,W 20-17,False,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Delanie Walker
2007,2007-09-16,2,2,23.035,SFO,@,STL,W 17-16,False,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Delanie Walker
2007,2007-09-23,3,3,23.042,SFO,@,PIT,L 16-37,True,7,3,19,6.33,0,42.9%,2.71,0,0,,0,3,63,21.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Delanie Walker
2007,2007-09-30,4,4,23.049,SFO,,SEA,L 3-23,True,4,1,7,7.00,0,25.0%,1.75,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Delanie Walker
2007,2007-10-07,5,5,23.056,SFO,,BAL,L 7-9,True,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Delanie Walker
2007,2007-10-21,6,7,23.070,SFO,@,NYG,L 15-33,True,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Delanie Walker
2007,2007-10-28,7,8,23.077,SFO,,NOR,L 10-31,True,2,1,0,0.00,0,50.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Delanie Walker
2007,2007-11-04,8,9,23.084,SFO,@,ATL,L 16-20,False,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Delanie Walker
2007,2007-11-12,9,10,23.092,SFO,@,SEA,L 0-24,False,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Delanie Walker
2007,2007-11-18,10,11,23.098,SFO,,STL,L 9-13,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Delanie Walker
2007,2007-11-25,11,12,23.105,SFO,@,ARI,W 37-31,True,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,,0,0,0.0,2,0,2,0,0,0,,0,0,0,0,,,,,,,True,Delanie Walker
2007,2007-12-02,12,13,23.112,SFO,@,CAR,L 14-31,False,2,1,21,21.00,1,50.0%,10.50,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Delanie Walker
2007,2007-12-09,13,14,23.119,SFO,,MIN,L 7-27,True,8,6,66,11.00,0,75.0%,8.25,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Delanie Walker
2007,2007-12-15,14,15,23.125,SFO,,CIN,W 20-13,True,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Delanie Walker
2007,2007-12-23,15,16,23.133,SFO,,TAM,W 21-19,False,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Delanie Walker
2007,2007-12-30,16,17,23.140,SFO,@,CLE,L 7-20,True,4,2,14,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Delanie Walker
2008,2008-09-07,1,1,24.026,SFO,,ARI,L 13-23,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,,False,Delanie Walker
2008,2008-09-14,2,2,24.033,SFO,@,SEA,W 33-30,False,,,,,,0.0%,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Delanie Walker
2008,2008-09-21,3,3,24.040,SFO,,DET,W 31-13,False,3,3,44,14.67,1,100.0%,14.67,0,0,,0,0,0,,0,,1,6,0.0,0,2,2,0,0,0,,0,0,0,0,,,,,,,False,Delanie Walker
2008,2008-09-28,4,4,24.047,SFO,@,NOR,L 17-31,False,1,1,21,21.00,0,100.0%,21.00,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Delanie Walker
2008,2008-10-05,5,5,24.054,SFO,,NWE,L 21-30,True,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,Delanie Walker
2008,2008-10-12,6,6,24.061,SFO,,PHI,L 26-40,True,1,0,0,,0,0.0%,0.00,1,-10,-10.00,0,0,0,,0,,0,0,0.0,2,0,2,0,0,0,,0,0,0,0,,,,,,,False,Delanie Walker
2008,2008-10-19,7,7,24.068,SFO,@,NYG,L 17-29,False,0,0,0,,0,0.0%,,1,-3,-3.00,0,3,62,20.67,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Delanie Walker
2008,2008-10-26,8,8,24.075,SFO,,SEA,L 13-34,False,3,2,53,26.50,0,66.7%,17.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,False,Delanie Walker
2008,2008-11-10,9,10,24.090,SFO,@,ARI,L 24-29,False,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,,0,0,0.0,2,0,2,0,0,0,,0,0,0,0,,,,,,,True,Delanie Walker
2008,2008-11-16,10,11,,SFO,,STL,W 35-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Delanie Walker
2008,2008-11-23,11,12,24.103,SFO,@,DAL,L 22-35,False,0,0,0,,0,0.0%,,0,0,,0,5,112,22.40,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Delanie Walker
2008,2008-11-30,12,13,24.110,SFO,@,BUF,W 10-3,False,0,0,0,,0,0.0%,,0,0,,0,2,38,19.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Delanie Walker
2008,2008-12-07,13,14,24.117,SFO,,NYJ,W 24-14,False,2,1,15,15.00,0,50.0%,7.50,0,0,,0,2,34,17.00,0,,0,0,0.0,1,1,2,0,0,1,0,0,0,0,0,,,,,,,False,Delanie Walker
2008,2008-12-14,14,15,24.124,SFO,@,MIA,L 9-14,False,2,1,10,10.00,0,50.0%,5.00,0,0,,0,1,11,11.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,True,Delanie Walker
2008,2008-12-21,15,16,24.131,SFO,@,STL,W 17-16,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Delanie Walker
2008,2008-12-28,16,17,24.138,SFO,,WAS,W 27-24,False,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,1,2,0,,,,,,,False,Delanie Walker
2009,2009-09-13,1,1,25.032,SFO,@,ARI,W 20-16,False,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Delanie Walker
2009,2009-09-20,2,2,25.039,SFO,,SEA,W 23-10,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,1,1,2,0,0,0,,0,0,0,0,,,,,,,False,Delanie Walker
2009,2009-09-27,3,3,25.046,SFO,@,MIN,L 24-27,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Delanie Walker
2009,2009-10-04,4,4,25.053,SFO,,STL,W 35-0,True,1,1,10,10.00,0,100.0%,10.00,1,16,16.00,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,Delanie Walker
2009,2009-10-11,5,5,25.060,SFO,,ATL,L 10-45,True,3,1,39,39.00,0,33.3%,13.00,0,0,,0,4,81,20.25,0,,0,0,0.0,3,0,3,0,0,1,1,0,0,0,0,,,,,,,False,Delanie Walker
2009,2009-10-25,6,7,25.074,SFO,@,HOU,L 21-24,False,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,,0,0,0.0,1,1,2,0,0,0,,0,0,0,0,,,,,,,True,Delanie Walker
2009,2009-11-01,7,8,25.081,SFO,@,IND,L 14-18,True,0,,,,,0.0%,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Delanie Walker
2009,2009-11-08,8,9,25.088,SFO,,TEN,L 27-34,True,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Delanie Walker
2009,2009-11-12,9,10,25.092,SFO,,CHI,W 10-6,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,Delanie Walker
2009,2009-11-22,10,11,25.102,SFO,@,GNB,L 24-30,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,1,1,2,0,0,0,,0,0,0,0,,,,,,,True,Delanie Walker
2009,2009-11-29,11,12,25.109,SFO,,JAX,W 20-3,True,5,4,52,13.00,0,80.0%,10.40,1,11,11.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Delanie Walker
2009,2009-12-06,12,13,25.116,SFO,@,SEA,L 17-20,True,4,3,28,9.33,0,75.0%,7.00,1,7,7.00,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Delanie Walker
2009,2009-12-14,13,14,25.124,SFO,,ARI,W 24-9,True,3,1,2,2.00,0,33.3%,0.67,0,0,,0,1,4,4.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Delanie Walker
2009,2009-12-20,14,15,25.130,SFO,@,PHI,L 13-27,True,4,3,28,9.33,0,75.0%,7.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,1,0,0,,,,,,,True,Delanie Walker
2009,2009-12-27,15,16,25.137,SFO,,DET,W 20-6,False,4,3,36,12.00,0,75.0%,9.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Delanie Walker
2009,2010-01-03,16,17,25.144,SFO,@,STL,W 28-6,False,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Delanie Walker
2010,2010-09-12,1,1,26.031,SFO,@,SEA,L 6-31,True,4,3,27,9.00,0,75.0%,6.75,1,10,10.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Delanie Walker
2010,2010-09-20,2,2,26.039,SFO,,NOR,L 22-25,False,2,2,26,13.00,0,100.0%,13.00,0,0,,0,3,51,17.00,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,False,Delanie Walker
2010,2010-09-26,3,3,26.045,SFO,@,KAN,L 10-31,False,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Delanie Walker
2010,2010-10-03,4,4,26.052,SFO,@,ATL,L 14-16,False,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Delanie Walker
2010,2010-10-10,5,5,,SFO,,PHI,L 24-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Delanie Walker
2010,2010-10-17,6,6,,SFO,,OAK,W 17-9,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Delanie Walker
2010,2010-10-24,7,7,26.073,SFO,@,CAR,L 20-23,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,3,2,5,0,0,0,,0,0,0,0,,,,,,,True,Delanie Walker
2010,2010-10-31,8,8,26.080,SFO,,DEN,W 24-16,True,7,5,85,17.00,0,71.4%,12.14,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Delanie Walker
2010,2010-11-14,9,10,26.094,SFO,,STL,W 23-20,True,5,4,80,20.00,0,80.0%,16.00,0,0,,0,0,0,,0,,0,0,0.0,2,0,2,0,0,0,,0,0,0,0,,,,,,,False,Delanie Walker
2010,2010-11-21,10,11,26.101,SFO,,TAM,L 0-21,False,4,3,27,9.00,0,75.0%,6.75,1,3,3.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Delanie Walker
2010,2010-11-29,11,12,26.109,SFO,@,ARI,W 27-6,True,1,0,0,,0,0.0%,0.00,,,,,,,,,,0,0,0.0,,,,0,0,0,,,0,0,0,,,,,,,True,Delanie Walker
2010,2010-12-05,12,13,26.115,SFO,@,GNB,L 16-34,True,3,2,19,9.50,0,66.7%,6.33,1,5,5.00,0,2,19,9.50,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Delanie Walker
2010,2010-12-12,13,14,26.122,SFO,,SEA,W 40-21,True,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,Delanie Walker
2010,2010-12-16,14,15,26.126,SFO,@,SDG,L 7-34,False,5,3,14,4.67,0,60.0%,2.80,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Delanie Walker
2010,2010-12-26,15,16,26.136,SFO,@,STL,L 17-25,True,4,3,17,5.67,0,75.0%,4.25,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Delanie Walker
2010,2011-01-02,16,17,26.143,SFO,,ARI,W 38-7,True,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Delanie Walker
2011,2011-09-11,1,1,27.030,SFO,,SEA,W 33-17,True,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,0,0,,0,,0,0,0.0,4,0,4,0,0,0,,0,0,0,0,,,,,,,False,Delanie Walker
2011,2011-09-18,2,2,27.037,SFO,,DAL,L 24-27,False,4,2,38,19.00,1,50.0%,9.50,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Delanie Walker
2011,2011-09-25,3,3,27.044,SFO,@,CIN,W 13-8,False,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,2,0,0,,,,,,,True,Delanie Walker
2011,2011-10-02,4,4,27.051,SFO,@,PHI,W 24-23,False,3,3,20,6.67,0,100.0%,6.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Delanie Walker
2011,2011-10-09,5,5,27.058,SFO,,TAM,W 48-3,True,3,2,37,18.50,1,66.7%,12.33,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Delanie Walker
2011,2011-10-16,6,6,27.065,SFO,@,DET,W 25-19,False,3,2,11,5.50,1,66.7%,3.67,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Delanie Walker
2011,2011-10-30,7,8,27.079,SFO,,CLE,W 20-10,False,,,,,,0.0%,,,,,,,,,,,0,0,0.0,,,,0,0,0,,,0,0,0,,,,,,,False,Delanie Walker
2011,2011-11-06,8,9,27.086,SFO,@,WAS,W 19-11,True,2,2,15,7.50,0,100.0%,7.50,1,-3,-3.00,0,0,0,,0,,0,0,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,,True,Delanie Walker
2011,2011-11-13,9,10,27.093,SFO,,NYG,W 27-20,True,7,6,69,11.50,0,85.7%,9.86,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Delanie Walker
2011,2011-11-20,10,11,27.100,SFO,,ARI,W 23-7,False,5,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Delanie Walker
2011,2011-11-24,11,12,27.104,SFO,@,BAL,L 6-16,True,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Delanie Walker
2011,2011-12-04,12,13,27.114,SFO,,STL,W 26-0,False,2,0,0,,0,0.0%,0.00,1,14,14.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Delanie Walker
2011,2011-12-11,13,14,27.121,SFO,@,ARI,L 19-21,False,2,0,0,,0,0.0%,0.00,1,-6,-6.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Delanie Walker
2011,2011-12-19,14,15,27.129,SFO,,PIT,W 20-3,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,Delanie Walker
2011,2011-12-24,15,16,27.134,SFO,@,SEA,W 19-17,True,,,,,,0.0%,,,,,,,,,,,0,0,0.0,,,,0,0,0,,,0,0,0,,,,,,,True,Delanie Walker
2011,2012-01-01,16,17,,SFO,@,STL,W 34-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Delanie Walker
2012,2012-09-09,1,1,28.028,SFO,@,GNB,W 30-22,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,33,50%,0,0%,10,34%,True,Delanie Walker
2012,2012-09-16,2,2,28.035,SFO,,DET,W 27-19,False,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,34,55%,0,0%,12,41%,False,Delanie Walker
2012,2012-09-23,3,3,28.042,SFO,@,MIN,L 13-24,False,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,41%,0,0%,8,35%,True,Delanie Walker
2012,2012-09-30,4,4,28.049,SFO,@,NYJ,W 34-0,True,4,2,31,15.50,0,50.0%,7.75,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,57%,0,0%,7,26%,True,Delanie Walker
2012,2012-10-07,5,5,28.056,SFO,,BUF,W 45-3,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,58%,0,0%,10,37%,False,Delanie Walker
2012,2012-10-14,6,6,28.063,SFO,,NYG,L 3-26,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,34%,0,0%,2,7%,False,Delanie Walker
