Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-12-19,14,15,,SFO,PIT,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,20,3,Braylon Edwards
2011,2011-12-24,15,16,28.306,SFO,SEA,False,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,19,17,Braylon Edwards
2012,2012-09-09,1,1,29.201,SEA,ARI,True,9,5,43,8.60,0,55.6%,4.78,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,59,79%,0,0%,0,0%,True,False,16,20,Braylon Edwards
2012,2012-09-16,2,2,29.208,SEA,DAL,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,0,0,,,,,0,,,0,0,0,9,14%,0,0%,0,0%,False,True,27,7,Braylon Edwards
2012,2012-09-24,3,3,29.216,SEA,GNB,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,0,0,,,,,0,,,0,0,0,4,7%,0,0%,0,0%,False,True,14,12,Braylon Edwards
2012,2012-09-30,4,4,29.222,SEA,STL,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,0,0,,,,,0,,,0,0,0,5,8%,0,0%,0,0%,True,False,13,19,Braylon Edwards
2012,2012-10-07,5,5,29.229,SEA,CAR,False,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,10,16%,0,0%,0,0%,True,True,16,12,Braylon Edwards
2012,2012-10-14,6,6,29.236,SEA,NWE,False,3,2,21,10.50,1,66.7%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,0,0,0,5,9%,0,0%,0,0%,False,True,24,23,Braylon Edwards
2012,2012-10-18,7,7,29.240,SEA,SFO,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,12,21%,0,0%,0,0%,True,False,6,13,Braylon Edwards
2012,2012-10-28,8,8,,SEA,DET,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,24,28,Braylon Edwards
2012,2012-11-04,9,9,,SEA,MIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,30,20,Braylon Edwards
2012,2012-11-11,10,10,29.264,SEA,NYJ,False,0,,,,,0.0%,,,,,,,,,,,,,,,,,,0,0,,,,,0,,,0,0,0,22,31%,0,0%,0,0%,False,True,28,7,Braylon Edwards
2012,2012-11-25,11,12,29.278,SEA,MIA,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,0,0,,,,,0,,,0,0,0,9,16%,0,0%,0,0%,True,False,21,24,Braylon Edwards
2012,2012-12-02,12,13,29.285,SEA,CHI,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,14,20%,0,0%,0,0%,True,True,23,17,Braylon Edwards
2012,2012-12-17,14,15,29.300,NYJ,TEN,True,5,3,47,15.67,0,60.0%,9.40,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,41,60%,0,0%,0,0%,True,False,10,14,Braylon Edwards
2012,2012-12-23,15,16,29.306,NYJ,SDG,True,5,3,36,12.00,0,60.0%,7.20,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,45,74%,0,0%,0,0%,False,False,17,27,Braylon Edwards
2012,2012-12-30,16,17,29.313,NYJ,BUF,True,8,4,42,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,57,76%,0,0%,0,0%,True,False,9,28,Braylon Edwards
,112 Games,,,,,,False,741,359,5522,15.38,40,48.4%,7.45,4,11,2.75,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,4,40,248,0,0,0,1,5,4,0,0,0,0,,,,,,,False,False,62,0,Braylon Edwards
