Player,Tm,Age,Pos,Games_G,Games_GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Lng,Receiving_R/G,Receiving_Y/G,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_1D,Rushing_Lng,Rushing_Y/A,Rushing_Y/G,Rushing_A/G,Total Yds_Touch,Total Yds_Y/Tch,Total Yds_YScm,RRTD,Fmb,ProBowl,AllPro
Andre Ellington,ARI,25,RB,12,12,64,46,395,8.6,2,19,81,3.8,32.9,71.9%,6.2,201,660,3,31,22,3.3,55.0,16.8,247,4.3,1055,5,2,False,False
Mike Evans,TAM,21,WR,15,15,122,68,1051,15.5,12,46,56,4.5,70.1,55.7%,8.6,,,,0,,,,,68,15.5,1051,12,0,False,False
A.J. Green,CIN,26,WR,13,13,117,69,1041,15.1,6,46,81,5.3,80.1,59.0%,8.9,2,2,0,0,5,1.0,0.2,0.2,71,14.7,1043,6,3,True,False
Giovani Bernard,CIN,23,RB,13,9,59,43,349,8.1,2,14,46,3.3,26.8,72.9%,5.9,168,680,5,32,89,4.0,52.3,12.9,211,4.9,1029,7,0,False,False
Fred Jackson,BUF,33,RB,14,9,90,66,501,7.6,1,26,34,4.7,35.8,73.3%,5.6,141,525,2,24,38,3.7,37.5,10.1,207,5.0,1026,3,5,False,False
Kelvin Benjamin,CAR,23,WR,16,15,145,73,1008,13.8,9,52,51,4.6,63.0,50.3%,7.0,,,,0,,,,,73,13.8,1008,9,1,False,False
Greg Olsen,CAR,29,TE,16,16,123,84,1008,12.0,6,55,38,5.3,63.0,68.3%,8.2,,,,0,,,,,84,12.0,1008,6,1,True,False
Vincent Jackson,TAM,31,WR,16,16,142,70,1002,14.3,2,50,50,4.4,62.6,49.3%,7.1,,,,0,,,,,70,14.3,1002,2,1,False,False
Jonathan Stewart,CAR,27,RB,13,8,31,25,181,7.2,1,7,22,1.9,13.9,80.6%,5.8,175,809,3,42,69,4.6,62.2,13.5,200,5.0,990,4,2,False,False
Sammy Watkins,BUF,21,WR,16,16,128,65,982,15.1,6,48,84,4.1,61.4,50.8%,7.7,2,8,0,1,5,4.0,0.5,0.1,67,14.8,990,6,1,False,False
Brandon LaFell,NWE,28,WR,16,13,119,74,953,12.9,7,50,56,4.6,59.6,62.2%,8.0,2,13,0,0,9,6.5,0.8,0.1,76,12.7,966,7,1,False,False
Eric Decker,NYJ,27,WR,15,15,115,74,962,13.0,5,47,74,4.9,64.1,64.3%,8.4,,,,0,,,,,74,13.0,962,5,0,False,False
Chris Ivory,NYJ,26,RB,16,10,27,18,123,6.8,1,4,23,1.1,7.7,66.7%,4.6,198,821,6,43,71,4.1,51.3,12.4,216,4.4,944,7,2,False,False
Rueben Randle,NYG,23,WR,16,13,127,71,938,13.2,3,48,49,4.4,58.6,55.9%,7.4,,,,0,,,,,71,13.2,938,3,0,False,False
Andre Johnson,HOU,33,WR,15,15,146,85,936,11.0,3,50,35,5.7,62.4,58.2%,6.4,,,,0,,,,,85,11.0,936,3,3,False,False
Kenny Stills,NOR,22,wr,15,7,83,63,931,14.8,3,47,69,4.2,62.1,75.9%,11.2,1,-2,0,0,-2,-2.0,-0.1,0.1,64,14.5,929,3,1,False,False
Roddy White,ATL,33,WR,14,14,125,80,921,11.5,7,55,39,5.7,65.8,64.0%,7.4,,,,0,,,,,80,11.5,921,7,3,False,False
Martellus Bennett,CHI,27,TE,16,15,128,90,916,10.2,6,43,37,5.6,57.3,70.3%,7.2,,,,0,,,,,90,10.2,916,6,0,True,False
Tre Mason,STL,21,RB,12,9,26,16,148,9.3,1,8,35,1.3,12.3,61.5%,5.7,179,765,4,38,89,4.3,63.8,14.9,195,4.7,913,5,2,False,False
Marques Colston,NOR,31,WR,16,13,100,59,902,15.3,5,45,57,3.7,56.4,59.0%,9.0,,,,0,,,,,59,15.3,902,5,1,False,False
Delanie Walker,TEN,30,TE,15,14,106,63,890,14.1,4,34,68,4.2,59.3,59.4%,8.4,,,,0,,,,,63,14.1,890,4,2,False,False
Jimmy Graham,NOR,28,TE,16,13,125,85,889,10.5,10,54,29,5.3,55.6,68.0%,7.1,,,,0,,,,,85,10.5,889,10,2,True,False
Matt Asiata,MIN,27,RB,15,9,63,44,312,7.1,1,7,41,2.9,20.8,69.8%,5.0,164,570,9,34,19,3.5,38.0,10.9,208,4.2,882,10,1,False,False
Mike Wallace,MIA,28,WR,16,16,115,67,862,12.9,10,47,50,4.2,53.9,58.3%,7.5,4,16,0,1,12,4.0,1.0,0.3,71,12.4,878,10,2,False,False
Jordan Matthews,PHI,22,WR,16,10,103,67,872,13.0,8,43,44,4.2,54.5,65.0%,8.5,,,,0,,,,,67,13.0,872,8,0,False,False
Russell Wilson,SEA,26,QB,16,16,1,1,17,17.0,0,1,17,0.1,1.1,100.0%,17.0,118,849,6,47,55,7.2,53.1,7.4,119,7.3,866,6,11,True,False
Rashad Jennings,NYG,29,RB,11,9,41,30,226,7.5,0,8,27,2.7,20.5,73.2%,5.5,167,639,4,39,18,3.8,58.1,15.2,197,4.4,865,4,1,False,False
Travis Kelce,KAN,25,TE,16,11,87,67,862,12.9,5,46,34,4.2,53.9,77.0%,9.9,,,,0,,,,,67,12.9,862,5,4,False,False
Malcom Floyd,SDG,33,WR,16,16,92,52,856,16.5,6,39,59,3.3,53.5,56.5%,9.3,,,,0,,,,,52,16.5,856,6,0,False,False
Steven Jackson,ATL,31,RB,15,15,27,20,148,7.4,0,6,17,1.3,9.9,74.1%,5.5,190,707,6,38,55,3.7,47.1,12.7,210,4.1,855,6,0,False,False
Branden Oliver,SDG,23,RB,14,7,45,36,271,7.5,1,11,50,2.6,19.4,80.0%,6.0,160,582,3,31,52,3.6,41.6,11.4,196,4.4,853,4,0,False,False
Andre Williams,NYG,22,rb,16,7,37,18,130,7.2,0,6,24,1.1,8.1,48.6%,3.5,217,721,7,32,50,3.3,45.1,13.6,235,3.6,851,7,1,False,False
Michael Floyd,ARI,25,WR,16,14,99,47,841,17.9,6,34,63,2.9,52.6,47.5%,8.5,1,2,0,0,2,2.0,0.1,0.1,48,17.6,843,6,3,False,False
Mohamed Sanu,CIN,25,WR,16,13,98,56,790,14.1,5,38,76,3.5,49.4,57.1%,8.1,7,51,0,2,26,7.3,3.2,0.4,63,13.3,841,5,0,False,False
Andrew Hawkins,CLE,28,WR,15,15,112,63,824,13.1,2,44,65,4.2,54.9,56.3%,7.4,3,15,0,0,8,5.0,1.0,0.2,66,12.7,839,2,0,False,False
Shane Vereen,NWE,25,RB,16,6,77,52,447,8.6,3,24,49,3.3,27.9,67.5%,5.8,96,391,2,15,19,4.1,24.4,6.0,148,5.7,838,5,0,False,False
Doug Baldwin,SEA,26,WR,16,16,98,66,825,12.5,3,43,49,4.1,51.6,67.3%,8.4,1,8,0,0,8,8.0,0.5,0.1,67,12.4,833,3,0,False,False
Antonio Gates,SDG,34,TE,16,14,98,69,821,11.9,12,44,34,4.3,51.3,70.4%,8.4,,,,0,,,,,69,11.9,821,12,1,False,False
Chris Johnson,NYJ,29,rb,16,6,34,24,151,6.3,1,9,26,1.5,9.4,70.6%,4.4,155,663,1,22,47,4.3,41.4,9.7,179,4.5,814,2,1,False,False
Eddie Royal,SDG,28,WR,16,11,91,62,778,12.5,7,39,47,3.9,48.6,68.1%,8.5,3,14,0,1,15,4.7,0.9,0.2,65,12.2,792,7,1,False,False
Larry Fitzgerald,ARI,31,WR,14,13,103,63,784,12.4,2,39,80,4.5,56.0,61.2%,7.6,,,,0,,,,,63,12.4,784,2,1,False,False
Keenan Allen,SDG,22,WR,14,14,121,77,783,10.2,4,41,35,5.5,55.9,63.6%,6.5,,,,0,,,,,77,10.2,783,4,2,False,False
Reggie Wayne,IND,36,WR,15,15,116,64,779,12.2,2,40,80,4.3,51.9,55.2%,6.7,,,,0,,,,,64,12.2,779,2,1,False,False
Coby Fleener,IND,26,TE,16,12,92,51,774,15.2,8,40,73,3.2,48.4,55.4%,8.4,,,,0,,,,,51,15.2,774,8,0,False,False
Kendall Wright,TEN,25,WR,14,11,93,57,715,12.5,6,32,48,4.1,51.1,61.3%,7.7,4,54,0,2,38,13.5,3.9,0.3,61,12.6,769,6,1,False,False
Torrey Smith,BAL,25,WR,16,16,92,49,767,15.7,11,38,53,3.1,47.9,53.3%,8.3,,,,0,,,,,49,15.7,767,11,0,False,False
Kenny Britt,STL,26,WR,16,13,84,48,748,15.6,3,33,63,3.0,46.8,57.1%,8.9,2,14,0,1,12,7.0,0.9,0.1,50,15.2,762,3,0,False,False
Heath Miller,PIT,32,TE,16,16,91,66,761,11.5,3,43,49,4.1,47.6,72.5%,8.4,,,,0,,,,,66,11.5,761,3,1,False,False
Dwayne Bowe,KAN,30,WR,15,15,95,60,754,12.6,0,42,37,4.0,50.3,63.2%,7.9,,,,0,,,,,60,12.6,754,0,2,False,False
Jarvis Landry,MIA,22,WR,16,11,112,84,758,9.0,5,50,25,5.3,47.4,75.0%,6.8,2,-4,0,0,4,-2.0,-0.3,0.1,86,8.8,754,5,7,False,False
Pierre Garcon,WAS,28,WR,16,14,105,68,752,11.1,3,33,70,4.3,47.0,64.8%,7.2,,,,0,,,,,68,11.1,752,3,0,False,False
Trent Richardson,IND,24,RB,15,12,34,27,229,8.5,0,9,24,1.8,15.3,79.4%,6.7,159,519,3,27,27,3.3,34.6,10.6,186,4.0,748,3,2,False,False
Darren McFadden,OAK,27,RB,16,12,56,36,212,5.9,0,8,23,2.3,13.3,64.3%,3.8,155,534,2,21,25,3.4,33.4,9.7,191,3.9,746,2,1,False,False
Greg Jennings,MIN,31,WR,16,13,92,59,742,12.6,6,40,38,3.7,46.4,64.1%,8.1,,,,0,,,,,59,12.6,742,6,1,False,False
Terrance West,CLE,23,RB,14,6,13,11,64,5.8,1,3,11,0.8,4.6,84.6%,4.9,171,673,4,31,36,3.9,48.1,12.2,182,4.0,737,5,2,False,False
Ahmad Bradshaw,IND,28,,10,1,47,38,300,7.9,6,20,22,3.8,30.0,80.9%,6.4,90,425,2,18,29,4.7,42.5,9.0,128,5.7,725,8,3,False,False
Brandon Marshall,CHI,30,WR,13,13,106,61,721,11.8,8,41,47,4.7,55.5,57.5%,6.8,,,,0,,,,,61,11.8,721,8,1,False,False
Bobby Rainey,TAM,27,rb,15,5,45,33,315,9.5,1,13,34,2.2,21.0,73.3%,7.0,94,406,1,21,31,4.3,27.1,6.3,127,5.7,721,2,3,False,False
Darren Sproles,PHI,31,,15,0,62,40,387,9.7,0,18,57,2.7,25.8,64.5%,6.2,57,329,6,18,49,5.8,21.9,3.8,97,7.4,716,6,4,True,False
Denard Robinson,JAX,24,RB,13,9,31,23,124,5.4,0,7,19,1.8,9.5,74.2%,4.0,135,582,4,24,41,4.3,44.8,10.4,158,4.5,706,4,2,False,False
Jason Witten,DAL,32,TE,16,16,90,64,703,11.0,5,48,34,4.0,43.9,71.1%,7.8,,,,0,,,,,64,11.0,703,5,0,True,False
Michael Crabtree,SFO,27,WR,16,16,108,68,698,10.3,4,35,51,4.3,43.6,63.0%,6.5,1,4,0,0,4,4.0,0.3,0.1,69,10.2,702,4,0,False,False
Zach Ertz,PHI,24,te,16,5,89,58,702,12.1,3,42,35,3.6,43.9,65.2%,7.9,,,,0,,,,,58,12.1,702,3,1,False,False
Bishop Sankey,TEN,22,RB,16,9,23,18,133,7.4,0,5,18,1.1,8.3,78.3%,5.8,152,569,2,26,22,3.7,35.6,9.5,170,4.1,702,2,2,False,False
Robert Woods,BUF,22,WR,16,15,104,65,699,10.8,5,35,37,4.1,43.7,62.5%,6.7,,,,0,,,,,65,10.8,699,5,1,False,False
Isaiah Crowell,CLE,21,,16,4,14,9,87,9.7,0,4,19,0.6,5.4,64.3%,6.2,148,607,8,35,35,4.1,37.9,9.3,157,4.4,694,8,3,False,False
Roy Helu,WAS,26,,14,0,47,42,477,11.4,2,16,55,3.0,34.1,89.4%,10.1,40,216,1,10,18,5.4,15.4,2.9,82,8.5,693,3,2,False,False
Andre Holmes,OAK,26,WR,16,13,99,47,693,14.7,4,32,77,2.9,43.3,47.5%,7.0,,,,0,,,,,47,14.7,693,4,0,False,False
John Brown,ARI,24,wr,16,5,102,48,696,14.5,5,31,75,3.0,43.5,47.1%,6.8,3,-6,0,0,2,-2.0,-0.4,0.2,51,13.5,690,5,0,False,False
Percy Harvin,2TM,26,,13,12,78,51,483,9.5,1,0,45,3.9,37.2,65.4%,6.2,33,202,1,0,51,6.1,15.5,2.5,84,8.2,685,2,3,False,False
Allen Hurns,JAX,23,WR,16,8,97,51,677,13.3,6,26,63,3.2,42.3,52.6%,7.0,,,,0,,,,,51,13.3,677,6,0,False,False
Jerick McKinnon,MIN,22,rb,11,6,41,27,135,5.0,0,7,17,2.5,12.3,65.9%,3.3,113,538,0,24,55,4.8,48.9,10.3,140,4.8,673,0,0,False,False
James Jones,OAK,30,WR,16,10,112,73,666,9.1,6,40,42,4.6,41.6,65.2%,5.9,,,,0,,,,,73,9.1,666,6,3,False,False
Markus Wheaton,PIT,23,WR,16,11,86,53,644,12.2,2,34,47,3.3,40.3,61.6%,7.5,4,19,0,1,12,4.8,1.2,0.3,57,11.6,663,2,0,False,False
Jarius Wright,MIN,25,wr,16,7,62,42,588,14.0,2,25,87,2.6,36.8,67.7%,9.5,5,71,0,3,27,14.2,4.4,0.3,47,14.0,659,2,0,False,False
Nate Washington,TEN,31,WR,16,11,72,40,647,16.2,2,26,80,2.5,40.4,55.6%,9.0,,,,0,,,,,40,16.2,647,2,0,False,False
Alfred Blue,HOU,23,rb,16,3,18,15,113,7.5,1,7,22,0.9,7.1,83.3%,6.3,169,528,2,29,46,3.1,33.0,10.6,184,3.5,641,3,0,False,False
Colin Kaepernick,SFO,27,QB,16,16,0,0,0,,0,0,0,0.0,0.0,0.0%,,104,639,1,28,90,6.1,39.9,6.5,104,6.1,639,1,8,False,False
Jared Cook,STL,27,te,16,6,99,52,634,12.2,3,32,59,3.3,39.6,52.5%,6.4,1,0,0,0,0,0.0,0.0,0.1,53,12.0,634,3,0,False,False
Taylor Gabriel,CLE,23,,16,2,72,36,621,17.3,1,26,70,2.3,38.8,50.0%,8.6,4,10,0,0,8,2.5,0.6,0.3,40,15.8,631,1,0,False,False
Brandin Cooks,NOR,21,WR,10,7,69,53,550,10.4,3,25,50,5.3,55.0,76.8%,8.0,7,73,1,4,28,10.4,7.3,0.7,60,10.4,623,4,1,False,False
Larry Donnell,NYG,26,TE,16,12,92,63,623,9.9,6,36,32,3.9,38.9,68.5%,6.8,,,,0,,,,,63,9.9,623,6,4,False,False
Terrance Williams,DAL,25,WR,16,16,66,37,621,16.8,8,30,51,2.3,38.8,56.1%,9.4,,,,0,,,,,37,16.8,621,8,0,False,False
Knile Davis,KAN,23,,16,1,25,16,147,9.2,1,6,70,1.0,9.2,64.0%,5.9,134,463,6,26,48,3.5,28.9,8.4,150,4.1,610,7,4,False,False
Charles Clay,MIA,25,TE,14,14,84,58,605,10.4,3,31,41,4.1,43.2,69.0%,7.2,,,,0,,,,,58,10.4,605,3,0,False,False
LeGarrette Blount,2TM,28,,16,1,12,10,54,5.4,0,0,13,0.6,3.4,83.3%,4.5,125,547,5,0,50,4.4,34.2,7.8,135,4.5,601,5,1,False,False
Pierre Thomas,NOR,30,,11,3,55,45,378,8.4,1,19,39,4.1,34.4,81.8%,6.9,45,222,2,14,27,4.9,20.2,4.1,90,6.7,600,3,0,False,False
Benny Cunningham,STL,24,,16,2,52,45,352,7.8,1,21,19,2.8,22.0,86.5%,6.8,66,246,3,12,20,3.7,15.4,4.1,111,5.4,598,4,2,False,False
Jerricho Cotchery,CAR,32,WR,15,13,78,48,580,12.1,1,29,47,3.2,38.7,61.5%,7.4,,,,0,,,,,48,12.1,580,1,0,False,False
Riley Cooper,PHI,27,WR,16,16,95,55,577,10.5,3,25,50,3.4,36.1,57.9%,6.1,,,,0,,,,,55,10.5,577,3,1,False,False
Ronnie Hillman,DEN,23,,8,4,34,21,139,6.6,1,7,16,2.6,17.4,61.8%,4.1,106,434,3,20,37,4.1,54.3,13.3,127,4.5,573,4,1,False,False
Miles Austin,CLE,30,WR,12,11,73,47,568,12.1,2,34,31,3.9,47.3,64.4%,7.8,,,,0,,,,,47,12.1,568,2,0,False,False
Latavius Murray,OAK,24,,15,3,23,17,143,8.4,0,3,46,1.1,9.5,73.9%,6.2,82,424,2,18,90,5.2,28.3,5.5,99,5.7,567,2,1,False,False
Martavis Bryant,PIT,23,,10,3,48,26,549,21.1,8,16,94,2.6,54.9,54.2%,11.4,3,12,0,0,9,4.0,1.2,0.3,29,19.3,561,8,0,False,False
Doug Martin,TAM,25,RB,11,11,20,13,64,4.9,0,3,20,1.2,5.8,65.0%,3.2,134,494,2,24,63,3.7,44.9,12.2,147,3.8,558,2,0,False,False
Cecil Shorts,JAX,27,WR,13,12,110,53,557,10.5,1,27,53,4.1,42.8,48.2%,5.1,,,,0,,,,,53,10.5,557,1,1,False,False
Harry Douglas,ATL,30,wr,12,6,74,51,556,10.9,2,29,41,4.3,46.3,68.9%,7.5,,,,0,,,,,51,10.9,556,2,0,False,False
Jermaine Kearse,SEA,24,WR,15,14,69,38,537,14.1,1,21,60,2.5,35.8,55.1%,7.8,2,15,0,1,11,7.5,1.0,0.1,40,13.8,552,1,0,False,False
Reggie Bush,DET,29,RB,11,9,56,40,253,6.3,0,13,28,3.6,23.0,71.4%,4.5,76,297,2,9,26,3.9,27.0,6.9,116,4.7,550,2,0,False,False
Allen Robinson,JAX,21,wr,10,8,81,48,548,11.4,2,26,54,4.8,54.8,59.3%,6.8,,,,0,,,,,48,11.4,548,2,0,False,False
Devin Hester,ATL,32,,16,1,59,38,504,13.3,2,22,46,2.4,31.5,64.4%,8.5,6,36,1,1,20,6.0,2.3,0.4,44,12.3,540,3,2,True,False
Cam Newton,CAR,25,QB,14,14,0,0,0,,0,0,0,0.0,0.0,0.0%,,103,539,5,48,22,5.2,38.5,7.4,103,5.2,539,5,9,False,False
Mychal Rivera,OAK,24,TE,16,10,99,58,534,9.2,4,29,33,3.6,33.4,58.6%,5.4,,,,0,,,,,58,9.2,534,4,3,False,False
Owen Daniels,BAL,32,TE,15,13,79,48,527,11.0,4,32,39,3.2,35.1,60.8%,6.7,,,,0,,,,,48,11.0,527,4,0,False,False
Dan Herron,IND,25,,16,3,26,21,173,8.2,0,7,26,1.3,10.8,80.8%,6.7,78,351,1,17,49,4.5,21.9,4.9,99,5.3,524,1,2,False,False
Toby Gerhart,JAX,27,rb,14,7,24,20,186,9.3,0,10,26,1.4,13.3,83.3%,7.8,101,326,2,23,23,3.2,23.3,7.2,121,4.2,512,2,1,False,False
Niles Paul,WAS,25,te,16,7,52,39,507,13.0,1,19,50,2.4,31.7,75.0%,9.8,,,,0,,,,,39,13.0,507,1,1,False,False
Cordarrelle Patterson,MIN,23,WR,16,7,67,33,384,11.6,1,20,28,2.1,24.0,49.3%,5.7,10,117,1,4,67,11.7,7.3,0.6,43,11.7,501,2,1,False,False
Justin Hunter,TEN,23,WR,12,8,67,28,498,17.8,3,20,75,2.3,41.5,41.8%,7.4,,,,0,,,,,28,17.8,498,3,0,False,False
Scott Chandler,BUF,29,te,16,5,70,47,497,10.6,3,28,37,2.9,31.1,67.1%,7.1,,,,0,,,,,47,10.6,497,3,0,False,False
Robert Turbin,SEA,25,,16,3,20,16,186,11.6,2,9,34,1.0,11.6,80.0%,9.3,74,310,0,16,17,4.2,19.4,4.6,90,5.5,496,2,1,False,False
Jeremy Kerley,NYJ,26,WR,16,7,75,38,409,10.8,1,21,33,2.4,25.6,50.7%,5.5,4,86,0,2,37,21.5,5.4,0.3,42,11.8,495,1,1,False,False
Julius Thomas,DEN,26,TE,13,10,62,43,489,11.4,12,30,35,3.3,37.6,69.4%,7.9,,,,0,,,,,43,11.4,489,12,1,True,False
Anthony Dixon,BUF,27,,16,0,9,8,49,6.1,0,3,10,0.5,3.1,88.9%,5.4,105,432,2,14,47,4.1,27.0,6.6,113,4.3,481,2,1,False,False
Brian Hartline,MIA,28,WR,16,16,63,39,474,12.2,2,27,35,2.4,29.6,61.9%,7.5,,,,0,,,,,39,12.2,474,2,1,False,False
Andre Roberts,WAS,26,,16,4,73,36,453,12.6,2,28,61,2.3,28.3,49.3%,6.2,2,21,0,1,19,10.5,1.3,0.1,38,12.5,474,2,4,False,False
Devonta Freeman,ATL,22,,16,0,37,30,225,7.5,1,8,36,1.9,14.1,81.1%,6.1,65,248,1,10,31,3.8,15.5,4.1,95,5.0,473,2,1,False,False
James Starks,GNB,28,,16,0,29,18,140,7.8,0,6,28,1.1,8.8,62.1%,4.8,85,333,2,17,41,3.9,20.8,5.3,103,4.6,473,2,1,False,False
