Player,Tm,Age,Pos,Games_G,Games_GS,0-19_FGA,0-19_FGM,20-29_FGA,20-29_FGM,30-39_FGA,30-39_FGM,40-49_FGA,40-49_FGM,50+_FGA,50+_FGM,Scoring_FGA,Scoring_FGM,Scoring_Lng,Scoring_FG%,Scoring_XPA,Scoring_XPM,Scoring_XP%,Kickoffs_KO,Kickoffs_KOYds,Kickoffs_TB,Kickoffs_TB%,Kickoffs_KOAvg,Punting_Pnt,Punting_Yds,Punting_Lng,Punting_Blck,Punting_Y/P,ProBowl,AllPro
Garrett Hartley,NOR,26,,16,0,,,9,9,6,4,3,2,4,3,22,18,53,81.8%,57,57,100.0%,2,24,,,12.0,,,,,,False,False
Nick Novak,SDG,31,,13,0,1,1,5,5,6,6,4,4,4,2,20,18,51,90.0%,33,33,100.0%,62,3951,22,35.5%,63.7,,,,,,False,False
Kai Forbath,WAS,25,,11,0,,,3,3,3,2,11,11,1,1,18,17,50,94.4%,34,33,97.1%,62,3853,15,24.2%,62.1,,,,,,False,False
Josh Brown,CIN,33,,4,0,,,3,3,4,4,3,3,2,1,12,11,52,91.7%,8,8,100.0%,23,1475,6,26.1%,64.1,,,,,,False,False
Billy Cundiff,WAS,32,,5,0,,,1,1,5,3,4,3,2,,12,7,45,58.3%,17,17,100.0%,29,1841,18,62.1%,63.5,,,,,,False,False
Graham Gano,CAR,25,,6,0,,,3,3,3,3,3,2,2,1,11,9,51,81.8%,21,20,95.2%,35,2320,20,57.1%,66.3,,,,,,False,False
Nate Kaeding,2TM,30,,5,0,1,1,3,3,,,6,4,,,10,8,45,80.0%,9,9,100.0%,22,1408,12,54.5%,64.0,2,84,49,0,42.0,False,False
Justin Medlock,CAR,29,,10,0,,,2,2,3,3,4,2,1,,10,7,45,70.0%,23,23,100.0%,41,2388,17,41.5%,58.2,,,,,,False,False
Olindo Mare,CHI,39,,3,0,,,3,2,3,3,2,1,,,8,6,40,75.0%,7,7,100.0%,16,1045,10,62.5%,65.3,,,,,,False,False
Dave Zastudil,ARI,34,,16,0,,,,,,,,,,,,,,,,,,1,62,,,62.0,112,5209,70,0,46.5,False,False
Bryan Anger,JAX,24,,16,0,,,,,,,,,,,,,,,,,,,,,,,91,4353,73,1,47.8,False,False
Reggie Hodges,CLE,30,,16,0,,,,,,,,,,,,,,,,,,,,,,,90,3766,58,0,41.8,False,False
Donnie Jones,HOU,32,,16,0,,,,,,,,,,,,,,,,,,1,58,,,58.0,88,4150,66,0,47.2,False,False
Robert Malone,NYJ,24,,16,0,,,,,,,,,,,,,,,,,,1,67,,,67.0,84,3848,61,2,45.8,False,False
Dustin Colquitt,KAN,30,,16,0,,,,,,,,,,,,,,,,,,,,,,,83,3887,71,0,46.8,True,False
Sam Koch,BAL,30,,16,0,,,,,,,,,,,,,,,,,,1,64,,,64.0,83,3911,60,0,47.1,False,False
Johnny Hekker,STL,22,,16,0,,,,,,,,,,,,,,,,,,1,9,,,9.0,82,3756,68,0,45.8,False,False
Brett Kern,TEN,26,,16,0,,,,,,,,,,,,,,,,,,,,,,,81,3855,71,2,47.6,False,False
Shane Lechler,OAK,36,,16,0,,,,,,,,,,,,,,,,,,,,,,,81,3826,68,1,47.2,False,False
Adam Podlesh,CHI,29,,16,0,,,,,,,,,,,,,,,,,,4,245,1,25.0%,61.3,81,3399,64,0,42.0,False,False
Mike Scifres,SDG,32,,16,0,,,,,,,,,,,,,,,,,,,,,,,81,3914,66,3,48.3,False,False
Drew Butler,PIT,23,,16,0,,,,,,,,,,,,,,,,,,,,,,,77,3374,79,1,43.8,False,False
Kevin Huber,CIN,27,,16,0,,,,,,,,,,,,,,,,,,,,,,,76,3540,69,0,46.6,False,False
Michael Koenen,TAM,30,,16,0,,,,,,,,,,,,,,,,,,87,5593,58,66.7%,64.3,76,3440,64,1,45.3,False,False
Brad Nortman,CAR,23,,16,0,,,,,,,,,,,,,,,,,,1,68,,,68.0,76,3267,63,1,43.0,False,False
Thomas Morstead,NOR,26,,16,0,,,,,,,,,,,,,,,,,,90,5698,45,50.0%,63.3,74,3707,70,0,50.1,True,False
Brandon Fields,MIA,28,,16,0,,,,,,,,,,,,,,,,,,,,,,,73,3666,67,0,50.2,False,False
Pat McAfee,IND,25,,16,0,,,,,,,,,,,,,,,,,,79,5213,45,57.0%,66.0,73,3500,64,1,47.9,False,False
Chris Kluwe,MIN,31,,16,0,,,,,,,,,,,,,,,,,,,,,,,72,3237,59,0,45.0,False,False
Brian Moorman,2TM,36,,15,0,,,,,,,,,,,,,,,,,,,,,,,71,3179,66,0,44.8,False,False
Tim Masthay,GNB,25,,16,0,,,,,,,,,,,,,,,,,,,,,,,70,3043,65,1,43.5,False,False
Saverio Rocca,WAS,39,,16,0,,,,,,,,,,,,,,,,,,,,,,,68,2984,61,2,43.9,False,False
Britton Colquitt,DEN,27,,16,0,,,,,,,,,,,,,,,,,,1,60,,,60.0,67,3099,67,0,46.3,False,False
Nick Harris,DET,34,,13,0,,,,,,,,,,,,,,,,,,,,,,,67,2783,58,0,41.5,False,False
Andy Lee,SFO,30,,16,0,,,,,,,,,,,,,,,,,,1,63,,,63.0,67,3226,66,0,48.1,False,True
Shawn Powell,BUF,24,,13,0,,,,,,,,,,,,,,,,,,,,,,,65,2860,62,0,44.0,False,False
Jon Ryan,SEA,31,,16,0,,,,,,,,,,,,,,,,,,1,66,,,66.0,65,2963,73,0,45.6,False,False
Matthew Bosher,ATL,25,,16,0,,,,,,,,,,,,,,,,,,94,6094,45,47.9%,64.8,60,2847,63,2,47.5,False,False
Zoltan Mesko,NWE,26,,16,0,,,,,,,,,,,,,,,,,,1,60,,,60.0,60,2585,62,1,43.1,False,False
Steve Weatherford,NYG,30,,16,0,,,,,,,,,,,,,,,,,,,,,,,58,2757,68,0,47.5,False,False
Mat McBriar,PHI,33,,13,0,,,,,,,,,,,,,,,,,,,,,,,55,2560,66,1,46.5,False,False
Chas Henry,PHI,23,,3,0,,,,,,,,,,,,,,,,,,,,,,,16,776,62,0,48.5,False,False
Chris Jones,DAL,23,,4,0,,,,,,,,,,,,,,,,,,,,,,,12,542,60,1,45.2,False,False
Ben Graham,DET,39,,3,0,,,,,,,,,,,,,,,,,,,,,,,6,248,46,0,41.3,False,False
Ben Roethlisberger,PIT,30,QB,13,13,,,,,,,,,,,,,,,,,,,,,,,1,26,26,0,26.0,False,False
