Player,Tm,Age,Pos,Games_G,Games_GS,0-19_FGA,0-19_FGM,20-29_FGA,20-29_FGM,30-39_FGA,30-39_FGM,40-49_FGA,40-49_FGM,50+_FGA,50+_FGM,Scoring_FGA,Scoring_FGM,Scoring_Lng,Scoring_FG%,Scoring_XPA,Scoring_XPM,Scoring_XP%,Kickoffs_KO,Kickoffs_KOYds,Kickoffs_TB,Kickoffs_TB%,Kickoffs_KOAvg,Punting_Pnt,Punting_Yds,Punting_Lng,Punting_Blck,Punting_Y/P,ProBowl,AllPro
Mason Crosby,GNB,36,,16,0,1,1,1,1,5,5,5,5,4,4,16,16,57,100.0%,63,59,93.7%,82,5236,48,58.5%,63.9,,,,,,False,False
Matt Gay,LAR,26,,7,0,,,2,2,6,5,7,6,1,1,16,14,51,87.5%,16,16,100.0%,35,2234,28,80.0%,63.8,,,,,,False,False
Sam Ficken,NYJ,28,,9,0,,,5,5,6,6,1,1,3,1,15,13,54,86.7%,15,12,80.0%,32,1975,18,56.3%,61.7,,,,,,False,False
Sergio Castillo,NYJ,30,,6,0,,,2,1,4,3,5,2,2,2,13,8,55,61.5%,7,6,85.7%,,,,,,,,,,,False,False
Sam Sloman,2TM,23,,8,0,,,3,2,5,5,3,2,1,,13,10,47,76.9%,26,23,88.5%,44,2791,24,54.5%,63.4,,,,,,False,False
Aldrick Rosas,JAX,26,,6,0,,,3,3,2,2,1,,5,3,11,8,54,72.7%,9,9,100.0%,20,1266,15,75.0%,63.3,3,110,44,0,36.7,False,False
Austin Seibert,2TM,24,,5,0,,,,,5,5,3,1,1,,9,6,48,66.7%,9,8,88.9%,20,1290,13,65.0%,64.5,,,,,,False,False
Mike Nugent,ARI,38,,4,0,,,1,1,5,4,2,2,,,8,7,43,87.5%,7,7,100.0%,19,1202,3,15.8%,63.3,,,,,,False,False
Josh Lambo,JAX,30,,4,0,,,,,2,2,1,1,2,2,5,5,59,100.0%,10,8,80.0%,5,227,2,40.0%,45.4,,,,,,False,False
Chase McLaughlin,2TM,24,,4,0,,,1,1,1,1,1,1,2,1,5,4,52,80.0%,6,5,83.3%,3,177,,,59.0,,,,,,False,False
Matthew Wright,PIT,24,,3,0,,,1,1,1,1,2,2,,,4,4,46,100.0%,7,7,100.0%,15,869,1,6.7%,57.9,,,,,,False,False
Kai Forbath,LAR,33,,2,0,,,2,2,,,1,,,,3,2,23,66.7%,5,4,80.0%,9,585,4,44.4%,65.0,,,,,,False,False
Tristan Vizcaino,SFO,24,,1,0,,,,,2,2,1,1,,,3,3,47,100.0%,2,2,100.0%,1,65,1,100.0%,65.0,,,,,,False,False
Jonathan Brown,JAX,28,,1,0,,,,,2,1,,,,,2,1,31,50.0%,1,1,100.0%,1,9,,,9.0,,,,,,False,False
Stephen Hauschka,JAX,35,,1,0,,,1,,,,1,,,,2,,,0.0%,2,2,100.0%,,,,,,,,,,,False,False
Jamie Gillan,CLE,23,,16,0,,,,,,,,,1,,1,,,0.0%,,,,1,55,,,55.0,51,2244,59,0,44.0,False,False
Elliott Fry,ATL,26,,1,0,,,1,1,,,,,,,1,1,23,100.0%,2,1,50.0%,4,259,2,50.0%,64.8,,,,,,False,False
Taylor Russolino,DEN,31,,1,0,,,,,,,,,1,,1,,,0.0%,3,1,33.3%,4,209,,,52.3,,,,,,False,False
Braden Mann,NYJ,23,,16,0,,,,,,,,,,,,,,,,,,28,1813,16,57.1%,64.8,82,3598,60,0,43.9,False,False
Tress Way,WAS,30,,16,0,,,,,,,,,,,,,,,,,,,,,,,73,3504,65,0,48.0,False,False
Kevin Huber,CIN,35,,16,0,,,,,,,,,,,,,,,,,,,,,,,71,3350,72,0,47.2,False,False
Cameron Johnston,PHI,28,,16,0,,,,,,,,,,,,,,,,,,2,118,,,59.0,71,3318,66,1,46.7,False,False
Matt Haack,MIA,26,,16,0,,,,,,,,,,,,,,,,,,1,49,,,49.0,68,3040,63,0,44.7,False,False
Johnny Hekker,LAR,30,,16,0,,,,,,,,,,,,,,,,,,,,,,,68,3099,63,1,45.6,False,False
Mitch Wishnowsky,SFO,28,,16,0,,,,,,,,,,,,,,,,,,67,4229,42,62.7%,63.1,66,3093,60,1,46.9,False,False
Riley Dixon,NYG,27,,16,0,,,,,,,,,,,,,,,,,,1,50,,,50.0,65,2911,71,1,44.8,False,False
Sam Martin,DEN,30,,16,0,,,,,,,,,,,,,,,,,,2,114,,,57.0,65,3040,69,1,46.8,False,False
Pat O'Donnell,CHI,29,,16,0,,,,,,,,,,,,,,,,,,,,,,,64,2924,64,0,45.7,False,False
Thomas Morstead,NOR,34,,16,0,,,,,,,,,,,,,,,,,,1,33,,,33.0,62,2674,58,0,43.1,False,False
Michael Dickson,SEA,24,,16,0,,,,,,,,,,,,,,,,,,2,26,,,13.0,61,3028,67,0,49.6,False,False
Jack Fox,DET,24,,16,0,,,,,,,,,,,,,,,,,,60,3670,19,31.7%,61.2,59,2897,67,0,49.1,True,False
Andy Lee,ARI,38,,16,0,,,,,,,,,,,,,,,,,,2,121,,,60.5,58,2600,61,0,44.8,False,False
Jordan Berry,PIT,29,,11,0,,,,,,,,,,,,,,,,,,,,,,,57,2609,62,0,45.8,False,False
Ty Long,LAC,27,,16,0,,,,,,,,,,,,,,,,,,81,5187,49,60.5%,64.0,57,2669,63,3,46.8,False,False
Logan Cooke,JAX,25,,14,0,,,,,,,,,,,,,,,,,,46,2782,25,54.3%,60.5,56,2669,67,0,47.7,False,False
Sterling Hofrichter,ATL,24,,16,0,,,,,,,,,,,,,,,,,,22,1383,16,72.7%,62.9,56,2381,57,0,42.5,False,False
Jake Bailey,NWE,23,,16,0,,,,,,,,,,,,,,,,,,72,4584,42,58.3%,63.7,55,2678,71,0,48.7,True,True
Bradley Pinion,TAM,26,,16,0,,,,,,,,,,,,,,,,,,100,6477,85,85.0%,64.8,55,2486,62,0,45.2,False,False
Bryan Anger,HOU,32,,16,0,,,,,,,,,,,,,,,,,,2,126,,,63.0,54,2505,67,0,46.4,False,False
Britton Colquitt,MIN,35,,16,0,,,,,,,,,,,,,,,,,,2,105,,,52.5,54,2435,59,2,45.1,False,False
Tommy Townsend,KAN,24,,16,0,,,,,,,,,,,,,,,,,,2,103,,,51.5,52,2339,67,0,45.0,False,False
Sam Koch,BAL,38,,15,0,,,,,,,,,,,,,,,,,,,,,,,51,2268,59,0,44.5,False,False
JK Scott,GNB,25,,16,0,,,,,,,,,,,,,,,,,,16,965,4,25.0%,60.3,46,2092,62,1,45.5,False,False
Joseph Charlton,CAR,23,,16,0,,,,,,,,,,,,,,,,,,,,,,,45,2082,67,0,46.3,False,False
AJ Cole III,LVR,25,,16,0,,,,,,,,,,,,,,,,,,,,,,,44,1939,63,0,44.1,False,False
Rigoberto Sanchez,IND,26,,14,0,,,,,,,,,,,,,,,,,,77,4803,33,42.9%,62.4,42,1940,60,1,46.2,False,False
Corey Bojorquez,BUF,24,,16,0,,,,,,,,,,,,,,,,,,,,,,,41,2082,72,0,50.8,False,False
Brett Kern,TEN,34,,13,0,,,,,,,,,,,,,,,,,,1,48,,,48.0,37,1695,66,0,45.8,False,False
Dustin Colquitt,2TM,38,,6,0,,,,,,,,,,,,,,,,,,,,,,,26,1133,59,0,43.6,False,False
Hunter Niswander,DAL,26,,8,0,,,,,,,,,,,,,,,,,,,,,,,26,1228,58,0,47.2,False,False
Chris Jones,DAL,31,,8,0,,,,,,,,,,,,,,,,,,2,116,,,58.0,24,1022,54,0,42.6,False,False
Ryan Allen,2TM,30,,3,0,,,,,,,,,,,,,,,,,,,,,,,14,680,65,0,48.6,False,False
Trevor Daniel,TEN,26,,2,0,,,,,,,,,,,,,,,,,,,,,,,4,157,52,1,39.3,False,False
Johnny Townsend,BAL,25,,1,0,,,,,,,,,,,,,,,,,,,,,,,2,100,55,0,50.0,False,False
Brandon Wright,JAX,23,,1,0,,,,,,,,,,,,,,,2,1,50.0%,,,,,,,,,,,False,False
