Player,Tm,Age,Pos,Games_G,Games_GS,0-19_FGA,0-19_FGM,20-29_FGA,20-29_FGM,30-39_FGA,30-39_FGM,40-49_FGA,40-49_FGM,50+_FGA,50+_FGM,Scoring_FGA,Scoring_FGM,Scoring_Lng,Scoring_FG%,Scoring_XPA,Scoring_XPM,Scoring_XP%,Kickoffs_KO,Kickoffs_KOYds,Kickoffs_TB,Kickoffs_TB%,Kickoffs_KOAvg,Punting_Pnt,Punting_Yds,Punting_Lng,Punting_Blck,Punting_Y/P,ProBowl,AllPro
Trevor Daniel,HOU,24,,16,0,,,,,,,,,,,,,,,,,,,,,,,74,3237,61,0,43.7,False,False
Brett Kern,TEN,32,,16,0,,,,,,,,,,,,,,,,,,1,43,,,43.0,74,3483,62,1,47.1,True,False
Sam Martin,DET,28,,16,0,,,,,,,,,,,,,,,,,,73,4459,34,46.6%,61.1,74,3310,61,0,44.7,False,False
Matt Wile,MIN,26,,16,0,,,,,,,,,,,,,,,,,,,,,,,72,3255,70,1,45.2,False,False
Riley Dixon,NYG,25,,16,0,,,,,,,,,,,,,,,,,,,,,,,71,3226,60,0,45.4,False,False
Kevin Huber,CIN,33,,16,0,,,,,,,,,,,,,,,,,,,,,,,71,3119,69,1,43.9,False,False
JK Scott,GNB,23,,16,0,,,,,,,,,,,,,,,,,,1,61,,,61.0,71,3176,67,1,44.7,False,False
Johnny Townsend,OAK,23,,16,0,,,,,,,,,,,,,,,,,,,,,,,70,3022,64,0,43.2,False,False
Bradley Pinion,SFO,24,,16,0,,,,,,,,,,,,,,,,,,77,4963,52,67.5%,64.5,68,2973,64,1,43.7,False,False
Colby Wadman,DEN,23,,12,0,,,,,,,,,,,,,,,,,,,,,,,65,2905,65,0,44.7,False,False
Ryan Allen,NWE,28,,16,0,,,,,,,,,,,,,,,,,,,,,,,64,2885,66,0,45.1,False,False
Jordan Berry,PIT,27,,16,0,,,,,,,,,,,,,,,,,,,,,,,63,2753,69,0,43.7,False,False
Pat O'Donnell,CHI,27,,16,0,,,,,,,,,,,,,,,,,,,,,,,62,2791,65,1,45.0,False,False
Cameron Johnston,PHI,26,,16,0,,,,,,,,,,,,,,,,,,,,,,,61,2937,68,0,48.1,False,False
Michael Palardy,CAR,26,,16,0,,,,,,,,,,,,,,,,,,,,,,,61,2759,59,0,45.2,False,False
Matthew Bosher,ATL,31,,16,0,,,,,,,,,,,,,,,,,,89,5578,51,57.3%,62.7,60,2729,57,2,45.5,False,False
Chris Jones,DAL,29,,16,0,,,,,,,,,,,,,,,,,,,,,,,60,2670,63,0,44.5,False,False
Sam Koch,BAL,36,,16,0,,,,,,,,,,,,,,,,,,,,,,,60,2842,65,1,47.4,False,False
Bryan Anger,TAM,30,,16,0,,,,,,,,,,,,,,,,,,1,73,,,73.0,57,2567,64,1,45.0,False,False
Rigoberto Sanchez,IND,24,,16,0,,,,,,,,,,,,,,,,,,88,5435,59,67.0%,61.8,57,2629,63,0,46.1,False,False
Donnie Jones,LAC,38,,12,0,,,,,,,,,,,,,,,,,,,,,,,47,1990,59,0,42.3,False,False
Corey Bojorquez,BUF,22,,8,0,,,,,,,,,,,,,,,,,,,,,,,45,2028,60,1,45.1,False,False
Dustin Colquitt,KAN,36,,16,0,,,,,,,,,,,,,,,,,,1,60,,,60.0,45,2021,67,0,44.9,False,False
Thomas Morstead,NOR,32,,16,0,,,,,,,,,,,,,,,,,,2,95,,,47.5,43,1996,60,0,46.4,False,False
Matt Darr,BUF,26,,5,0,,,,,,,,,,,,,,,,,,,,,,,20,809,55,0,40.5,False,False
Marquette King,DEN,30,,4,0,,,,,,,,,,,,,,,,,,,,,,,20,881,66,0,44.1,False,False
Colton Schmidt,BUF,28,,3,0,,,,,,,,,,,,,,,,,,,,,,,16,676,55,0,42.3,False,False
Drew Kaser,LAC,25,,4,0,,,,,,,,,,,,,,,,,,,,,,,13,629,66,1,48.4,False,False
Ben Roethlisberger,PIT,36,QB,16,16,,,,,,,,,,,,,,,,,,,,,,,1,27,27,0,27.0,False,False
