Player,Tm,Age,Pos,Games_G,Games_GS,0-19_FGA,0-19_FGM,20-29_FGA,20-29_FGM,30-39_FGA,30-39_FGM,40-49_FGA,40-49_FGM,50+_FGA,50+_FGM,Scoring_FGA,Scoring_FGM,Scoring_Lng,Scoring_FG%,Scoring_XPA,Scoring_XPM,Scoring_XP%,Kickoffs_KO,Kickoffs_KOYds,Kickoffs_TB,Kickoffs_TB%,Kickoffs_KOAvg,Punting_Pnt,Punting_Yds,Punting_Lng,Punting_Blck,Punting_Y/P,ProBowl,AllPro
Nate Kaeding,SDG,28,,13,0,,,6,6,8,7,10,9,4,1,28,23,50,82.1%,40,40,100.0%,72,4490,4,5.6%,62.4,,,,,,False,False
Josh Scobee,JAX,28,,16,0,2,2,3,3,7,6,14,9,2,2,28,22,59,78.6%,41,41,100.0%,76,4949,15,19.7%,65.1,,,,,,False,False
Adam Vinatieri,IND,38,,16,0,,,8,8,10,9,10,9,,,28,26,48,92.9%,51,51,100.0%,,,,,,,,,,,False,False
Jay Feely,ARI,34,,16,0,,,8,8,6,6,10,8,3,2,27,24,55,88.9%,29,29,100.0%,70,4512,16,22.9%,64.5,,,,,,False,False
Ryan Succop,KAN,24,,16,0,,,6,6,9,7,8,6,3,1,26,20,53,76.9%,42,42,100.0%,78,4730,8,10.3%,60.6,1,33,33,0,33.0,False,False
Rob Bironas,TEN,32,,16,0,,,6,6,9,8,8,8,3,2,26,24,55,92.3%,38,38,100.0%,76,4956,17,22.4%,65.2,,,,,,False,False
Garrett Hartley,NOR,24,,14,0,1,1,6,4,9,7,7,6,2,2,25,20,52,80.0%,40,40,100.0%,34,2096,4,11.8%,61.6,,,,,,False,False
Lawrence Tynes,NYG,32,,15,0,,,12,12,4,2,4,3,3,2,23,19,53,82.6%,43,43,100.0%,78,4826,6,7.7%,61.9,,,,,,False,False
Rian Lindell,BUF,33,,16,0,1,1,6,6,6,5,2,1,6,3,21,16,51,76.2%,32,31,96.9%,67,4192,8,11.9%,62.6,,,,,,False,False
Mike Nugent,CIN,28,,9,0,,,5,5,7,7,3,1,4,2,19,15,54,78.9%,17,17,100.0%,44,2765,7,15.9%,62.8,,,,,,False,False
Ryan Longwell,MIN,36,,16,0,,,7,7,9,8,2,2,,,18,17,48,94.4%,31,30,96.8%,65,4047,3,4.6%,62.3,,,,,,False,False
Matt Prater,DEN,26,,12,0,,,3,3,7,7,5,4,3,2,18,16,59,88.9%,29,28,96.6%,57,3688,20,35.1%,64.7,,,,,,False,False
Dave Rayner,DET,28,,8,0,,,3,3,3,3,8,5,2,2,16,13,55,81.3%,16,16,100.0%,34,2136,2,5.9%,62.8,,,,,,False,False
Shaun Suisham,PIT,29,,7,0,1,1,4,4,1,1,9,8,,,15,14,48,93.3%,19,19,100.0%,40,2323,2,5.0%,58.1,3,115,39,0,38.3,False,False
Jason Hanson,DET,40,,8,0,,,1,1,4,4,5,4,4,3,14,12,52,85.7%,19,19,100.0%,40,2458,1,2.5%,61.5,,,,,,False,False
Stephen Gostkowski,NWE,26,,8,0,,,2,2,7,6,3,2,1,,13,10,43,76.9%,26,26,100.0%,42,2750,15,35.7%,65.5,,,,,,False,False
Joe Nedney,SFO,37,,9,0,,,6,6,2,2,2,1,3,2,13,11,51,84.6%,17,17,100.0%,37,2420,4,10.8%,65.4,,,,,,False,False
Shayne Graham,2TM,33,,9,0,1,1,5,5,5,5,1,1,,,12,12,41,100.0%,41,39,95.1%,62,3800,3,4.8%,61.3,,,,,,False,False
Clint Stitser,CIN,25,,5,0,,,,,,,,,,,8,7,47,87.5%,10,8,80.0%,23,1312,,,57.0,,,,,,False,False
Stephen Hauschka,DEN,25,,4,0,,,1,1,3,3,3,2,,,7,6,46,85.7%,10,10,100.0%,20,1224,2,10.0%,61.2,,,,,,False,False
John Carney,NOR,46,,2,0,,,2,1,4,4,,,,,6,5,32,83.3%,3,3,100.0%,1,11,,,11.0,,,,,,False,False
Kris Brown,SDG,34,,3,0,,,1,1,3,3,,,1,,5,4,36,80.0%,8,8,100.0%,17,978,1,5.9%,57.5,,,,,,False,False
Shane Andrus,SFO,30,,2,0,,,1,1,2,1,1,,,,4,2,38,50.0%,3,3,100.0%,6,359,,,59.8,,,,,,False,False
Aaron Pettrey,CIN,24,,2,0,1,1,2,1,,,1,,,,4,2,28,50.0%,5,5,100.0%,8,491,1,12.5%,61.4,,,,,,False,False
Jason Baker,CAR,32,,16,0,,,,,,,,,,,,,,,,,,,,,,,95,4097,60,0,43.1,False,False
Ben Graham,ARI,37,,16,0,,,,,,,,,,,,,,,,,,,,,,,94,4080,65,0,43.4,False,False
Donnie Jones,STL,30,,16,0,,,,,,,,,,,,,,,,,,,,,,,94,4276,63,0,45.5,False,False
Andy Lee,SFO,28,,16,0,,,,,,,,,,,,,,,,,,2,100,,,50.0,91,4203,64,0,46.2,False,False
Nick Harris,DET,32,,16,0,,,,,,,,,,,,,,,,,,3,168,,,56.0,90,4018,66,0,44.6,False,False
Dustin Colquitt,KAN,28,,16,0,,,,,,,,,,,,,,,,,,,,,,,88,3908,72,1,44.4,False,False
Britton Colquitt,DEN,25,,16,0,,,,,,,,,,,,,,,,,,1,69,,,69.0,86,3835,63,0,44.6,False,False
Steve Weatherford,NYJ,28,,16,0,,,,,,,,,,,,,,,,,,,,,,,84,3581,61,0,42.6,False,False
Chris Kluwe,MIN,29,,16,0,,,,,,,,,,,,,,,,,,,,,,,83,3569,59,0,43.0,False,False
Brad Maynard,CHI,36,,16,0,,,,,,,,,,,,,,,,,,1,53,,,53.0,83,3326,56,0,40.1,False,False
Sam Koch,BAL,28,,16,0,,,,,,,,,,,,,,,,,,,,,,,81,3530,60,0,43.6,False,False
Reggie Hodges,CLE,28,,16,0,,,,,,,,,,,,,,,,,,,,,,,78,3424,59,0,43.9,False,False
Jon Ryan,SEA,29,,16,0,,,,,,,,,,,,,,,,,,1,66,,,66.0,78,3254,63,0,41.7,False,False
Brett Kern,TEN,24,,16,0,,,,,,,,,,,,,,,,,,,,,,,77,3302,68,0,42.9,False,False
Shane Lechler,OAK,34,,16,0,,,,,,,,,,,,,,,,,,,,,,,77,3618,68,0,47.0,True,True
Brian Moorman,BUF,34,,16,0,,,,,,,,,,,,,,,,,,1,35,,,35.0,75,3181,61,0,42.4,False,False
Michael Koenen,ATL,28,,16,0,,,,,,,,,,,,,,,,,,88,5926,23,26.1%,67.3,74,3014,61,1,40.7,False,False
Brandon Fields,MIA,26,,16,0,,,,,,,,,,,,,,,,,,,,,,,73,3369,69,2,46.2,False,False
Saverio Rocca,PHI,37,,16,0,,,,,,,,,,,,,,,,,,,,,,,73,3195,63,0,43.8,False,False
Matt Dodge,NYG,23,,16,0,,,,,,,,,,,,,,,,,,2,117,,,58.5,72,3222,69,1,44.8,False,False
Kevin Huber,CIN,25,,16,0,,,,,,,,,,,,,,,,,,1,62,,,62.0,71,2992,72,1,42.1,False,False
Tim Masthay,GNB,23,,16,0,,,,,,,,,,,,,,,,,,,,,,,71,3114,62,0,43.9,False,False
Pat McAfee,IND,23,,15,0,,,,,,,,,,,,,,,,,,84,5595,16,19.0%,66.6,65,2731,66,0,42.0,False,False
Mat McBriar,DAL,31,,16,0,,,,,,,,,,,,,,,,,,1,69,,,69.0,65,3115,65,1,47.9,True,False
Matt Turk,HOU,42,,16,0,,,,,,,,,,,,,,,,,,,,,,,63,2650,60,0,42.1,False,False
Zoltan Mesko,NWE,24,,16,0,,,,,,,,,,,,,,,,,,,,,,,58,2505,65,0,43.2,False,False
Thomas Morstead,NOR,24,,16,0,,,,,,,,,,,,,,,,,,49,3315,10,20.4%,67.7,57,2618,64,0,45.9,False,False
Adam Podlesh,JAX,27,,16,0,,,,,,,,,,,,,,,,,,,,,,,57,2496,63,0,43.8,False,False
Hunter Smith,WAS,33,,9,0,,,,,,,,,,,,,,,,,,1,15,,,15.0,57,2310,56,1,40.5,False,False
Daniel Sepulveda,PIT,26,,12,0,,,,,,,,,,,,,,,,,,,,,,,56,2550,62,0,45.5,False,False
Robert Malone,TAM,22,,12,0,,,,,,,,,,,,,,,,,,,,,,,52,2160,64,0,41.5,False,False
Mike Scifres,SDG,30,,16,0,,,,,,,,,,,,,,,,,,7,371,1,14.3%,53.0,52,2430,67,4,46.7,False,False
Chris Bryan,TAM,28,,4,0,,,,,,,,,,,,,,,,,,,,,,,23,860,57,0,37.4,False,False
Jeremy Kapinos,2TM,26,,5,0,,,,,,,,,,,,,,,,,,8,481,,,60.1,18,755,59,0,41.9,False,False
Sam Paulescu,WAS,26,,3,0,,,,,,,,,,,,,,,,,,,,,,,17,700,52,0,41.2,False,False
Josh Bidwell,WAS,34,,4,0,,,,,,,,,,,,,,,,,,,,,,,15,625,52,0,41.7,False,False
Ben Roethlisberger,PIT,28,QB,12,12,,,,,,,,,,,,,,,,,,,,,,,1,35,35,0,35.0,False,False
Ndamukong Suh,DET,23,LDT,16,16,,,,,,,,,,,,,,,1,,0.0%,,,,,,,,,,,True,True
Wes Welker,NWE,29,WR,15,11,,,,,,,,,,,,,,,1,1,100.0%,1,45,,,45.0,,,,,,True,False
